KOrtholog	Pathway_name	Pathway_number	Enzyme_name
K01676	Pyruvate metabolism	ko00620	fumarate hydratase, class I [EC:4.2.1.2]
K01679	Citrate cycle (TCA cycle)	ko00020	fumarate hydratase, class II [EC:4.2.1.2]
K01679	Pyruvate metabolism	ko00620	fumarate hydratase, class II [EC:4.2.1.2]
K01681	Citrate cycle (TCA cycle)	ko00020	aconitate hydratase [EC:4.2.1.3]
K01681	Glyoxylate and dicarboxylate metabolism	ko00630	aconitate hydratase [EC:4.2.1.3]
K01682	Citrate cycle (TCA cycle)	ko00020	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.99 4.2.1.3]
K01682	Glyoxylate and dicarboxylate metabolism	ko00630	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.99 4.2.1.3]
K01682	Propanoate metabolism	ko00640	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.99 4.2.1.3]
K01686	Pentose and glucuronate interconversions	ko00040	mannonate dehydratase [EC:4.2.1.8]
K01689	Glycolysis / Gluconeogenesis	ko00010	enolase [EC:4.2.1.11]
K01690	Pentose phosphate pathway	ko00030	phosphogluconate dehydratase [EC:4.2.1.12]
K01692	Propanoate metabolism	ko00640	enoyl-CoA hydratase [EC:4.2.1.17]
K01692	Butanoate metabolism	ko00650	enoyl-CoA hydratase [EC:4.2.1.17]
K01699	Propanoate metabolism	ko00640	propanediol dehydratase large subunit [EC:4.2.1.28]
K01703	C5-Branched dibasic acid metabolism	ko00660	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.35 4.2.1.33]
K01704	C5-Branched dibasic acid metabolism	ko00660	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.35 4.2.1.33]
K01706	Ascorbate and aldarate metabolism	ko00053	glucarate dehydratase [EC:4.2.1.40]
K01711	Fructose and mannose metabolism	ko00051	GDPmannose 4,6-dehydratase [EC:4.2.1.47]
K01711	Amino sugar and nucleotide sugar metabolism	ko00520	GDPmannose 4,6-dehydratase [EC:4.2.1.47]
K01734	Propanoate metabolism	ko00640	methylglyoxal synthase [EC:4.2.3.3]
K01759	Pyruvate metabolism	ko00620	lactoylglutathione lyase [EC:4.4.1.5]
K01783	Pentose phosphate pathway	ko00030	ribulose-phosphate 3-epimerase [EC:5.1.3.1]
K01783	Pentose and glucuronate interconversions	ko00040	ribulose-phosphate 3-epimerase [EC:5.1.3.1]
K01784	Galactose metabolism	ko00052	UDP-glucose 4-epimerase [EC:5.1.3.2]
K01784	Amino sugar and nucleotide sugar metabolism	ko00520	UDP-glucose 4-epimerase [EC:5.1.3.2]
K01785	Glycolysis / Gluconeogenesis	ko00010	aldose 1-epimerase [EC:5.1.3.3]
K01785	Galactose metabolism	ko00052	aldose 1-epimerase [EC:5.1.3.3]
K01787	Amino sugar and nucleotide sugar metabolism	ko00520	N-acylglucosamine 2-epimerase [EC:5.1.3.8]
K01788	Amino sugar and nucleotide sugar metabolism	ko00520	N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9]
K01791	Amino sugar and nucleotide sugar metabolism	ko00520	UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]
K01792	Glycolysis / Gluconeogenesis	ko00010	glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
K01803	Glycolysis / Gluconeogenesis	ko00010	triosephosphate isomerase (TIM) [EC:5.3.1.1]
K01803	Fructose and mannose metabolism	ko00051	triosephosphate isomerase (TIM) [EC:5.3.1.1]
K01803	Inositol phosphate metabolism	ko00562	triosephosphate isomerase (TIM) [EC:5.3.1.1]
K01807	Pentose phosphate pathway	ko00030	ribose 5-phosphate isomerase A [EC:5.3.1.6]
K01808	Pentose phosphate pathway	ko00030	ribose 5-phosphate isomerase B [EC:5.3.1.6]
K01808	Fructose and mannose metabolism	ko00051	ribose 5-phosphate isomerase B [EC:5.3.1.6]
K01809	Fructose and mannose metabolism	ko00051	mannose-6-phosphate isomerase [EC:5.3.1.8]
K01809	Amino sugar and nucleotide sugar metabolism	ko00520	mannose-6-phosphate isomerase [EC:5.3.1.8]
K01810	Glycolysis / Gluconeogenesis	ko00010	glucose-6-phosphate isomerase [EC:5.3.1.9]
K01810	Pentose phosphate pathway	ko00030	glucose-6-phosphate isomerase [EC:5.3.1.9]
K01810	Starch and sucrose metabolism	ko00500	glucose-6-phosphate isomerase [EC:5.3.1.9]
K01810	Amino sugar and nucleotide sugar metabolism	ko00520	glucose-6-phosphate isomerase [EC:5.3.1.9]
K01812	Pentose and glucuronate interconversions	ko00040	glucuronate isomerase [EC:5.3.1.12]
K01813	Fructose and mannose metabolism	ko00051	L-rhamnose isomerase [EC:5.3.1.14]
K01816	Glyoxylate and dicarboxylate metabolism	ko00630	hydroxypyruvate isomerase [EC:5.3.1.22]
K01818	Fructose and mannose metabolism	ko00051	L-fucose/D-arabinose isomerase [EC:5.3.1.3 5.3.1.25]
K01819	Galactose metabolism	ko00052	galactose-6-phosphate isomerase [EC:5.3.1.26]
K01834	Glycolysis / Gluconeogenesis	ko00010	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
K01835	Glycolysis / Gluconeogenesis	ko00010	phosphoglucomutase [EC:5.4.2.2]
K01835	Pentose phosphate pathway	ko00030	phosphoglucomutase [EC:5.4.2.2]
K01835	Galactose metabolism	ko00052	phosphoglucomutase [EC:5.4.2.2]
K01835	Starch and sucrose metabolism	ko00500	phosphoglucomutase [EC:5.4.2.2]
K01835	Amino sugar and nucleotide sugar metabolism	ko00520	phosphoglucomutase [EC:5.4.2.2]
K01838	Starch and sucrose metabolism	ko00500	beta-phosphoglucomutase [EC:5.4.2.6]
K01839	Pentose phosphate pathway	ko00030	phosphopentomutase [EC:5.4.2.7]
K01840	Fructose and mannose metabolism	ko00051	phosphomannomutase [EC:5.4.2.8]
K01840	Amino sugar and nucleotide sugar metabolism	ko00520	phosphomannomutase [EC:5.4.2.8]
K01847	Glyoxylate and dicarboxylate metabolism	ko00630	methylmalonyl-CoA mutase [EC:5.4.99.2]
K01847	Propanoate metabolism	ko00640	methylmalonyl-CoA mutase [EC:5.4.99.2]
K01854	Galactose metabolism	ko00052	UDP-galactopyranose mutase [EC:5.4.99.9]
K01854	Amino sugar and nucleotide sugar metabolism	ko00520	UDP-galactopyranose mutase [EC:5.4.99.9]
K01858	Inositol phosphate metabolism	ko00562	myo-inositol-1-phosphate synthase [EC:5.5.1.4]
K01895	Glycolysis / Gluconeogenesis	ko00010	acetyl-CoA synthetase [EC:6.2.1.1]
K01895	Pyruvate metabolism	ko00620	acetyl-CoA synthetase [EC:6.2.1.1]
K01895	Glyoxylate and dicarboxylate metabolism	ko00630	acetyl-CoA synthetase [EC:6.2.1.1]
K01895	Propanoate metabolism	ko00640	acetyl-CoA synthetase [EC:6.2.1.1]
K01902	Citrate cycle (TCA cycle)	ko00020	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
K01902	Propanoate metabolism	ko00640	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
K01902	C5-Branched dibasic acid metabolism	ko00660	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
K01903	Citrate cycle (TCA cycle)	ko00020	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
K01903	Propanoate metabolism	ko00640	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
K01903	C5-Branched dibasic acid metabolism	ko00660	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
K01915	Glyoxylate and dicarboxylate metabolism	ko00630	glutamine synthetase [EC:6.3.1.2]
K01959	Citrate cycle (TCA cycle)	ko00020	pyruvate carboxylase subunit A [EC:6.4.1.1]
K01959	Pyruvate metabolism	ko00620	pyruvate carboxylase subunit A [EC:6.4.1.1]
K01960	Citrate cycle (TCA cycle)	ko00020	pyruvate carboxylase subunit B [EC:6.4.1.1]
K01960	Pyruvate metabolism	ko00620	pyruvate carboxylase subunit B [EC:6.4.1.1]
K01961	Pyruvate metabolism	ko00620	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.3.4.14 6.4.1.2]
K01961	Propanoate metabolism	ko00640	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.3.4.14 6.4.1.2]
K01962	Pyruvate metabolism	ko00620	acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:2.1.3.15 6.4.1.2]
K01962	Propanoate metabolism	ko00640	acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:2.1.3.15 6.4.1.2]
K01963	Pyruvate metabolism	ko00620	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:2.1.3.15 6.4.1.2]
K01963	Propanoate metabolism	ko00640	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:2.1.3.15 6.4.1.2]
K01966	Glyoxylate and dicarboxylate metabolism	ko00630	propionyl-CoA carboxylase beta chain [EC:2.1.3.15 6.4.1.3]
K01966	Propanoate metabolism	ko00640	propionyl-CoA carboxylase beta chain [EC:2.1.3.15 6.4.1.3]
K02160	Pyruvate metabolism	ko00620	acetyl-CoA carboxylase biotin carboxyl carrier protein
K02160	Propanoate metabolism	ko00640	acetyl-CoA carboxylase biotin carboxyl carrier protein
K02377	Fructose and mannose metabolism	ko00051	GDP-L-fucose synthase [EC:1.1.1.271]
K02377	Amino sugar and nucleotide sugar metabolism	ko00520	GDP-L-fucose synthase [EC:1.1.1.271]
K02437	Glyoxylate and dicarboxylate metabolism	ko00630	glycine cleavage system H protein
K02438	Starch and sucrose metabolism	ko00500	glycogen debranching enzyme [EC:3.2.1.196]
K02446	Glycolysis / Gluconeogenesis	ko00010	fructose-1,6-bisphosphatase II [EC:3.1.3.11]
K02446	Pentose phosphate pathway	ko00030	fructose-1,6-bisphosphatase II [EC:3.1.3.11]
K02446	Fructose and mannose metabolism	ko00051	fructose-1,6-bisphosphatase II [EC:3.1.3.11]
K02472	Amino sugar and nucleotide sugar metabolism	ko00520	UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]
K02474	Amino sugar and nucleotide sugar metabolism	ko00520	UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.-]
K02564	Amino sugar and nucleotide sugar metabolism	ko00520	glucosamine-6-phosphate deaminase [EC:3.5.99.6]
K02744	Galactose metabolism	ko00052	PTS system, N-acetylgalactosamine-specific IIA component [EC:2.7.1.-]
K02749	Starch and sucrose metabolism	ko00500	PTS system, alpha-glucoside-specific IIB component [EC:2.7.1.- 2.7.1.208]
K02750	Starch and sucrose metabolism	ko00500	PTS system, alpha-glucoside-specific IIC component
K02759	Starch and sucrose metabolism	ko00500	PTS system, cellobiose-specific IIA component [EC:2.7.1.205 2.7.1.196]
K02760	Starch and sucrose metabolism	ko00500	PTS system, cellobiose-specific IIB component [EC:2.7.1.205 2.7.1.196]
K02761	Starch and sucrose metabolism	ko00500	PTS system, cellobiose-specific IIC component
K02768	Fructose and mannose metabolism	ko00051	PTS system, fructose-specific IIA component [EC:2.7.1.202]
K02769	Fructose and mannose metabolism	ko00051	PTS system, fructose-specific IIB component [EC:2.7.1.202]
K02770	Fructose and mannose metabolism	ko00051	PTS system, fructose-specific IIC component
K02774	Galactose metabolism	ko00052	PTS system, galactitol-specific IIB component [EC:2.7.1.200]
K02775	Galactose metabolism	ko00052	PTS system, galactitol-specific IIC component
K02777	Glycolysis / Gluconeogenesis	ko00010	PTS system, sugar-specific IIA component [EC:2.7.1.-]
K02777	Starch and sucrose metabolism	ko00500	PTS system, sugar-specific IIA component [EC:2.7.1.-]
K02777	Amino sugar and nucleotide sugar metabolism	ko00520	PTS system, sugar-specific IIA component [EC:2.7.1.-]
K02778	Glycolysis / Gluconeogenesis	ko00010	PTS system, glucose-specific IIB component [EC:2.7.1.199]
K02778	Amino sugar and nucleotide sugar metabolism	ko00520	PTS system, glucose-specific IIB component [EC:2.7.1.199]
K02779	Glycolysis / Gluconeogenesis	ko00010	PTS system, glucose-specific IIC component
K02779	Amino sugar and nucleotide sugar metabolism	ko00520	PTS system, glucose-specific IIC component
K02781	Fructose and mannose metabolism	ko00051	PTS system, glucitol/sorbitol-specific IIA component [EC:2.7.1.198]
K02782	Fructose and mannose metabolism	ko00051	PTS system, glucitol/sorbitol-specific IIB component [EC:2.7.1.198]
K02783	Fructose and mannose metabolism	ko00051	PTS system, glucitol/sorbitol-specific IIC component
K02786	Galactose metabolism	ko00052	PTS system, lactose-specific IIA component [EC:2.7.1.207]
K02793	Fructose and mannose metabolism	ko00051	PTS system, mannose-specific IIA component [EC:2.7.1.191]
K02793	Amino sugar and nucleotide sugar metabolism	ko00520	PTS system, mannose-specific IIA component [EC:2.7.1.191]
K02794	Fructose and mannose metabolism	ko00051	PTS system, mannose-specific IIB component [EC:2.7.1.191]
K02794	Amino sugar and nucleotide sugar metabolism	ko00520	PTS system, mannose-specific IIB component [EC:2.7.1.191]
K02795	Fructose and mannose metabolism	ko00051	PTS system, mannose-specific IIC component
K02795	Amino sugar and nucleotide sugar metabolism	ko00520	PTS system, mannose-specific IIC component
K02796	Fructose and mannose metabolism	ko00051	PTS system, mannose-specific IID component
K02796	Amino sugar and nucleotide sugar metabolism	ko00520	PTS system, mannose-specific IID component
K02803	Amino sugar and nucleotide sugar metabolism	ko00520	PTS system, N-acetylglucosamine-specific IIB component [EC:2.7.1.193]
K02804	Amino sugar and nucleotide sugar metabolism	ko00520	PTS system, N-acetylglucosamine-specific IIC component
K02808	Starch and sucrose metabolism	ko00500	PTS system, sucrose-specific IIA component [EC:2.7.1.211]
K02809	Starch and sucrose metabolism	ko00500	PTS system, sucrose-specific IIB component [EC:2.7.1.211]
K02810	Starch and sucrose metabolism	ko00500	PTS system, sucrose-specific IIC component
K02818	Starch and sucrose metabolism	ko00500	PTS system, trehalose-specific IIB component [EC:2.7.1.201]
K02819	Starch and sucrose metabolism	ko00500	PTS system, trehalose-specific IIC component
K02821	Ascorbate and aldarate metabolism	ko00053	PTS system, ascorbate-specific IIA component [EC:2.7.1.194]
K02822	Ascorbate and aldarate metabolism	ko00053	PTS system, ascorbate-specific IIB component [EC:2.7.1.194]
K03078	Pentose and glucuronate interconversions	ko00040	3-dehydro-L-gulonate-6-phosphate decarboxylase [EC:4.1.1.85]
K03078	Ascorbate and aldarate metabolism	ko00053	3-dehydro-L-gulonate-6-phosphate decarboxylase [EC:4.1.1.85]
K03079	Pentose and glucuronate interconversions	ko00040	L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]
K03079	Ascorbate and aldarate metabolism	ko00053	L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]
K03332	Fructose and mannose metabolism	ko00051	fructan beta-fructosidase [EC:3.2.1.80]
K03335	Inositol phosphate metabolism	ko00562	inosose dehydratase [EC:4.2.1.44]
K03336	Inositol phosphate metabolism	ko00562	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing) [EC:3.7.1.22]
K03337	Inositol phosphate metabolism	ko00562	5-deoxy-glucuronate isomerase [EC:5.3.1.30]
K03338	Inositol phosphate metabolism	ko00562	5-dehydro-2-deoxygluconokinase [EC:2.7.1.92]
K03416	Propanoate metabolism	ko00640	methylmalonyl-CoA carboxyltransferase 5S subunit [EC:2.1.3.1]
K03431	Amino sugar and nucleotide sugar metabolism	ko00520	phosphoglucosamine mutase [EC:5.4.2.10]
K03475	Ascorbate and aldarate metabolism	ko00053	PTS system, ascorbate-specific IIC component
K03777	Pyruvate metabolism	ko00620	D-lactate dehydrogenase (quinone) [EC:1.1.5.12]
K03778	Pyruvate metabolism	ko00620	D-lactate dehydrogenase [EC:1.1.1.28]
K03779	Glyoxylate and dicarboxylate metabolism	ko00630	L(+)-tartrate dehydratase alpha subunit [EC:4.2.1.32]
K03781	Glyoxylate and dicarboxylate metabolism	ko00630	catalase [EC:1.11.1.6]
K03841	Glycolysis / Gluconeogenesis	ko00010	fructose-1,6-bisphosphatase I [EC:3.1.3.11]
K03841	Pentose phosphate pathway	ko00030	fructose-1,6-bisphosphatase I [EC:3.1.3.11]
K03841	Fructose and mannose metabolism	ko00051	fructose-1,6-bisphosphatase I [EC:3.1.3.11]
K04041	Glycolysis / Gluconeogenesis	ko00010	fructose-1,6-bisphosphatase III [EC:3.1.3.11]
K04041	Pentose phosphate pathway	ko00030	fructose-1,6-bisphosphatase III [EC:3.1.3.11]
K04041	Fructose and mannose metabolism	ko00051	fructose-1,6-bisphosphatase III [EC:3.1.3.11]
K04042	Amino sugar and nucleotide sugar metabolism	ko00520	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.3.1.157 2.7.7.23]
K04072	Glycolysis / Gluconeogenesis	ko00010	acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.1.1.1 1.2.1.10]
K04072	Pyruvate metabolism	ko00620	acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.1.1.1 1.2.1.10]
K04072	Butanoate metabolism	ko00650	acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.1.1.1 1.2.1.10]
K05341	Starch and sucrose metabolism	ko00500	amylosucrase [EC:2.4.1.4]
K05342	Starch and sucrose metabolism	ko00500	alpha,alpha-trehalose phosphorylase [EC:2.4.1.64]
K05349	Starch and sucrose metabolism	ko00500	beta-glucosidase [EC:3.2.1.21]
K05606	Glyoxylate and dicarboxylate metabolism	ko00630	methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]
K05606	Propanoate metabolism	ko00640	methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]
K06044	Starch and sucrose metabolism	ko00500	(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase [EC:5.4.99.15]
K06896	Starch and sucrose metabolism	ko00500	maltose 6'-phosphate phosphatase [EC:3.1.3.90]
K07024	Starch and sucrose metabolism	ko00500	sucrose-6-phosphatase [EC:3.1.3.24]
K07106	Amino sugar and nucleotide sugar metabolism	ko00520	N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]
K07248	Pyruvate metabolism	ko00620	lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.21 1.2.1.22]
K07248	Glyoxylate and dicarboxylate metabolism	ko00630	lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.21 1.2.1.22]
K07250	Propanoate metabolism	ko00640	4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.48 2.6.1.22 2.6.1.19]
K07250	Butanoate metabolism	ko00650	4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.48 2.6.1.22 2.6.1.19]
K07404	Pentose phosphate pathway	ko00030	6-phosphogluconolactonase [EC:3.1.1.31]
K07407	Galactose metabolism	ko00052	alpha-galactosidase [EC:3.2.1.22]
K08678	Amino sugar and nucleotide sugar metabolism	ko00520	UDP-glucuronate decarboxylase [EC:4.1.1.35]
K09788	Propanoate metabolism	ko00640	2-methylaconitate isomerase [EC:5.3.3.-]
K11258	Butanoate metabolism	ko00650	acetolactate synthase II small subunit [EC:2.2.1.6]
K11258	C5-Branched dibasic acid metabolism	ko00660	acetolactate synthase II small subunit [EC:2.2.1.6]
K11263	Pyruvate metabolism	ko00620	acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.3.4.14 6.4.1.3 6.4.1.2]
K11263	Glyoxylate and dicarboxylate metabolism	ko00630	acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.3.4.14 6.4.1.3 6.4.1.2]
K11263	Propanoate metabolism	ko00640	acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.3.4.14 6.4.1.3 6.4.1.2]
K11645	Glycolysis / Gluconeogenesis	ko00010	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
K11645	Pentose phosphate pathway	ko00030	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
K11645	Fructose and mannose metabolism	ko00051	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
K12308	Galactose metabolism	ko00052	beta-galactosidase [EC:3.2.1.23]
K12373	Amino sugar and nucleotide sugar metabolism	ko00520	hexosaminidase [EC:3.2.1.52]
K13018	Amino sugar and nucleotide sugar metabolism	ko00520	UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase [EC:2.3.1.201]
K13788	Pyruvate metabolism	ko00620	phosphate acetyltransferase [EC:2.3.1.8]
K13788	Propanoate metabolism	ko00640	phosphate acetyltransferase [EC:2.3.1.8]
K13919	Propanoate metabolism	ko00640	propanediol dehydratase medium subunit [EC:4.2.1.28]
K13920	Propanoate metabolism	ko00640	propanediol dehydratase small subunit [EC:4.2.1.28]
K13922	Propanoate metabolism	ko00640	propionaldehyde dehydrogenase [EC:1.2.1.87]
K13953	Glycolysis / Gluconeogenesis	ko00010	alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]
K14534	Butanoate metabolism	ko00650	4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:5.3.3.3 4.2.1.120]
K15633	Glycolysis / Gluconeogenesis	ko00010	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
K15634	Glycolysis / Gluconeogenesis	ko00010	probable phosphoglycerate mutase [EC:5.4.2.12]
K15635	Glycolysis / Gluconeogenesis	ko00010	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
K15778	Glycolysis / Gluconeogenesis	ko00010	phosphomannomutase / phosphoglucomutase [EC:5.4.2.2 5.4.2.8]
K15778	Pentose phosphate pathway	ko00030	phosphomannomutase / phosphoglucomutase [EC:5.4.2.2 5.4.2.8]
K15778	Fructose and mannose metabolism	ko00051	phosphomannomutase / phosphoglucomutase [EC:5.4.2.2 5.4.2.8]
K15778	Galactose metabolism	ko00052	phosphomannomutase / phosphoglucomutase [EC:5.4.2.2 5.4.2.8]
K15778	Starch and sucrose metabolism	ko00500	phosphomannomutase / phosphoglucomutase [EC:5.4.2.2 5.4.2.8]
K15778	Amino sugar and nucleotide sugar metabolism	ko00520	phosphomannomutase / phosphoglucomutase [EC:5.4.2.2 5.4.2.8]
K16146	Starch and sucrose metabolism	ko00500	maltokinase [EC:2.7.1.175]
K16147	Starch and sucrose metabolism	ko00500	starch synthase (maltosyl-transferring) [EC:2.4.99.16]
K16148	Starch and sucrose metabolism	ko00500	alpha-maltose-1-phosphate synthase [EC:2.4.1.342]
K16370	Glycolysis / Gluconeogenesis	ko00010	6-phosphofructokinase 2 [EC:2.7.1.11]
K16370	Pentose phosphate pathway	ko00030	6-phosphofructokinase 2 [EC:2.7.1.11]
K16370	Fructose and mannose metabolism	ko00051	6-phosphofructokinase 2 [EC:2.7.1.11]
K16370	Galactose metabolism	ko00052	6-phosphofructokinase 2 [EC:2.7.1.11]
K17489	Propanoate metabolism	ko00640	methylmalonyl-CoA carboxyltransferase 12S subunit [EC:2.1.3.1]
K17490	Propanoate metabolism	ko00640	methylmalonyl-CoA carboxyltransferase 1.3S subunit [EC:2.1.3.1]
K18118	Citrate cycle (TCA cycle)	ko00020	succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]
K18118	Pyruvate metabolism	ko00620	succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]
K18118	Butanoate metabolism	ko00650	succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]
K18122	Butanoate metabolism	ko00650	4-hydroxybutyrate CoA-transferase [EC:2.8.3.-]
K18369	Propanoate metabolism	ko00640	alcohol dehydrogenase [EC:1.1.1.-]
