mapping_type	genus	species	sample_number	sample_name	number_reads_after_clipmerge_prior_mapping	number_reads_mapped_prior_rmdup	number_duplicates_removed	number_reads_mapped_after_rmdup	percent_endogenous_dna	cluster_factor	mean_fold_coverage	std_dev_coverage	percent_coverage_morethan_1x	percent_coverage_morethan_2x	percent_coverage_morethan_3x	percent_coverage_morethan_4x	percent_coverage_morethan_5x	frequency_damage_1st_base_3prime	frequency_damage_2nd_base_3prime	frequency_damage_1st_base_5prime	frequency_damage_2nd_base_5prime	average_fragment_length	median_fragment_length	percent_gc_content	Env	Description	Host_General	Host_Genus	Host_Common	Age	Location	total_number_raw_reads_before_clipmerge	total_number_reads_after_clipmerge_prior_mapping	total_number_merged_reads	mean_percent_merged_reads	total_number_reads_not_attempted_to_map	total_number_reads_mapped_prior_rmdup	total_number_duplicates_removed	total_number_reads_mapped_after_rmdup	mean_percent_endogenous_dna	mean_cluster_factor	mean_mean_fold_coverage	mean_std_dev_coverage	mean_percent_coverage_morethan_1x	mean_percent_coverage_morethan_2x	mean_percent_coverage_morethan_3x	mean_percent_coverage_morethan_4x	mean_percent_coverage_morethan_5x	total_number_reads_on_mitochondrium	mean_average_coverage_on_mitochondrium	mean_ratio_mitochondrion_to_nuclear	mean_frequency_damage_1st_base_3prime	mean_frequency_damage_2nd_base_3prime	mean_frequency_damage_1st_base_5prime	mean_frequency_damage_2nd_base_5prime	mean_average_fragment_length	mean_median_fragment_length	mean_percent_gc_content	total_unmapped_reads
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	Sample 12/29	KNP005	2104180	2104180	82391	2021789	100	1.041	36.0475	30.1185	82.3	79.06	77.31	75.95	74.78	0.0168	0.0133	0.0132	0.0129	62.96	55	72.24	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	102180635	89832059	6504711	34.4025	2949104	584308	51584	532724	0.583	1.1085	0.00555	0.09265	0.535	0.005	0	0	0	41	0.069165308709035	15.255	0.01755	0.0139	0.01305	0.0118	64.55	61	42.02	89247751
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	Sample 13/29	KNP009	4494033	4494033	527195	3966838	100	1.133	69.2406	55.5919	87.66	85.09	83.34	81.95	80.72	0.0165	0.0143	0.0141	0.0136	61.64	58	72.4	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	225114938	123835011	94400597	72.754	29434398	202915	14615	188300	0.157	1.0865	0.0019	0.0433	0.185	0	0	0	0	38	NaN	19.92	0.01515	0.01445	0.0116	0.01385	63.14	59.5	42.51	123632096
initial_single_genome	Campylobacter	Campylobacter_gracilis	Sample 10/29	KNP001	135730	135730	14861	120869	100	1.123	2.7374	8.3632	36.73	27.98	23.09	19.61	16.97	0.0245	0.0253	0.0219	0.0252	51.68	46	51.5	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	302497552	153838340	131821720	83.255	22016592	2980802	251030	2729772	1.8745	1.101	0.0268	0.22575	2.515	0.09	0.01	0.005	0.005	46	0.078972780493693	2.075	0.0135	0.01365	0.01	0.01115	61.53	58	43.34	150857538
initial_single_genome	Campylobacter	Campylobacter_gracilis	Sample 11/29	KNP004	211027	211027	28535	182492	100	1.156	4.4945	13.1948	41.81	33.44	28.48	24.86	21.98	0.0249	0.0242	0.0212	0.0222	56.2	51	50.89	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	479828768	259190168	205560262	75.225	53629844	1933004	204394	1728610	0.699	1.12	0.01665	0.16525	1.575	0.045	0.005	0.005	0.005	292	0.562707465749291	35.01	0.0107	0.0101	0.00795	0.00825	60.485	56	43.32	257257164
initial_single_genome	Campylobacter	Campylobacter_gracilis	Sample 12/29	KNP005	36394	36394	1509	34885	100	1.043	0.7994	3.87	24.36	14.5	9.56	6.55	4.54	0.0298	0.0287	0.0238	0.0294	52.29	45	51.01	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	102180635	89832059	6504711	34.4025	2949104	584308	51584	532724	0.583	1.1085	0.00555	0.09265	0.535	0.005	0	0	0	41	0.069165308709035	15.255	0.01755	0.0139	0.01305	0.0118	64.55	61	42.02	89247751
initial_single_genome	Campylobacter	Campylobacter_gracilis	Sample 13/29	KNP009	93513	93513	7819	85694	100	1.091	2.0418	6.4541	33.79	24.47	19.49	16.13	13.63	0.0265	0.0296	0.0238	0.0305	54.37	49	50.17	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	225114938	123835011	94400597	72.754	29434398	202915	14615	188300	0.157	1.0865	0.0019	0.0433	0.185	0	0	0	0	38	NaN	19.92	0.01515	0.01445	0.0116	0.01385	63.14	59.5	42.51	123632096
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	Sample 10/29	KNP001	21023	21023	7212	13811	100	1.522	0.249	10.0542	3.97	0.6	0.35	0.28	0.25	0.0291	0.0274	0.022	0.0196	48.08	43	52.43	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	302497552	153838340	131821720	83.255	22016592	2980802	251030	2729772	1.8745	1.101	0.0268	0.22575	2.515	0.09	0.01	0.005	0.005	46	0.078972780493693	2.075	0.0135	0.01365	0.01	0.01115	61.53	58	43.34	150857538
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	Sample 11/29	KNP004	24318	24318	10375	13943	100	1.744	0.2553	12.7858	1.99	0.34	0.25	0.22	0.2	0.0311	0.0195	0.0178	0.0165	48.83	44	54.32	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	479828768	259190168	205560262	75.225	53629844	1933004	204394	1728610	0.699	1.12	0.01665	0.16525	1.575	0.045	0.005	0.005	0.005	292	0.562707465749291	35.01	0.0107	0.0101	0.00795	0.00825	60.485	56	43.32	257257164
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	Sample 12/29	KNP005	8309	8309	1520	6789	100	1.224	0.1179	5.9663	0.65	0.27	0.22	0.19	0.18	0.0222	0.0187	0.0207	0.0241	46.31	41	54.19	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	102180635	89832059	6504711	34.4025	2949104	584308	51584	532724	0.583	1.1085	0.00555	0.09265	0.535	0.005	0	0	0	41	0.069165308709035	15.255	0.01755	0.0139	0.01305	0.0118	64.55	61	42.02	89247751
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	Sample 13/29	KNP009	14025	14025	3765	10260	100	1.367	0.1897	8.2005	1.71	0.43	0.32	0.27	0.24	0.0292	0.0291	0.0212	0.0262	49.32	44	52.44	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	225114938	123835011	94400597	72.754	29434398	202915	14615	188300	0.157	1.0865	0.0019	0.0433	0.185	0	0	0	0	38	NaN	19.92	0.01515	0.01445	0.0116	0.01385	63.14	59.5	42.51	123632096
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	Sample 10/29	KNP001	37115	37115	12529	24586	100	1.51	0.4094	13.7891	3.81	1.04	0.69	0.57	0.49	0.0281	0.0246	0.0205	0.02	47.56	42	57.68	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	302497552	153838340	131821720	83.255	22016592	2980802	251030	2729772	1.8745	1.101	0.0268	0.22575	2.515	0.09	0.01	0.005	0.005	46	0.078972780493693	2.075	0.0135	0.01365	0.01	0.01115	61.53	58	43.34	150857538
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	Sample 11/29	KNP004	54032	54032	21771	32261	100	1.675	0.5661	19.9797	1.59	0.95	0.76	0.67	0.58	0.0283	0.0228	0.0214	0.0223	50.12	44	57.83	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	479828768	259190168	205560262	75.225	53629844	1933004	204394	1728610	0.699	1.12	0.01665	0.16525	1.575	0.045	0.005	0.005	0.005	292	0.562707465749291	35.01	0.0107	0.0101	0.00795	0.00825	60.485	56	43.32	257257164
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	Sample 12/29	KNP005	12812	12812	2416	10396	100	1.232	0.1648	6.6833	0.99	0.5	0.35	0.27	0.22	0.0319	0.0223	0.0278	0.0269	45.27	40	57.64	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	102180635	89832059	6504711	34.4025	2949104	584308	51584	532724	0.583	1.1085	0.00555	0.09265	0.535	0.005	0	0	0	41	0.069165308709035	15.255	0.01755	0.0139	0.01305	0.0118	64.55	61	42.02	89247751
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	Sample 13/29	KNP009	21648	21648	6167	15481	100	1.398	0.2623	10.224	1.89	0.62	0.44	0.35	0.3	0.0289	0.0259	0.0263	0.0238	48.39	43	57.5	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	225114938	123835011	94400597	72.754	29434398	202915	14615	188300	0.157	1.0865	0.0019	0.0433	0.185	0	0	0	0	38	NaN	19.92	0.01515	0.01445	0.0116	0.01385	63.14	59.5	42.51	123632096
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	Sample 10/29	KNP001	1071350	1071350	122111	949239	100	1.129	19.4809	27.2183	69.42	65.25	62.38	60.04	58	0.0178	0.0186	0.0147	0.0176	55.99	50	64.8	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	302497552	153838340	131821720	83.255	22016592	2980802	251030	2729772	1.8745	1.101	0.0268	0.22575	2.515	0.09	0.01	0.005	0.005	46	0.078972780493693	2.075	0.0135	0.01365	0.01	0.01115	61.53	58	43.34	150857538
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	Sample 11/29	KNP004	1455621	1455621	235009	1220612	100	1.193	27.8889	47.2631	69.65	65.86	63.31	61.26	59.54	0.0168	0.0176	0.0147	0.0164	62.34	59	64.58	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	479828768	259190168	205560262	75.225	53629844	1933004	204394	1728610	0.699	1.12	0.01665	0.16525	1.575	0.045	0.005	0.005	0.005	292	0.562707465749291	35.01	0.0107	0.0101	0.00795	0.00825	60.485	56	43.32	257257164
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	Sample 12/29	KNP005	1035444	1035444	45075	990369	100	1.046	22.7295	31.5336	70.7	66.49	63.62	61.36	59.39	0.0213	0.0195	0.0156	0.0183	62.62	54	64.6	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	102180635	89832059	6504711	34.4025	2949104	584308	51584	532724	0.583	1.1085	0.00555	0.09265	0.535	0.005	0	0	0	41	0.069165308709035	15.255	0.01755	0.0139	0.01305	0.0118	64.55	61	42.02	89247751
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	Sample 13/29	KNP009	938342	938342	103559	834783	100	1.124	18.6481	31.3798	68.57	63.9	60.88	58.38	56.25	0.0195	0.0203	0.0166	0.0196	60.95	58	64.06	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	225114938	123835011	94400597	72.754	29434398	202915	14615	188300	0.157	1.0865	0.0019	0.0433	0.185	0	0	0	0	38	NaN	19.92	0.01515	0.01445	0.0116	0.01385	63.14	59.5	42.51	123632096
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	Sample 10/29	KNP001	145998	145998	15844	130154	100	1.122	3.1712	11.884	37.33	27.7	22.61	19.21	16.7	0.0274	0.0283	0.0229	0.0274	59.22	57	34	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	302497552	153838340	131821720	83.255	22016592	2980802	251030	2729772	1.8745	1.101	0.0268	0.22575	2.515	0.09	0.01	0.005	0.005	46	0.078972780493693	2.075	0.0135	0.01365	0.01	0.01115	61.53	58	43.34	150857538
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	Sample 11/29	KNP004	211683	211683	30739	180944	100	1.17	4.8223	16.7984	39.42	30.1	25.36	22.18	19.79	0.0257	0.0294	0.0204	0.0283	64.77	64	33.7	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	479828768	259190168	205560262	75.225	53629844	1933004	204394	1728610	0.699	1.12	0.01665	0.16525	1.575	0.045	0.005	0.005	0.005	292	0.562707465749291	35.01	0.0107	0.0101	0.00795	0.00825	60.485	56	43.32	257257164
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	Sample 12/29	KNP005	31019	31019	1319	29700	100	1.044	0.7319	4.6595	22.17	12.03	7.68	5.27	3.69	0.0314	0.0364	0.0179	0.0287	59.89	56	35.61	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	102180635	89832059	6504711	34.4025	2949104	584308	51584	532724	0.583	1.1085	0.00555	0.09265	0.535	0.005	0	0	0	41	0.069165308709035	15.255	0.01755	0.0139	0.01305	0.0118	64.55	61	42.02	89247751
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	Sample 13/29	KNP009	186113	186113	16991	169122	100	1.1	4.3632	12.2885	40.48	31.5	26.66	23.29	20.77	0.0319	0.0372	0.0253	0.0357	62.7	61	31.9	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	225114938	123835011	94400597	72.754	29434398	202915	14615	188300	0.157	1.0865	0.0019	0.0433	0.185	0	0	0	0	38	NaN	19.92	0.01515	0.01445	0.0116	0.01385	63.14	59.5	42.51	123632096
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	Sample 10/29	KNP001	318774	318774	37285	281489	100	1.132	4.7996	14.0344	53.41	43.69	37.75	33.2	29.49	0.0199	0.019	0.0165	0.0187	54.79	49	63.7	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	302497552	153838340	131821720	83.255	22016592	2980802	251030	2729772	1.8745	1.101	0.0268	0.22575	2.515	0.09	0.01	0.005	0.005	46	0.078972780493693	2.075	0.0135	0.01365	0.01	0.01115	61.53	58	43.34	150857538
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	Sample 11/29	KNP004	1843181	1843181	337507	1505674	100	1.224	28.0563	55.9459	59.68	54.06	50.92	48.51	46.53	0.0169	0.0158	0.0154	0.0149	59.88	56	63.96	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	479828768	259190168	205560262	75.225	53629844	1933004	204394	1728610	0.699	1.12	0.01665	0.16525	1.575	0.045	0.005	0.005	0.005	292	0.562707465749291	35.01	0.0107	0.0101	0.00795	0.00825	60.485	56	43.32	257257164
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	Sample 12/29	KNP005	259361	259361	9596	249765	100	1.038	4.5806	10.3102	54.72	44.07	37.62	32.86	29.03	0.0226	0.019	0.0179	0.0187	58.94	51	63.58	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	102180635	89832059	6504711	34.4025	2949104	584308	51584	532724	0.583	1.1085	0.00555	0.09265	0.535	0.005	0	0	0	41	0.069165308709035	15.255	0.01755	0.0139	0.01305	0.0118	64.55	61	42.02	89247751
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	Sample 13/29	KNP009	531713	531713	51874	479839	100	1.108	8.6988	17.8697	58.04	49.46	44.47	40.7	37.64	0.0201	0.019	0.0187	0.0194	58.26	54	63.59	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	225114938	123835011	94400597	72.754	29434398	202915	14615	188300	0.157	1.0865	0.0019	0.0433	0.185	0	0	0	0	38	NaN	19.92	0.01515	0.01445	0.0116	0.01385	63.14	59.5	42.51	123632096
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	Sample 10/29	KNP001	778652	778652	82818	695834	100	1.119	13.3916	16.5553	79.01	67.8	60.97	56.83	53.92	0.0125	0.0128	0.01	0.012	56.31	50	66.35	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	302497552	153838340	131821720	83.255	22016592	2980802	251030	2729772	1.8745	1.101	0.0268	0.22575	2.515	0.09	0.01	0.005	0.005	46	0.078972780493693	2.075	0.0135	0.01365	0.01	0.01115	61.53	58	43.34	150857538
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	Sample 11/29	KNP004	229822	229822	31795	198027	100	1.161	4.0071	9.1392	59.1	49.1	43.27	38.57	34.31	0.0129	0.0124	0.0119	0.0124	59.2	54	65.97	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	479828768	259190168	205560262	75.225	53629844	1933004	204394	1728610	0.699	1.12	0.01665	0.16525	1.575	0.045	0.005	0.005	0.005	292	0.562707465749291	35.01	0.0107	0.0101	0.00795	0.00825	60.485	56	43.32	257257164
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	Sample 12/29	KNP005	350923	350923	12594	338329	100	1.037	6.5639	9.4846	58.28	52.62	48.64	45.39	42.49	0.0153	0.0143	0.0124	0.0137	56.76	49	65.7	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	102180635	89832059	6504711	34.4025	2949104	584308	51584	532724	0.583	1.1085	0.00555	0.09265	0.535	0.005	0	0	0	41	0.069165308709035	15.255	0.01755	0.0139	0.01305	0.0118	64.55	61	42.02	89247751
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	Sample 13/29	KNP009	123584	123584	11032	112552	100	1.098	2.1834	5.8209	50.32	39.79	31.95	25.17	19.01	0.0169	0.0149	0.0142	0.0152	56.76	51	65.4	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	225114938	123835011	94400597	72.754	29434398	202915	14615	188300	0.157	1.0865	0.0019	0.0433	0.185	0	0	0	0	38	NaN	19.92	0.01515	0.01445	0.0116	0.01385	63.14	59.5	42.51	123632096
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	Sample 10/29	KNP001	241121	241121	24276	216845	100	1.112	5.481	13.1274	88.66	81.17	69.57	55.06	40.49	0.0117	0.0112	0.0093	0.0114	59.52	55	50.03	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	302497552	153838340	131821720	83.255	22016592	2980802	251030	2729772	1.8745	1.101	0.0268	0.22575	2.515	0.09	0.01	0.005	0.005	46	0.078972780493693	2.075	0.0135	0.01365	0.01	0.01115	61.53	58	43.34	150857538
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	Sample 11/29	KNP004	710127	710127	92182	617945	100	1.149	16.9266	24.5823	90.56	89.63	88.84	88.02	87.15	0.0123	0.0112	0.0111	0.0104	64.51	61	49.54	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	479828768	259190168	205560262	75.225	53629844	1933004	204394	1728610	0.699	1.12	0.01665	0.16525	1.575	0.045	0.005	0.005	0.005	292	0.562707465749291	35.01	0.0107	0.0101	0.00795	0.00825	60.485	56	43.32	257257164
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	Sample 12/29	KNP005	109404	109404	3513	105891	100	1.033	2.8574	7.3792	71.56	46.73	28.36	17.93	12.74	0.0182	0.013	0.0145	0.0137	63.55	56	49.67	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	102180635	89832059	6504711	34.4025	2949104	584308	51584	532724	0.583	1.1085	0.00555	0.09265	0.535	0.005	0	0	0	41	0.069165308709035	15.255	0.01755	0.0139	0.01305	0.0118	64.55	61	42.02	89247751
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	Sample 13/29	KNP009	705934	705934	57379	648555	100	1.088	17.3165	14.5655	90.88	90.06	89.39	88.73	88.08	0.0138	0.0115	0.0111	0.0111	62.87	59	48.89	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	225114938	123835011	94400597	72.754	29434398	202915	14615	188300	0.157	1.0865	0.0019	0.0433	0.185	0	0	0	0	38	NaN	19.92	0.01515	0.01445	0.0116	0.01385	63.14	59.5	42.51	123632096
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	Sample 10/29	KNP001	24842	24842	6424	18418	100	1.349	0.2637	8.5816	7.89	2.03	0.91	0.61	0.48	0.0242	0.0237	0.0148	0.0177	50.24	45	50.8	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	302497552	153838340	131821720	83.255	22016592	2980802	251030	2729772	1.8745	1.101	0.0268	0.22575	2.515	0.09	0.01	0.005	0.005	46	0.078972780493693	2.075	0.0135	0.01365	0.01	0.01115	61.53	58	43.34	150857538
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	Sample 11/29	KNP004	31686	31686	10073	21613	100	1.466	0.3441	11.4999	4.64	1.08	0.67	0.54	0.48	0.0221	0.016	0.017	0.018	55.87	50	49.17	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	479828768	259190168	205560262	75.225	53629844	1933004	204394	1728610	0.699	1.12	0.01665	0.16525	1.575	0.045	0.005	0.005	0.005	292	0.562707465749291	35.01	0.0107	0.0101	0.00795	0.00825	60.485	56	43.32	257257164
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	Sample 12/29	KNP005	9606	9606	1317	8289	100	1.159	0.1215	5.0191	2.99	1	0.58	0.41	0.31	0.0244	0.0238	0.02	0.0209	51.4	45	51.41	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	102180635	89832059	6504711	34.4025	2949104	584308	51584	532724	0.583	1.1085	0.00555	0.09265	0.535	0.005	0	0	0	41	0.069165308709035	15.255	0.01755	0.0139	0.01305	0.0118	64.55	61	42.02	89247751
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	Sample 13/29	KNP009	43831	43831	5577	38254	100	1.146	0.5941	7.0295	19.63	10.39	6.4	4.14	2.73	0.024	0.0256	0.0186	0.0249	54.49	49	48.5	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	225114938	123835011	94400597	72.754	29434398	202915	14615	188300	0.157	1.0865	0.0019	0.0433	0.185	0	0	0	0	38	NaN	19.92	0.01515	0.01445	0.0116	0.01385	63.14	59.5	42.51	123632096
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	Sample 10/29	KNP001	875220	875220	93146	782074	100	1.119	12.6088	17.1704	69.06	63.85	60.19	57.2	54.62	0.0179	0.017	0.0146	0.0167	55.61	51	66.75	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	302497552	153838340	131821720	83.255	22016592	2980802	251030	2729772	1.8745	1.101	0.0268	0.22575	2.515	0.09	0.01	0.005	0.005	46	0.078972780493693	2.075	0.0135	0.01365	0.01	0.01115	61.53	58	43.34	150857538
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	Sample 11/29	KNP004	374295	374295	55758	318537	100	1.175	5.1667	16.2781	62.43	53.94	47.83	42.76	38.25	0.0173	0.0173	0.0147	0.0158	55.95	50	66.15	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	479828768	259190168	205560262	75.225	53629844	1933004	204394	1728610	0.699	1.12	0.01665	0.16525	1.575	0.045	0.005	0.005	0.005	292	0.562707465749291	35.01	0.0107	0.0101	0.00795	0.00825	60.485	56	43.32	257257164
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	Sample 12/29	KNP005	34082	34082	2141	31941	100	1.067	0.4529	4.5654	21.49	6.06	2.09	1.11	0.8	0.0224	0.0221	0.0187	0.0182	48.91	42	64.15	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	102180635	89832059	6504711	34.4025	2949104	584308	51584	532724	0.583	1.1085	0.00555	0.09265	0.535	0.005	0	0	0	41	0.069165308709035	15.255	0.01755	0.0139	0.01305	0.0118	64.55	61	42.02	89247751
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	Sample 13/29	KNP009	1034481	1034481	93223	941258	100	1.099	15.4972	18.596	71.22	66.21	62.8	60.02	57.58	0.0213	0.0189	0.0186	0.0186	56.79	52	66.44	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	225114938	123835011	94400597	72.754	29434398	202915	14615	188300	0.157	1.0865	0.0019	0.0433	0.185	0	0	0	0	38	NaN	19.92	0.01515	0.01445	0.0116	0.01385	63.14	59.5	42.51	123632096
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	Sample 10/29	KNP001	36039	36039	11275	24764	100	1.455	0.5483	13.0125	6.9	3.53	2.2	1.52	1.11	0.0327	0.0298	0.025	0.03	45.78	40	57.39	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	302497552	153838340	131821720	83.255	22016592	2980802	251030	2729772	1.8745	1.101	0.0268	0.22575	2.515	0.09	0.01	0.005	0.005	46	0.078972780493693	2.075	0.0135	0.01365	0.01	0.01115	61.53	58	43.34	150857538
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	Sample 11/29	KNP004	41906	41906	16036	25870	100	1.62	0.6057	17.442	4.01	1.73	1.12	0.83	0.67	0.0286	0.0332	0.0275	0.0285	48.42	42	56.64	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	479828768	259190168	205560262	75.225	53629844	1933004	204394	1728610	0.699	1.12	0.01665	0.16525	1.575	0.045	0.005	0.005	0.005	292	0.562707465749291	35.01	0.0107	0.0101	0.00795	0.00825	60.485	56	43.32	257257164
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	Sample 12/29	KNP005	15169	15169	2745	12424	100	1.221	0.2754	8.0591	3.04	1.14	0.68	0.51	0.41	0.0288	0.035	0.0292	0.0286	45.84	40	56.53	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	102180635	89832059	6504711	34.4025	2949104	584308	51584	532724	0.583	1.1085	0.00555	0.09265	0.535	0.005	0	0	0	41	0.069165308709035	15.255	0.01755	0.0139	0.01305	0.0118	64.55	61	42.02	89247751
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	Sample 13/29	KNP009	22053	22053	5768	16285	100	1.354	0.3777	10.3838	4.63	1.85	1.08	0.75	0.56	0.0314	0.0406	0.0291	0.0362	47.95	43	56.59	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	225114938	123835011	94400597	72.754	29434398	202915	14615	188300	0.157	1.0865	0.0019	0.0433	0.185	0	0	0	0	38	NaN	19.92	0.01515	0.01445	0.0116	0.01385	63.14	59.5	42.51	123632096
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	Sample 10/29	KNP001	30796	30796	6389	24407	100	1.262	0.526	11.8357	2.91	1.12	0.83	0.67	0.59	0.0263	0.03	0.0217	0.0273	47.35	43	54.78	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	302497552	153838340	131821720	83.255	22016592	2980802	251030	2729772	1.8745	1.101	0.0268	0.22575	2.515	0.09	0.01	0.005	0.005	46	0.078972780493693	2.075	0.0135	0.01365	0.01	0.01115	61.53	58	43.34	150857538
