Group	Specimen Sample Code (Arch.)	Individual (Arch)	Screening Lib. ID	Screening Lib.ENA Run Accession	Screening Stranding	Screening Treatment	Screening Instrument	Screening Seq Date	Screening Pairing	Screening Length	Screening Raw Reads	Screening Resequencing  Lib. ID	Screening Resequencing  Lib. ENA Run Accession	Screening Resequencing Instrument	Screening Resequencing  Date	Screening Resequencing Pairing	Screening Resequencing  Length	Screening Resequencing  Raw Reads	Production Lib. ID	Production Lib. ENA Run Accession	Production Stranding	Production Treatment	Production Instrument	Production Seq Date	Production Pairing	Production Length	Production Raw Reads	Production ENA Accession	Production Resequencing Lib. ID	Production Resequencing Lib. ENA run accession	Production Resequencing Instrument	Production Resequencing  Date	Production Resequencing Pairing	Production Resequencing  Length	Production Resequencing  Raw Reads	Production Resequencing Lib. ENA Accession
Gorilla_1	641165	NA	MTM012.A0101	ERR3579683	Double-Stranded	no-UDG	HiSeq 4000	161220	Single-end	76	4713268	MTM012.A0101.170817	ERR3678182	NextSeq 500	170817	Paired-end	76	13764126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_1	620431	NA	MTM013.A0101	ERR3579684	Double-Stranded	no-UDG	HiSeq 4000	161220	Single-end	76	3428641	MTM013.A0101.170817	ERR3678183	NextSeq 500	170817	Paired-end	76	9199902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_1	621229	NA	MTS001.A0101	ERR3579685	Double-Stranded	no-UDG	HiSeq 4000	161220	Single-end	76	3237389	MTS001.A0101.170817	ERR3678184	NextSeq 500	170817	Paired-end	76	8395494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_1	631028	NA	MTS002.A0101	ERR3579686	Double-Stranded	no-UDG	HiSeq 4000	161220	Single-end	76	4366891	MTS002.A0101.170817	ERR3678185	NextSeq 500	170817	Paired-end	76	11640082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_1	631028	NA	MTS003.A0101	ERR3579687	Double-Stranded	no-UDG	HiSeq 4000	161220	Single-end	76	3209482	MTS003.A0101.170817	ERR3678186	NextSeq 500	170817	Paired-end	76	9409960	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_1	UCT209	NA	OAK001.A0101	ERR3579784	Double-Stranded	no-UDG	NextSeq 500	171215	Paired-end	76	36704098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_1	UCT184	NA	OAK002.A0101	ERR3579785	Double-Stranded	no-UDG	NextSeq 500	171215	Paired-end	76	34800808	NA	NA	NA	NA	NA	NA	NA	OAK002.A0102.SG1.1	ERR3579786	Double-Stranded	full-UDG	NextSeq 500	181018	Paired-end	76	219760056	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_1	UCT181	NA	OAK003.A0101	ERR3579787	Double-Stranded	no-UDG	NextSeq 500	171215	Paired-end	76	37603366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_1	UCT183	NA	OAK004.A0101	ERR3579788	Double-Stranded	no-UDG	NextSeq 500	171215	Paired-end	76	34034746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_1	UCT190bis	NA	OAK005.A0101	ERR3579789	Double-Stranded	no-UDG	NextSeq 500	171215	Paired-end	76	37371876	NA	NA	NA	NA	NA	NA	NA	OAK005.A0102.SG1.1	ERR3579790	Double-Stranded	full-UDG	NextSeq 500	181018	Paired-end	76	65053436	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_2	OSUT 4043	NA	OFN001.A0101	ERR3579791	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	27683114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Howler_Monkey	NA	MH 10	OME002.A0101	ERR3579792	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	27514202	NA	NA	NA	NA	NA	NA	NA	OME002.A0102.SG1.1	ERR3579793	Double-Stranded	full-UDG	NextSeq 500	181018	Paired-end	76	145490044	NA	NA	NA	NA	NA	NA	NA	NA	NA
Howler_Monkey	NA	MH 11	OME003.A0101	ERR3579794	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	26772056	NA	NA	NA	NA	NA	NA	NA	OME003.A0102.SG1.1	ERR3579795	Double-Stranded	full-UDG	NextSeq 500	181018	Paired-end	76	166087194	NA	NA	NA	NA	NA	NA	NA	NA	NA
Howler_Monkey	NA	MH 14	OME005.A0101	ERR3579796	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	17388136	NA	NA	NA	NA	NA	NA	NA	OME005.A0102.SG1.1	ERR3579797	Double-Stranded	full-UDG	NextSeq 500	181018	Paired-end	76	296525468	NA	NA	NA	NA	NA	NA	NA	NA	NA
Howler_Monkey	NA	MH 23	OME007.A0101	ERR3579798	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	21148044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Howler_Monkey	NA	MH 25	OME009.A0101	ERR3579799	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	13515446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neanderthal	Pes-3	NA	PES001.B0101	ERR3579688	Double-Stranded	no-UDG	HiSeq 4000	161031	Single-end	76	12350535	NA	NA	NA	NA	NA	NA	NA	PES001.B0103.SG1.1	ERR3678187	Double-Stranded	full-UDG	NextSeq 500	181018	Paired-end	76	99729056	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_2	Pavlov 9	NA	PLV001.A0101	ERR3579800	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	25218370	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreantibioticHuman_2	Burial 14	NA	PYK001.A0101	ERR3579801	Double-Stranded	no-UDG	NextSeq 500	171215	Paired-end	76	32880996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreantibioticHuman_2	Burial 12	NA	PYK002.A0101	ERR3579802	Double-Stranded	no-UDG	NextSeq 500	171215	Paired-end	76	37823082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreantibioticHuman_2	Iso rem #8	NA	PYK003.A0101	ERR3579803	Double-Stranded	no-UDG	NextSeq 500	171215	Paired-end	76	30804596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreantibioticHuman_2	Iso rem #13	NA	PYK004.A0101	ERR3579804	Double-Stranded	no-UDG	NextSeq 500	171215	Paired-end	76	34834172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreantibioticHuman_2	La sp not rep	NA	PYK005.A0101	ERR3579805	Double-Stranded	no-UDG	NextSeq 500	171215	Paired-end	76	43549912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_2	Rigney 1	NA	RIG001.A0101	ERR3579806	Double-Stranded	no-UDG	NextSeq 500	170817	Paired-end	76	58161058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neanderthal	NA	NA	SPM001.A0101	ERR3579807	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	17859222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neanderthal	NA	NA	SPM002.A0101	ERR3579808	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	21382622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_1	Taforalt 3966	TAF 1	TAF008.B0101	ERR3579809	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	26880590	NA	NA	NA	NA	NA	NA	NA	TAF008.B0102.SG1.1	ERR3579810	Double-Stranded	full-UDG	NextSeq 500	181018	Paired-end	76	128930050	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_1	Taforalt 12307	TAF 14	TAF016.B0101	ERR3579811	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	12036150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_1	Taforalt 3727	TAF 3	TAF017.A0101	ERR3579812	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	17735630	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_1	Taforalt 3701	TAF 3	TAF017.C0101	ERR3579814	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	6739326	TAF017.C0101.171215	ERR3579813	NextSeq 500	171215	Paired-end	76	6781684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_1	Taforalt 3700	TAF 3	TAF017.E0101	ERR3579816	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	62506	TAF017.E0101.171215	ERR3579815	NextSeq 500	171215	Paired-end	76	62506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_1	Taforalt 8837	TAF 10	TAF018.A0101	ERR3579817	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	15631906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PreagriculturalHuman_1	Taforalt 6498	isolated tooth but probably TAF 10	TAF018.B0101	ERR3579818	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	15041368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ModernDayHuman_2	NA	NA	VLC001.A0101	ERR3579819	Double-Stranded	no-UDG	NextSeq 500	180201	Paired-end	150	82467326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ModernDayHuman_2	NA	NA	VLC002.A0101	ERR3579820	Double-Stranded	no-UDG	NextSeq 500	180201	Paired-end	150	31782890	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ModernDayHuman_2	NA	NA	VLC003.A0101	ERR3579821	Double-Stranded	no-UDG	NextSeq 500	180201	Paired-end	150	52539098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ModernDayHuman_2	NA	NA	VLC004.A0101	ERR3579822	Double-Stranded	no-UDG	NextSeq 500	180201	Paired-end	150	87382752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ModernDayHuman_2	NA	NA	VLC005.A0101	ERR3579823	Double-Stranded	no-UDG	NextSeq 500	180201	Paired-end	150	89173288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ModernDayHuman_2	NA	NA	VLC008.A0101	ERR3579824	Double-Stranded	no-UDG	NextSeq 500	180201	Paired-end	150	70978956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ModernDayHuman_2	NA	NA	VLC009.A0101	ERR3579825	Double-Stranded	no-UDG	NextSeq 500	180201	Paired-end	150	66958370	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ModernDayHuman_2	NA	NA	VLC010.A0101	ERR3579826	Double-Stranded	no-UDG	NextSeq 500	180201	Paired-end	150	38772040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neanderthal	NA	NA	VLD001.A0101	ERR3579827	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	23582588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gorilla_3	9220-M-	9220-M-	WAL001.A0101	ERR3579829	Double-Stranded	no-UDG	NextSeq 500	171114	Paired-end	76	9883232	WAL001.A0101.171215	ERR3579828	NextSeq 500	171215	Paired-end	76	21199810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neanderthal	NA	NA	ZAF001.A0101	ERR3579830	Double-Stranded	no-UDG	NextSeq 500	170823	Paired-end	76	30028164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
