#SampleID	BarcodeSequence	LinkerPrimerSequence	Study	Accession_ID	SourceSink	Env	Description	Host_General	Host_Genus	Host_Common	Code	Is_Oral	Age	Location	Site	ToothSource	Type	LabProtocol	ScreeningDeepData	NCBI Project ID	individual_id	SumSampleWeight_mg	SumExtractionConcentration_ng_ul	SumLibraryConcentration_copies_ul	Sample_or_Control	Individual_Seq_Depth	Individual_Seq_Depth_NonHuman	Percentage_Hits	Percentage_Hits_with_Taxonomy	Min_Support_Reads_Threshold_MALT	Min_Support_Reads_Threshold_MALT_refseq	Min_Support_Reads_Threshold_MP2	Proportion_EnvironmentalControl	Proportion_SD_EnvironmentalControl	Proportion_ruralGut	Proportion_SD_ruralGut	Proportion_sediment	Proportion_SD_sediment	Proportion_skin	Proportion_SD_skin	Proportion_subPlaque	Proportion_SD_subPlaque	Proportion_supPlaque	Proportion_SD_supPlaque	Proportion_urbanGut	Proportion_SD_urbanGut	Proportion_Unknown	Proportion_SD_Unknown	Proportion_This_Env	Proportion_SD_This_Env
GDC005.A0101	NA	NA	This_study	NA	sink	Gorilla_2	Gorilla_gorilla	Gorilla	Gorilla	Gorilla	GO2	Calculus	Historical	Cameroon	Unknown	Molar	Calculus	B.3	Screening	NA	GDC005	0	0.052	7032000	Sample	16338526	9931068	40.7733488483	40.7727346142	404	375	158	0	0	0.074	0.0149666295470958	0.2907	0.0160627242742665	0.3256	0.0120756872360219	0.1696	0.0136316624893012	0	0	1e-04	0.000316227766016838	0.14	0.0119350091933121	NA	NA
BIT001.A0101	NA	NA	This_study	NA	sink	Gorilla_3	Gorilla_beringei_graueri	Gorilla	Gorilla	Gorilla	GO3	Calculus	Historical	Congo	Bitule	Multiple	Calculus	B.3	Screening	NA	BIT001	0	1.65	640900000	Sample	24433589	23239961	14.8763846893	14.8666385456	345	461	64	0.2244	0.0132597972164819	1e-04	0.000316227766016838	0.1879	0.0151470569198552	0.3891	0.0113181270535367	0	0	0.1135	0.00910738406154283	0	0	0.085	0.00813770374382247	NA	NA
FDM001.A0101	NA	NA	This_study	NA	sink	Gorilla_3	Gorilla_beringei_graueri	Gorilla	Gorilla	Gorilla	GO3	Calculus	Historical	Congo	Foret de Maniema	Multiple	Calculus	B.3	Screening	NA	FDM001	0	0.0433	28760000	Sample	16663862	4889751	32.0640253461	32.0625733294	156	204	56	0.0612	0.0132060592153753	0	0	0.3578	0.0157112839845903	0.0655	0.0121128948737377	0	0	0.4645	0.0171091268690784	0	0	0.051	0.00805536398239638	NA	NA
IBA001.A0101	NA	NA	This_study	NA	sink	Gorilla_3	Gorilla_beringei_graueri	Gorilla	Gorilla	Gorilla	GO3	Calculus	Historical	Congo	Ibatsero	Multiple	Calculus	B.3	Screening	NA	IBA001	0	0.231	105300000	Sample	12055695	12987664	18.5933821509	18.5919962204	241	407	122	0	0	0	0	0.6689	0.0150292307779799	0.2301	0.00987083245391863	1e-04	0.000316227766016838	0.0307	0.00868011776673822	0	0	0.0702	0.00986351300951588	NA	NA
IBA002.A0101	NA	NA	This_study	NA	sink	Gorilla_3	Gorilla_beringei_graueri	Gorilla	Gorilla	Gorilla	GO3	Calculus	Historical	Congo	Ibatsero	Multiple	Calculus	B.3	Screening	NA	IBA002	0	0.433	302800000	Sample	13127864	19022015	51.2898134083	51.2894506707	975	1297	867	0	0	0	0	0.1713	0.0122569708057633	0.7232	0.00785705627657925	0	0	0	0	0	0	0.1055	0.00999166319154791	NA	NA
WAL001.A0101	NA	NA	This_study	NA	sink	Gorilla_3	Gorilla_beringei_graueri	Gorilla	Gorilla	Gorilla	GO3	Calculus	Historical	Congo	Walikale	Multiple	Calculus	B.3	Screening	NA	WAL001	0	0.144	94630000	Sample	14985035	14881423	19.3411140857	19.3406437005	287	257	102	0	0	0	0	0.2953	0.0172372336011966	0.6268	0.0133566462856512	1e-04	0.000316227766016838	9e-04	0.00284604989415154	0	0	0.0769	0.00704666982024527	NA	NA
OME002.A0101	NA	NA	This_study	NA	sink	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	AL0	Calculus	Historical	Nicaragua	Ometepe Biological Field Station	Multiple	Calculus	B.4	Both	NA	OME002	0	0.479	279400000	Sample	14159411	13994463	18.0070003401	18.0040706099	251	499	151	0.0181	0.015066150433634	0	0	0.1265	0.0193864213647938	0.0351	0.00508702052067591	0.4661	0.041687861276129	0.2881	0.0440717848767465	3e-04	0.000948683298050514	0.0658	0.00461398839279954	NA	NA
OME003.A0101	NA	NA	This_study	NA	sink	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	AL0	Calculus	Historical	Nicaragua	Ometepe Biological Field Station	Multiple	Calculus	B.4	Both	NA	OME003	0	3.91	1300000000	Sample	14096803	13956736	16.7146530536	16.7140225336	233	402	70	0	0	0	0	0.1436	0.0179455967982245	0.0656	0.0130401090656652	0.4451	0.0513061616399261	0.3064	0.0467622829972095	0	0	0.0393	0.00621914606499781	NA	NA
OME005.A0101	NA	NA	This_study	NA	sink	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	AL0	Calculus	Historical	Nicaragua	Ometepe Biological Field Station	Multiple	Calculus	B.4	Both	NA	OME005	0	0.197	75460000	Sample	9532562	9470819	17.9578133633	17.953579305	170	274	26	0	0	1e-04	0.000316227766016838	0.1063	0.0115859109841796	0.0963	0.0184935424165061	0.1424	0.0430121429882823	0.599	0.0288598144292178	0	0	0.0559	0.00968905453477159	NA	NA
OME007.A0101	NA	NA	This_study	NA	sink	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	AL0	Calculus	Historical	Nicaragua	Ometepe Biological Field Station	Multiple	Calculus	B.4	Screening	NA	OME007	0	0.351	76000000	Sample	11587294	11490181	21.4972505655	21.4915239368	247	371	62	0	0	0	0	0.1356	0.0104583831340116	0.0489	0.00826572575290411	0.0039	0.0098482937044388	0.765	0.0105725010181025	1e-04	0.000316227766016838	0.0465	0.00435252161906687	NA	NA
OME009.A0101	NA	NA	This_study	NA	sink	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	AL0	Calculus	Historical	Nicaragua	Ometepe Biological Field Station	Multiple	Calculus	B.4	Screening	NA	OME009	0	0.233	41700000	Sample	7487708	7422246	19.4258180071	19.4230829859	144	204	31	0	0	0	0	0.1759	0.0124939985593084	0.0768	0.0154545929886375	0	0	0.6785	0.0121220643639788	0	0	0.0688	0.0075395254787317	NA	NA
LIB015.A0101	NA	NA	This_study	NA	sink	LibraryControl	library_control	LibraryControl	Control	LibraryControl	LI0	Blank	ModernDay	Germany	Jena	None	Blank	X.1	Screening	NA	LIB015.A0101	NA	NA	2495225	Control	1838479	1451516	39.9294944045	39.9287365761	57	73	6	0	0	0	0	0.2659	0.0149328124909171	0.2362	0.0192919096456981	0.1382	0.0199655258438695	0.2399	0.026408963124919	1e-04	0.000316227766016838	0.1197	0.00681583124465062	NA	NA
JAE006.A0101	NA	NA	This_study	NA	sink	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM1	Calculus	ModernDay	Spain	Jaen	Unknown	Calculus	C.2	Screening	NA	JAE006	4.3	8.437	1664000000	Sample	19132114	87883942	68.8751137267	68.8749339441	6053	7599	3438	0	0	0	0	0.039	0.0109848380355227	0.0044	0.00739669595908275	0.0416	0.0453289213539338	0.8833	0.0417134404132662	0	0	0.0317	0.00400138864784603	NA	NA
JAE007.A0101	NA	NA	This_study	NA	sink	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM1	Calculus	ModernDay	Spain	Jaen	Unknown	Calculus	C.2	Screening	NA	JAE007	5.3	10.06	1238500000	Sample	88613670	66419551	73.8007488187	73.8005666434	4901	5881	2639	0	0	0	0	0.0011	0.00347850542618522	0.0032	0.00520256347070045	0.5707	0.0312589542726915	0.4018	0.0306768099167216	0	0	0.0232	0.00449196814077947	NA	NA
JAE008.A0101	NA	NA	This_study	NA	sink	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM1	Calculus	ModernDay	Spain	Jaen	Unknown	Calculus	C.2	Screening	NA	JAE008	4.8	7.161	1156500000	Sample	66728743	65296039	51.9875853419	51.9874444451	3394	4854	1743	1e-04	0.000316227766016838	0	0	0.1157	0.0150114770906945	0.0024	0.00514673575083168	0.6895	0.0271057599454843	0.1706	0.0332739470991278	0	0	0.0217	0.00478539444560216	NA	NA
JAE009.A0101	NA	NA	This_study	NA	sink	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM1	Calculus	ModernDay	Spain	Jaen	Unknown	Calculus	C.2	Screening	NA	JAE009	4	7.275	1048000000	Sample	66717630	66062410	44.3771124911	44.3769565779	2931	4934	2377	0	0	0.0013	0.00411096095821889	0.0784	0.0135908465928768	0	0	0.6108	0.0266616661978288	0.2745	0.0220113607030551	0.0025	0.00609644705272396	0.0325	0.00499444135459056	NA	NA
JAE010.A0101	NA	NA	This_study	NA	sink	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM1	Calculus	ModernDay	Spain	Jaen	Unknown	Calculus	C.2	Screening	NA	JAE010	5.7	9.86	1104500000	Sample	66584109	60027336	62.4698620642	62.4697587779	3749	5065	2478	0	0	0	0	0.0703	0.00940508136889605	0	0	0.3404	0.0706150755072094	0.5665	0.0644019495909177	0	0	0.0228	0.0035213633723318	NA	NA
JAE012.A0101	NA	NA	This_study	NA	sink	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM1	Calculus	ModernDay	Spain	Jaen	Unknown	Calculus	C.2	Screening	NA	JAE012	4.7	6.439	935500000	Sample	60316527	62752277	40.9579974285	40.9575671653	2570	5136	3147	0	0	0	0	0.0401	0.00523768396653839	0	0	0.6163	0.034925476215635	0.3346	0.0345002415450482	0	0	0.009	0.00216024689946929	NA	NA
JAE013.A0101	NA	NA	This_study	NA	sink	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM1	Calculus	ModernDay	Spain	Jaen	Unknown	Calculus	C.2	Screening	NA	JAE013	4.2	6.977	1000000000	Sample	63543283	38954329	59.2502671526	59.2500771865	2308	3382	1924	0	0	0	0	0.0514	0.00952423808559567	0.0209	0.00929097531060234	0.1464	0.025517749813719	0.7678	0.0222001000998744	0	0	0.0135	0.003749073959734	NA	NA
JAE014.A0101	NA	NA	This_study	NA	sink	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM1	Calculus	ModernDay	Spain	Jaen	Unknown	Calculus	C.2	Screening	NA	JAE014	3.9	6.201	1410500000	Sample	39086563	68620482	39.8550027672	39.8547943747	2734	4299	1521	0	0	0.0703	0.00739444235745859	0.0277	0.0158117396611224	0	0	0.8235	0.0118438920029599	0	0	0	0	0.0785	0.00794774601171091	NA	NA
JAE015.A0101	NA	NA	This_study	NA	sink	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM1	Calculus	ModernDay	Spain	Jaen	Unknown	Calculus	C.2	Screening	NA	JAE015	2.9	6.88	624500000	Sample	68875543	57512281	48.0804612844	48.0803221837	2765	3834	1299	0	0	0.1815	0.0139622506940838	0	0	0	0	0.6397	0.0109954536059228	0.0015	0.00474341649025257	0	0	0.1773	0.00793095202355934	NA	NA
JAE016.A0101	NA	NA	This_study	NA	sink	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM1	Calculus	ModernDay	Spain	Jaen	Unknown	Calculus	C.2	Screening	NA	JAE016	3.2	6.357	1518500000	Sample	57698550	94564553	40.5987717195	40.5986871212	3839	5837	2145	0	0	0.0692	0.00956614400430555	0.0486	0.0126508673396113	0	0	0.796	0.01329995822884	0	0	0	0	0.0862	0.00364539283053128	NA	NA
VLC001.A0101	NA	NA	This_study	NA	sink	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM2	Calculus	ModernDay	Spain	Valencia	Unknown	Calculus	C.2	Screening	NA	VLC001	4.6	5.65	51930000	Sample	39763648	34450702	54.4554621848	54.4552241635	1876	2652	1409	0	0	7e-04	0.00221359436211787	0.0433	0.0116146459265877	0	0	0.9052	0.0101849562263828	6e-04	0.00189736659610103	0.02	0.00514241620684717	0.0302	0.0035213633723318	NA	NA
VLC002.A0101	NA	NA	This_study	NA	sink	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM2	Calculus	ModernDay	Spain	Valencia	Unknown	Calculus	C.2	Screening	NA	VLC002	9.9	4.98	56490000	Sample	14651733	15733227	51.2956623584	51.2954716791	807	1156	354	0	0	0	0	0.1766	0.0145464772367745	0.0079	0.00717170365626839	0.6246	0.0313907275764322	0.1517	0.0293713768451153	0	0	0.0392	0.00475628239512986	NA	NA
VLC003.A0101	NA	NA	This_study	NA	sink	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM2	Calculus	ModernDay	Spain	Valencia	Unknown	Calculus	C.2	Screening	NA	VLC003	7.1	4.7	99420000	Sample	25604544	26094614	56.616012791	56.6155644226	1477	2152	871	0	0	0	0	0.1366	0.0187569246472395	1e-04	0.000316227766016838	0.4125	0.0295418723547141	0.4368	0.0221098268750446	0	0	0.014	0.00444722135470878	NA	NA
VLC004.A0101	NA	NA	This_study	NA	sink	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM2	Calculus	ModernDay	Spain	Valencia	Unknown	Calculus	C.2	Screening	NA	VLC004	6.9	2.93	51260000	Sample	42121391	43315114	39.1942082849	39.1940259005	1697	2989	1349	0	0	1e-04	0.000316227766016838	0.051	0.00623609564462324	0.0085	0.00377859468291821	0.885	0.039600785626326	0.0233	0.0391664539001313	0	0	0.0321	0.00280673792466945	NA	NA
VLC005.A0101	NA	NA	This_study	NA	sink	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM2	Calculus	ModernDay	Spain	Valencia	Unknown	Calculus	C.2	Screening	NA	VLC005	11	3.17	45880000	Sample	42366666	44131346	53.4352271966	53.4349779406	2358	3204	1396	1e-04	0.000316227766016838	0	0	0.117	0.0193045763140937	2e-04	0.000632455532033676	0.6522	0.0311119841147355	0.196	0.027117030319217	1e-04	0.000316227766016838	0.0344	0.00581568759668384	NA	NA
VLC008.A0101	NA	NA	This_study	NA	sink	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM2	Calculus	ModernDay	Spain	Valencia	Unknown	Calculus	C.2	Screening	NA	VLC008	1.9	1.45	18600000	Sample	34385347	35776120	57.734150601	57.7338766753	2065	2876	1236	0	0	0	0	0.0314	0.0196649716783704	0	0	0.6752	0.0228755084946518	0.2526	0.0258164460933121	0	0	0.0408	0.00697296366132954	NA	NA
VLC009.A0101	NA	NA	This_study	NA	sink	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM2	Calculus	ModernDay	Spain	Valencia	Unknown	Calculus	C.2	Screening	NA	VLC009	2.2	1.2	17510000	Sample	32500037	33664784	48.055724938	48.0556298831	1617	2656	1164	0	0	0	0	0.0074	0.00889694079757506	0.0067	0.00383115880351856	0.4363	0.0483851446440147	0.5358	0.0471682567458714	0	0	0.0138	0.00439191175786683	NA	NA
VLC010.A0101	NA	NA	This_study	NA	sink	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	HM2	Calculus	ModernDay	Spain	Valencia	Unknown	Calculus	C.2	Screening	NA	VLC010	2.3	0.659	12170000	Sample	18109628	19113086	44.4385433101	44.4384543658	849	1496	548	0	0	0	0	0.0454	0.00939503414930817	0	0	0.2631	0.0289768106518912	0.6674	0.0283674304636693	0	0	0.0241	0.00378447119452933	NA	NA
ElSidron1	NA	NA	Weyrich2017	NA	sink	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	HN0	Calculus	Palaeolithic	Spain	El Sidron	Unknown	Calculus	NA	Screening	NA	ElSidron1	NA	NA	NA	Sample	50286713	50263252	16.2938939964	16.2932175578	818	1425	261	0	0	0.0022	0.00628578643537236	0.2853	0.0204398847572311	0	0	0.2761	0.0574542329936523	0.0601	0.0521758777810419	0.0938	0.0226362541070735	0.2825	0.0156080463579242	NA	NA
ElSidron2	NA	NA	Weyrich2017	NA	sink	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	HN0	Calculus	Palaeolithic	Spain	El Sidron	Unknown	Calculus	NA	Screening	NA	ElSidron2	NA	NA	NA	Sample	48231792	48199813	20.9627161832	20.9623987545	1010	1811	299	0	0	0.0013	0.00411096095821889	0.2215	0.0208553217295837	0.0019	0.00384274207652123	0.1898	0.0275229197417554	0.2189	0.0230335504090109	0.2109	0.0104184665111735	0.1557	0.0100116598690394	NA	NA
FUM001.A0101	NA	NA	This_study	NA	sink	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	HN0	Calculus	Palaeolithic	Italy	Fumane Cave	Premolar	Calculus	B.3	Screening	NA	FUM001	0	0.053	143100	Sample	17346934	10808498	32.0846152722	32.0831257035	346	516	112	0.0037	0.00788881064123949	0.0131	0.0175654332267794	0.3252	0.0226362541070735	0.2808	0.0188667844519291	0.0113	0.0212187024422638	0.2139	0.0140669036314954	0.016	0.0146893763576871	0.136	0.00952190457139046	NA	NA
FUM002.A0101	NA	NA	This_study	NA	sink	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	HN0	Calculus	Palaeolithic	Italy	Fumane Cave	Incisor	Calculus	B.3	Both	NA	FUM002	0	0	9432000	Sample	17170133	17157534	20.8222347104	20.8220540318	357	686	113	0.0045	0.0116928278111936	0.0033	0.00696100248208227	0.3611	0.0190055547435772	0.0115	0.00748702581507207	0	0	0.4628	0.00933095207718197	0.0527	0.00895730614265993	0.1041	0.00899938269487907	NA	NA
FUM003.A0101	NA	NA	This_study	NA	sink	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	HN0	Calculus	Palaeolithic	Italy	Fumane Cave	Incisor	Calculus	B.3	Screening	NA	FUM003	0	0	1378000	Sample	11389360	15708618	22.6705875717	22.6692188963	356	597	74	0	0	0	0	0.5649	0.0124494533570309	0.2002	0.0160124951209985	0	0	0.1147	0.00861587681744193	0	0	0.1202	0.00720802022441361	NA	NA
GDN001.A0101	NA	NA	This_study	NA	sink	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	HN0	Calculus	Palaeolithic	Italy	Grotta de Nadale	Unknown	Calculus	B.3	Screening	NA	GDN001	1.8	0	NA	Sample	15326226	30835470	25.2776169781	25.2770299918	779	1096	104	0.0059	0.0091098237572902	0	0	0.0987	0.0204887503008087	0.0122	0.00358391468152416	0	0	0.2499	0.00508702052067591	0.0416	0.010637460014287	0.5917	0.0108939330720258	NA	NA
GOY005.A0101	NA	NA	This_study	NA	sink	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	HN0	Calculus	Palaeolithic	Belgium	Goyet	Unknown	Calculus	B.1	Both	NA	GOY005	3	0	29350000	Sample	21055051	9163118	21.2579713587	21.2575784793	194	337	110	0	0	0	0	0.401	0.0154272486205415	0.0555	0.0133520701682465	0.231	0.0549706992658614	0.1902	0.047890616107032	0	0	0.1223	0.00920205291105076	NA	NA
GOY006.A0101	NA	NA	This_study	NA	sink	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	HN0	Calculus	Palaeolithic	Belgium	Goyet	Unknown	Calculus	B.1	Screening	NA	GOY006	5	0	0	Sample	9332707	3799236	23.0914583879	23.0905634712	87	131	27	0	0	0.0219	0.0200136064827018	0.4591	0.0230045889141952	0.0563	0.00555877684387492	0.1548	0.0355833918812945	0.1709	0.037837224469503	0.0059	0.0139717969893322	0.1311	0.00925502866314068	NA	NA
GUE001.A0101	NA	NA	This_study	NA	sink	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	HN0	Calculus	Palaeolithic	Spain	La Guelga	Unknown	Calculus	B.3	Screening	NA	GUE001	0	0	188000	Sample	5048233	11156331	8.5721640923	8.5683456326	95	117	12	0.6088	0.0101521754647301	0	0	0.1942	0.0144898431860236	0.1189	0.00779529772790409	0	0	0	0	0	0	0.0781	0.00414862761779255	NA	NA
PES001.B0101	NA	NA	This_study	NA	sink	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	HN0	Calculus	Palaeolithic	Serbia	Pesturina	Unknown	Calculus	B.1	Both	NA	PES001	0.7	0	10970000	Sample	11916500	11872279	38.8872599776	38.8868893664	461	644	144	0	0	0	0	0.1549	0.0158846536702008	0.2292	0.0142345432740999	0	0	0.4472	0.0151422880995208	0.026	0.00813770374382247	0.1427	0.010392839415247	NA	NA
SPM001.A0101	NA	NA	This_study	NA	sink	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	HN0	Calculus	Palaeolithic	Spain	Sima de las Palomas	Unknown	Calculus	B.3	Screening	NA	SPM001	0	0	272700	Sample	8654980	4576676	58.0012218475	57.9960434167	265	306	34	0.0028	0.00885437744847146	4e-04	0.00126491106406735	0.214	0.0216641024123626	0.601	0.0141970262926979	2e-04	0.000632455532033676	0	0	0.0016	0.00440201973845845	0.18	0.00637704215656966	NA	NA
SPM002.A0101	NA	NA	This_study	NA	sink	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	HN0	Calculus	Palaeolithic	Spain	Sima de las Palomas	Molar	Calculus	B.3	Screening	NA	SPM002	0	0	110100	Sample	13589782	2095474	76.5404390606	76.5391982912	160	155	32	0	0	0	0	0.0572	0.0113313723793722	0.8958	0.0107061768256564	0	0	8e-04	0.0025298221281347	8e-04	0.0025298221281347	0.0454	0.00374759181934805	NA	NA
SpyNew	NA	NA	Weyrich2017	NA	sink	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	HN0	Calculus	Palaeolithic	Belgium	Spy	Unknown	Calculus	NA	Screening	NA	SpyNew	NA	NA	NA	Sample	4041681	4024112	18.3948160489	18.3948160489	74	126	4	1e-04	0.000316227766016838	0	0	0.0938	0.00528730134903956	0	0	0	0	0.4204	0.00347051068928544	0.4857	0.00512184862460161	0	0	NA	NA
SpyOld	NA	NA	Weyrich2017	NA	sink	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	HN0	Calculus	Palaeolithic	Belgium	Spy	Unknown	Calculus	NA	Screening	NA	SpyOld	NA	NA	NA	Sample	17604340	17175527	13.1923637627	13.1880669513	226	289	42	0	0	0	0	0.4937	0.0200502147397755	0.2538	0.0159010831217387	0	0	0.057	0.0077746025264604	0.0718	0.0101958597261612	0.1237	0.0130643705465582	NA	NA
VLD001.A0101	NA	NA	This_study	NA	sink	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	HN0	Calculus	Palaeolithic	Spain	Cueva de Valdegoba	Unknown	Calculus	B.3	Screening	NA	VLD001	0	0	1246000	Sample	10434687	9040714	23.6726214323	23.6718803404	214	307	36	3e-04	0.000948683298050514	4e-04	0.00126491106406735	0.4455	0.0117968922461243	0.1222	0.00586515131944607	0.0016	0.00505964425626941	0.2447	0.00976444798462486	0	0	0.1853	0.0111758668567588	NA	NA
ZAF001.A0101	NA	NA	This_study	NA	sink	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	HN0	Calculus	Palaeolithic	Spain	Cueva del Boquete de Zafarraya	Unknown	Calculus	B.3	Screening	NA	ZAF001	0	0	436500	Sample	11864184	8749845	15.0447350782	15.0424378946	131	183	30	0.1874	0.0105007936208016	1e-04	0.000316227766016838	0.1994	0.0112170505134916	0.2865	0.0199958328992151	0.2579	0.0215944951833152	0.0121	0.0221833270723758	5e-04	0.00158113883008419	0.0561	0.00724875468231919	NA	NA
MOA001.A0101	NA	NA	This_study	NA	sink	PreagriculturalHuman_1	Homo_sapiens_sapiens	PreagriculturalHuman	Homo	Homo (Modern Human)	HG1	Calculus	Later_Stone_Age	Ethiopia	Mota	Multiple	Calculus	B.2	Screening	NA	MOA001	2	0	NA	Sample	15210947	15176910	31.5774225452	31.5772644102	479	602	82	0	0	0.1708	0.0242981480775799	0.1777	0.0308474742348003	0	0	0.2838	0.0157818461108536	0	0	0.0074	0.0139299836483911	0.3603	0.0179508588466773	NA	NA
OAK001.A0101	NA	NA	This_study	NA	sink	PreagriculturalHuman_1	Homo_sapiens_sapiens	PreagriculturalHuman	Homo	Homo (Modern Human)	HG1	Calculus	Epipalaeolithic	South_Africa	Oakhurst	Molar	Calculus	B.3	Screening	NA	OAK001	1.2	0.128	923900	Sample	11356072	11211671	14.5684706588	14.5671060094	163	235	16	0.1339	0.0193818357117058	0	0	0.4052	0.0276799165059755	0.0125	0.00406201920231798	0.3197	0.00893246264413622	0	0	0	0	0.1287	0.0129447544073523	NA	NA
OAK002.A0101	NA	NA	This_study	NA	sink	PreagriculturalHuman_1	Homo_sapiens_sapiens	PreagriculturalHuman	Homo	Homo (Modern Human)	HG1	Calculus	Epipalaeolithic	South_Africa	Oakhurst	Molar	Calculus	B.3	Both	NA	OAK002	1.7	0.068	34460000	Sample	14080724	14005970	29.8923030679	29.8920103356	418	693	293	0	0	1e-04	0.000316227766016838	0.3091	0.0133037171079698	0.0559	0.0143484416498022	0.0385	0.0361301659128337	0.5082	0.0335916656330108	0	0	0.0882	0.00795543140809403	NA	NA
OAK003.A0101	NA	NA	This_study	NA	sink	PreagriculturalHuman_1	Homo_sapiens_sapiens	PreagriculturalHuman	Homo	Homo (Modern Human)	HG1	Calculus	Epipalaeolithic	South_Africa	Oakhurst	Molar	Calculus	B.3	Screening	NA	OAK003	3.2	0.256	255000000	Sample	17248930	17189509	29.6647216625	29.6643842474	509	683	105	0	0	0.0103	0.0135568760741142	0.1764	0.0169128485017883	2e-04	0.000632455532033676	0.3469	0.00929097531060232	0	0	0.0099	0.011357327541675	0.4563	0.0158047109713809	NA	NA
OAK004.A0101	NA	NA	This_study	NA	sink	PreagriculturalHuman_1	Homo_sapiens_sapiens	PreagriculturalHuman	Homo	Homo (Modern Human)	HG1	Calculus	Epipalaeolithic	South_Africa	Oakhurst	Molar	Calculus	B.3	Screening	NA	OAK004	2.9	0.0715	14850000	Sample	14644010	13488774	31.0176447467	31.0172740681	418	735	369	0	0	0.0011	0.00347850542618522	0.3032	0.0214465744480454	0.0726	0.00605896947600094	0.4359	0.0647996056229426	0.1297	0.0720540692042364	0	0	0.0575	0.00910738406154283	NA	NA
OAK005.A0101	NA	NA	This_study	NA	sink	PreagriculturalHuman_1	Homo_sapiens_sapiens	PreagriculturalHuman	Homo	Homo (Modern Human)	HG1	Calculus	Epipalaeolithic	South_Africa	Oakhurst	Molar	Calculus	B.3	Both	NA	OAK005	0	0.197	234100000	Sample	17004996	16940328	34.0567018537	34.0565365677	576	877	228	0	0	0	0	0.2561	0.0165559656921606	0.0065	0.00525462759014482	0.635	0.0121837779216647	1e-04	0.000316227766016838	0.0528	0.0116599980941489	0.0495	0.00552268050859363	NA	NA
