Mapping Strategy	Genus	Reference	Sample	SNP Calls (all)	SNP Calls (het)	Percentage Polymorphic over All
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	FUM002	45378	21200	46.72
initial_single_genome	Campylobacter	Campylobacter_gracilis	FUM002	72	6	8.33
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	FUM002	63	33	52.38
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	FUM002	837	169	20.19
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	FUM002	401	52	12.97
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	FUM002	48	9	18.75
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	FUM002	21445	574	2.68
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	FUM002	953	92	9.65
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	FUM002	260	13	5.00
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	FUM002	78	26	33.33
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	FUM002	38796	8706	22.44
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	FUM002	316	122	38.61
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	FUM002	4179	403	9.64
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	FUM002	12993	1223	9.41
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	FUM002	119	2	1.68
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	FUM002	54	6	11.11
superreference_mapping	Actinomyces	Actinomyces	GOY005	39953	19063	47.71
superreference_mapping	Campylobacter	Campylobacter	GOY005	36518	11030	30.20
superreference_mapping	Capnocytophaga	Capnocytophaga	GOY005	7346	974	13.26
superreference_mapping	Corynebacterium	Corynebacterium	GOY005	40935	16047	39.20
superreference_mapping	Fretibacterium	Fretibacterium	GOY005	21379	3604	16.86
superreference_mapping	Fusobacterium	Fusobacterium	GOY005	17192	6606	38.42
superreference_mapping	Olsenella	Olsenella	GOY005	48937	8367	17.10
superreference_mapping	Ottowia	Ottowia	GOY005	3602	1130	31.37
superreference_mapping	Porphyromonas	Porphyromonas	GOY005	500	64	12.80
superreference_mapping	Prevotella	Prevotella	GOY005	22514	9610	42.68
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	GOY005	153551	102402	66.69
superreference_mapping	Selenomonas	Selenomonas	GOY005	521	138	26.49
superreference_mapping	Streptococcus	Streptococcus	GOY005	44237	18849	42.61
superreference_mapping	Tannerella	Tannerella	GOY005	24378	2250	9.23
superreference_mapping	Treponema	Treponema	GOY005	6410	217	3.39
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	GOY005	116212	79596	68.49
initial_single_genome	Campylobacter	Campylobacter_gracilis	GOY005	39630	12831	32.38
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	GOY005	22903	4726	20.63
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	GOY005	112363	46565	41.44
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	GOY005	21379	3604	16.86
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	GOY005	53359	29734	55.72
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	GOY005	51493	9528	18.50
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	GOY005	18308	5761	31.47
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	GOY005	1482	320	21.59
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	GOY005	80330	38209	47.57
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	GOY005	154836	103674	66.96
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	GOY005	2085	751	36.02
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	GOY005	47646	19339	40.59
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	GOY005	102031	48976	48.00
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	GOY005	25060	2718	10.85
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	GOY005	6718	306	4.55
superreference_mapping	Actinomyces	Actinomyces	PES001	59018	32052	54.31
superreference_mapping	Campylobacter	Campylobacter	PES001	349	0	0.00
superreference_mapping	Capnocytophaga	Capnocytophaga	PES001	73	47	64.38
superreference_mapping	Corynebacterium	Corynebacterium	PES001	91	7	7.69
superreference_mapping	Fretibacterium	Fretibacterium	PES001	3510	289	8.23
superreference_mapping	Fusobacterium	Fusobacterium	PES001	18	3	16.67
superreference_mapping	Olsenella	Olsenella	PES001	49325	5945	12.05
superreference_mapping	Ottowia	Ottowia	PES001	214	34	15.89
superreference_mapping	Porphyromonas	Porphyromonas	PES001	12	0	0.00
superreference_mapping	Prevotella	Prevotella	PES001	31	0	0.00
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	PES001	105253	63337	60.18
superreference_mapping	Selenomonas	Selenomonas	PES001	32	4	12.50
superreference_mapping	Streptococcus	Streptococcus	PES001	41777	18605	44.53
superreference_mapping	Tannerella	Tannerella	PES001	331	5	1.51
superreference_mapping	Treponema	Treponema	PES001	1142	11	0.96
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	PES001	98420	61901	62.89
initial_single_genome	Campylobacter	Campylobacter_gracilis	PES001	414	3	0.72
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	PES001	189	65	34.39
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	PES001	828	145	17.51
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	PES001	3510	289	8.23
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	PES001	165	16	9.70
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	PES001	50458	6195	12.28
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	PES001	1624	197	12.13
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	PES001	40	2	5.00
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	PES001	314	29	9.24
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	PES001	105645	63692	60.29
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	PES001	305	143	46.89
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	PES001	25303	10220	40.39
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	PES001	80785	38088	47.15
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	PES001	356	10	2.81
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	PES001	1204	15	1.25
superreference_mapping	Actinomyces	Actinomyces	ECO002	34364	14543	42.32
superreference_mapping	Campylobacter	Campylobacter	ECO002	2300	30	1.30
superreference_mapping	Capnocytophaga	Capnocytophaga	ECO002	26	19	73.08
superreference_mapping	Corynebacterium	Corynebacterium	ECO002	17	1	5.88
superreference_mapping	Fretibacterium	Fretibacterium	ECO002	13636	1911	14.01
superreference_mapping	Fusobacterium	Fusobacterium	ECO002	35	4	11.43
superreference_mapping	Olsenella	Olsenella	ECO002	52558	22690	43.17
superreference_mapping	Ottowia	Ottowia	ECO002	197	17	8.63
superreference_mapping	Porphyromonas	Porphyromonas	ECO002	438	29	6.62
superreference_mapping	Prevotella	Prevotella	ECO002	19	1	5.26
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	ECO002	26979	4344	16.10
superreference_mapping	Selenomonas	Selenomonas	ECO002	110	15	13.64
superreference_mapping	Streptococcus	Streptococcus	ECO002	5120	1179	23.03
superreference_mapping	Tannerella	Tannerella	ECO002	5564	257	4.62
superreference_mapping	Treponema	Treponema	ECO002	429	7	1.63
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	ECO002	67755	34760	51.30
initial_single_genome	Campylobacter	Campylobacter_gracilis	ECO002	2605	59	2.26
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	ECO002	77	46	59.74
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	ECO002	541	159	29.39
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	ECO002	13636	1911	14.01
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	ECO002	160	26	16.25
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	ECO002	54302	24012	44.22
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	ECO002	1324	143	10.80
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	ECO002	719	54	7.51
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	ECO002	159	38	23.90
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	ECO002	28072	5035	17.94
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	ECO002	563	227	40.32
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	ECO002	24049	9017	37.49
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	ECO002	42112	17143	40.71
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	ECO002	5647	279	4.94
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	ECO002	505	19	3.76
superreference_mapping	Actinomyces	Actinomyces	ECO004	10697	156	1.46
superreference_mapping	Campylobacter	Campylobacter	ECO004	4546	47	1.03
superreference_mapping	Capnocytophaga	Capnocytophaga	ECO004	182	24	13.19
superreference_mapping	Corynebacterium	Corynebacterium	ECO004	37	0	0.00
superreference_mapping	Fretibacterium	Fretibacterium	ECO004	3103	255	8.22
superreference_mapping	Fusobacterium	Fusobacterium	ECO004	139	7	5.04
superreference_mapping	Olsenella	Olsenella	ECO004	21974	1421	6.47
superreference_mapping	Ottowia	Ottowia	ECO004	1617	110	6.80
superreference_mapping	Porphyromonas	Porphyromonas	ECO004	172	0	0.00
superreference_mapping	Prevotella	Prevotella	ECO004	58	0	0.00
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	ECO004	69414	36841	53.07
superreference_mapping	Selenomonas	Selenomonas	ECO004	70	9	12.86
superreference_mapping	Streptococcus	Streptococcus	ECO004	23766	11454	48.19
superreference_mapping	Tannerella	Tannerella	ECO004	1540	27	1.75
superreference_mapping	Treponema	Treponema	ECO004	13603	1415	10.40
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	ECO004	30424	4198	13.80
initial_single_genome	Campylobacter	Campylobacter_gracilis	ECO004	5064	83	1.64
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	ECO004	701	59	8.42
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	ECO004	458	132	28.82
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	ECO004	3103	255	8.22
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	ECO004	4066	202	4.97
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	ECO004	23179	1866	8.05
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	ECO004	15507	1514	9.76
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	ECO004	349	5	1.43
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	ECO004	676	42	6.21
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	ECO004	70163	37484	53.42
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	ECO004	388	165	42.53
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	ECO004	60875	24999	41.07
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	ECO004	83481	49670	59.50
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	ECO004	1580	36	2.28
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	ECO004	14457	1616	11.18
superreference_mapping	Actinomyces	Actinomyces	EMN001	45455	21882	48.14
superreference_mapping	Campylobacter	Campylobacter	EMN001	9789	630	6.44
superreference_mapping	Capnocytophaga	Capnocytophaga	EMN001	2500	197	7.88
superreference_mapping	Corynebacterium	Corynebacterium	EMN001	275	7	2.55
superreference_mapping	Fretibacterium	Fretibacterium	EMN001	14541	1651	11.35
superreference_mapping	Fusobacterium	Fusobacterium	EMN001	2194	179	8.16
superreference_mapping	Olsenella	Olsenella	EMN001	7726	61	0.79
superreference_mapping	Ottowia	Ottowia	EMN001	1523	311	20.42
superreference_mapping	Porphyromonas	Porphyromonas	EMN001	318	0	0.00
superreference_mapping	Prevotella	Prevotella	EMN001	725	5	0.69
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	EMN001	139230	100454	72.15
superreference_mapping	Selenomonas	Selenomonas	EMN001	81	17	20.99
superreference_mapping	Streptococcus	Streptococcus	EMN001	29860	14947	50.06
superreference_mapping	Tannerella	Tannerella	EMN001	1312	34	2.59
superreference_mapping	Treponema	Treponema	EMN001	1697	13	0.77
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	EMN001	90887	56826	62.52
initial_single_genome	Campylobacter	Campylobacter_gracilis	EMN001	10519	797	7.58
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	EMN001	6984	927	13.27
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	EMN001	1903	339	17.81
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	EMN001	14541	1651	11.35
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	EMN001	10280	1766	17.18
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	EMN001	8305	221	2.66
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	EMN001	7145	1504	21.05
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	EMN001	506	24	4.74
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	EMN001	6092	101	1.66
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	EMN001	140088	101276	72.29
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	EMN001	554	245	44.22
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	EMN001	19988	8181	40.93
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	EMN001	71001	38687	54.49
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	EMN001	1380	64	4.64
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	EMN001	1834	38	2.07
superreference_mapping	Actinomyces	Actinomyces	JAE008	56387	44022	78.07
superreference_mapping	Campylobacter	Campylobacter	JAE008	29982	5464	18.22
superreference_mapping	Capnocytophaga	Capnocytophaga	JAE008	14248	3814	26.77
superreference_mapping	Corynebacterium	Corynebacterium	JAE008	22051	6890	31.25
superreference_mapping	Fretibacterium	Fretibacterium	JAE008	11805	2663	22.56
superreference_mapping	Fusobacterium	Fusobacterium	JAE008	8294	3277	39.51
superreference_mapping	Olsenella	Olsenella	JAE008	33347	10888	32.65
superreference_mapping	Ottowia	Ottowia	JAE008	25234	13648	54.09
superreference_mapping	Porphyromonas	Porphyromonas	JAE008	578	324	56.06
superreference_mapping	Prevotella	Prevotella	JAE008	34291	13856	40.41
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	JAE008	66461	60858	91.57
superreference_mapping	Selenomonas	Selenomonas	JAE008	199	8	4.02
superreference_mapping	Streptococcus	Streptococcus	JAE008	35425	19624	55.40
superreference_mapping	Tannerella	Tannerella	JAE008	28326	15259	53.87
superreference_mapping	Treponema	Treponema	JAE008	11000	2206	20.05
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	JAE008	71646	57778	80.64
initial_single_genome	Campylobacter	Campylobacter_gracilis	JAE008	30739	5955	19.37
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	JAE008	36639	12116	33.07
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	JAE008	55731	20669	37.09
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	JAE008	11805	2663	22.56
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	JAE008	27981	18798	67.18
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	JAE008	33500	10960	32.72
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	JAE008	49724	30084	60.50
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	JAE008	1010	571	56.53
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	JAE008	76271	38043	49.88
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	JAE008	66492	60887	91.57
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	JAE008	1454	277	19.05
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	JAE008	46778	14936	31.93
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	JAE008	73137	47887	65.48
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	JAE008	28394	15315	53.94
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	JAE008	11607	2475	21.32
superreference_mapping	Actinomyces	Actinomyces	JAE014	59329	32787	55.26
superreference_mapping	Campylobacter	Campylobacter	JAE014	8105	238	2.94
superreference_mapping	Capnocytophaga	Capnocytophaga	JAE014	11466	5623	49.04
superreference_mapping	Corynebacterium	Corynebacterium	JAE014	16231	98	0.60
superreference_mapping	Fretibacterium	Fretibacterium	JAE014	44605	34524	77.40
superreference_mapping	Fusobacterium	Fusobacterium	JAE014	6525	2053	31.46
superreference_mapping	Olsenella	Olsenella	JAE014	57743	29318	50.77
superreference_mapping	Ottowia	Ottowia	JAE014	12844	6023	46.89
superreference_mapping	Porphyromonas	Porphyromonas	JAE014	13672	633	4.63
superreference_mapping	Prevotella	Prevotella	JAE014	13025	3087	23.70
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	JAE014	68498	54668	79.81
superreference_mapping	Selenomonas	Selenomonas	JAE014	3673	46	1.25
superreference_mapping	Streptococcus	Streptococcus	JAE014	28737	15021	52.27
superreference_mapping	Tannerella	Tannerella	JAE014	21282	8089	38.01
superreference_mapping	Treponema	Treponema	JAE014	28396	11824	41.64
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	JAE014	71647	40577	56.63
initial_single_genome	Campylobacter	Campylobacter_gracilis	JAE014	8629	456	5.28
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	JAE014	36747	20670	56.25
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	JAE014	41550	330	0.79
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	JAE014	44605	34524	77.40
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	JAE014	13494	5842	43.29
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	JAE014	57931	29475	50.88
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	JAE014	42161	23918	56.73
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	JAE014	16154	1064	6.59
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	JAE014	43958	14400	32.76
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	JAE014	68538	54703	79.81
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	JAE014	4280	259	6.05
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	JAE014	28217	11998	42.52
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	JAE014	63023	39202	62.20
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	JAE014	21389	8193	38.30
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	JAE014	29155	12261	42.05
superreference_mapping	Actinomyces	Actinomyces	OAK002	3568	306	8.58
superreference_mapping	Campylobacter	Campylobacter	OAK002	734	34	4.63
superreference_mapping	Capnocytophaga	Capnocytophaga	OAK002	6508	1251	19.22
superreference_mapping	Corynebacterium	Corynebacterium	OAK002	16449	1554	9.45
superreference_mapping	Fretibacterium	Fretibacterium	OAK002	1304	175	13.42
superreference_mapping	Fusobacterium	Fusobacterium	OAK002	3162	351	11.10
superreference_mapping	Olsenella	Olsenella	OAK002	752	24	3.19
superreference_mapping	Ottowia	Ottowia	OAK002	5292	944	17.84
superreference_mapping	Porphyromonas	Porphyromonas	OAK002	141	0	0.00
superreference_mapping	Prevotella	Prevotella	OAK002	81	3	3.70
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	OAK002	142019	98775	69.55
superreference_mapping	Selenomonas	Selenomonas	OAK002	148	35	23.65
superreference_mapping	Streptococcus	Streptococcus	OAK002	64299	48978	76.17
superreference_mapping	Tannerella	Tannerella	OAK002	419	18	4.30
superreference_mapping	Treponema	Treponema	OAK002	972	13	1.34
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	OAK002	38325	16084	41.97
initial_single_genome	Campylobacter	Campylobacter_gracilis	OAK002	1334	119	8.92
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	OAK002	28770	6327	21.99
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	OAK002	54849	5656	10.31
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	OAK002	1304	175	13.42
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	OAK002	27504	5175	18.82
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	OAK002	2384	271	11.37
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	OAK002	30515	6891	22.58
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	OAK002	366	46	12.57
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	OAK002	1186	81	6.83
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	OAK002	142992	99764	69.77
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	OAK002	879	293	33.33
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	OAK002	79909	41475	51.90
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	OAK002	124882	99702	79.84
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	OAK002	509	60	11.79
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	OAK002	1073	29	2.70
superreference_mapping	Actinomyces	Actinomyces	OAK005	69474	48869	70.34
superreference_mapping	Campylobacter	Campylobacter	OAK005	15334	2395	15.62
superreference_mapping	Capnocytophaga	Capnocytophaga	OAK005	35	21	60.00
superreference_mapping	Corynebacterium	Corynebacterium	OAK005	7041	313	4.45
superreference_mapping	Fretibacterium	Fretibacterium	OAK005	16203	2098	12.95
superreference_mapping	Fusobacterium	Fusobacterium	OAK005	201	4	1.99
superreference_mapping	Olsenella	Olsenella	OAK005	86114	45625	52.98
superreference_mapping	Ottowia	Ottowia	OAK005	186	20	10.75
superreference_mapping	Porphyromonas	Porphyromonas	OAK005	44	0	0.00
superreference_mapping	Prevotella	Prevotella	OAK005	301	7	2.33
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	OAK005	82418	51381	62.34
superreference_mapping	Selenomonas	Selenomonas	OAK005	64	2	3.13
superreference_mapping	Streptococcus	Streptococcus	OAK005	1863	99	5.31
superreference_mapping	Tannerella	Tannerella	OAK005	15010	2611	17.40
superreference_mapping	Treponema	Treponema	OAK005	7631	302	3.96
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	OAK005	94888	69951	73.72
initial_single_genome	Campylobacter	Campylobacter_gracilis	OAK005	16427	2642	16.08
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	OAK005	190	53	27.89
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	OAK005	27590	1386	5.02
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	OAK005	16203	2098	12.95
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	OAK005	12105	1599	13.21
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	OAK005	86704	46170	53.25
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	OAK005	1081	149	13.78
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	OAK005	167	18	10.78
initial_single_genome	Prevotella	Prevotella_loescheii_DSM_19665_JCM_12249_ATCC_15930	OAK005	3219	106	3.29
initial_single_genome	Pseudopropionibacterium	Pseudopropionibacterium_propionicum_F0230a	OAK005	82995	51965	62.61
initial_single_genome	Selenomonas	Selenomonas_sp_F0473	OAK005	806	176	21.84
initial_single_genome	Streptococcus	Streptococcus_gordonii_str_Challis_substr_CH1	OAK005	2779	235	8.46
initial_single_genome	Streptococcus	Streptococcus_sanguinis_SK36	OAK005	10497	876	8.35
initial_single_genome	Tannerella	Tannerella_forsythia_92A2	OAK005	15118	2654	17.56
initial_single_genome	Treponema	Treponema_socranskii_subsp_paredis_ATCC_35535	OAK005	8039	347	4.32
superreference_mapping	Actinomyces	Actinomyces	TAF008	69732	41946	60.15
superreference_mapping	Campylobacter	Campylobacter	TAF008	6268	189	3.02
superreference_mapping	Capnocytophaga	Capnocytophaga	TAF008	28	12	42.86
superreference_mapping	Corynebacterium	Corynebacterium	TAF008	204	3	1.47
superreference_mapping	Fretibacterium	Fretibacterium	TAF008	24621	4983	20.24
superreference_mapping	Fusobacterium	Fusobacterium	TAF008	14	3	21.43
superreference_mapping	Olsenella	Olsenella	TAF008	88255	50788	57.55
superreference_mapping	Ottowia	Ottowia	TAF008	6169	641	10.39
superreference_mapping	Porphyromonas	Porphyromonas	TAF008	542	4	0.74
superreference_mapping	Prevotella	Prevotella	TAF008	28	2	7.14
superreference_mapping	Pseudopropionibacterium	Pseudopropionibacterium	TAF008	53933	9358	17.35
superreference_mapping	Selenomonas	Selenomonas	TAF008	161	28	17.39
superreference_mapping	Streptococcus	Streptococcus	TAF008	578	6	1.04
superreference_mapping	Tannerella	Tannerella	TAF008	16016	2381	14.87
superreference_mapping	Treponema	Treponema	TAF008	4494	168	3.74
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	TAF008	104934	67638	64.46
initial_single_genome	Campylobacter	Campylobacter_gracilis	TAF008	6953	285	4.10
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	TAF008	154	40	25.97
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	TAF008	1358	162	11.93
initial_single_genome	Fretibacterium	Fretibacterium_fastidiosum	TAF008	24621	4983	20.24
initial_single_genome	Fusobacterium	Fusobacterium_hwasookii_ChDC_F206	TAF008	85	27	31.76
initial_single_genome	Olsenella	Olsenella_sp_oral_taxon_807	TAF008	89467	51905	58.02
initial_single_genome	Ottowia	Ottowia_sp_oral_taxon_894	TAF008	31187	4058	13.01
initial_single_genome	Porphyromonas	Porphyromonas_gingivalis_ATCC_33277	TAF008	925	36	3.89
