individual	sample	raw_reads	post_clip_and_merge	percent_merged_content_post_clip_and_merge	mapped_reads	percent_endogenous_dna	post_duplicate_removal_reads	cluster_factor	x_mean_coverage	mt_dna_reads	median_fragment_length	gc_content_percent	non_human_reads	study	accession_id	source_sink	env	description	host_general	host_genus	host_common	code	is_oral	age	location	site	tooth_source	type	screening_deep_data	ncbi_project_id	sample_or_control	sample_number	polygtrimmed_number_reads_after_c_m_prior_mapping	polygtrimmed_number_of_merged_reads	polygtrimmed_percent_merged_reads	polygtrimmed_number_reads_not_attempted_to_map	polygtrimmed_number_mapped_reads_prior_rm_dup	polygtrimmed_number_of_duplicates_removed	polygtrimmed_mapped_reads_after_rm_dup	polygtrimmed_endogenous_dna_percent	polygtrimmed_cluster_factor	polygtrimmed_mean_coverage	polygtrimmed_std_dev_coverage	polygtrimmed_coverage_1x_in_percent	polygtrimmed_coverage_2x_in_percent	polygtrimmed_coverage_3x_in_percent	polygtrimmed_coverage_4x_in_percent	polygtrimmed_coverage_5x_in_percent	polygtrimmed_number_of_reads_on_mitochondrium	polygtrimmed_avg_coverage_on_mitochondrium	polygtrimmed_mt_nuc_ratio	polygtrimmed_dmg_1st_base_3	polygtrimmed_dmg_2nd_base_3	polygtrimmed_dmg_1st_base_5	polygtrimmed_dmg_2nd_base_5	polygtrimmed_average_fragment_length	polygtrimmed_median_fragment_length	polygtrimmed_gc_content_in_percent
SRR1631060	SRR1631060	48356624	30740748	56.3583651250126	147	4.78192658162e-4	147	1	0	0	31	54.77	30740601	Oh2016	SRR1631060	source	skin	palm-swab	skin	Skin	Skin	SK0	Not_Oral	ModernDay	USA	Washington DC	NA	NA	NA	PRJNA46333	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1631061	SRR1631061	49625374	31571128	56.2382851825883	133	4.21270978978e-4	133	1	0	0	32	58.56	31570995	Oh2016	SRR1631061	source	skin	palm-swab	skin	Skin	Skin	SK0	Not_Oral	ModernDay	USA	Washington DC	NA	NA	NA	PRJNA46333	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1631063	SRR1631063	54430352	34647618	56.1508182178642	181	5.22402434707e-4	181	1	0	0	32	54.97	34647437	Oh2016	SRR1631063	source	skin	palm-swab	skin	Skin	Skin	SK0	Not_Oral	ModernDay	USA	Washington DC	NA	NA	NA	PRJNA46333	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1631064	SRR1631064	54756396	34889835	56.0012880542427	137	3.92664511024e-4	136	1.00735294117647	0	0	32	58.5	34889698	Oh2016	SRR1631064	source	skin	palm-swab	skin	Skin	Skin	SK0	Not_Oral	ModernDay	USA	Washington DC	NA	NA	NA	PRJNA46333	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1633008	SRR1633008	27262248	19880491	36.7531214395057	52	2.61562956368e-4	52	1	0	0	32	66.41	19880439	Oh2016	SRR1633008	source	skin	palm-swab	skin	Skin	Skin	SK0	Not_Oral	ModernDay	USA	Washington DC	NA	NA	NA	PRJNA46333	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1761677	SRR1761677	51851920	37323510	37.5084444094352	1274	0.003413398150388	1248	1.02083333333333	0	0	30	34.64	37322236	Sankaranarayanan2015	SRR1761677	source	urbanGut	Norman_gut	gut	Gut	Gut	GU2	Not_Oral	ModernDay	USA	Norman	NA	NA	NA	PRJNA268964	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1761682	SRR1761682	42705628	28774192	47.2282488418789	813	0.002825448582535	794	1.02392947103275	0	6	30	34.48	28773379	Sankaranarayanan2015	SRR1761682	source	urbanGut	Norman_gut	gut	Gut	Gut	GU2	Not_Oral	ModernDay	USA	Norman	NA	NA	NA	PRJNA268964	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1761688	SRR1761688	46249986	29901415	53.4168265949956	766	0.0025617516763	746	1.02680965147453	0	2	30	39.44	29900649	Sankaranarayanan2015	SRR1761688	source	urbanGut	Norman_gut	gut	Gut	Gut	GU2	Not_Oral	ModernDay	USA	Norman	NA	NA	NA	PRJNA268964	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1761692	SRR1761692	48959170	31441750	54.4943745179578	1022	0.003250455206851	968	1.05578512396694	0	1	30	37.55	31440728	Sankaranarayanan2015	SRR1761692	source	urbanGut	Norman_gut	gut	Gut	Gut	GU2	Not_Oral	ModernDay	USA	Norman	NA	NA	NA	PRJNA268964	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1761697	SRR1761697	53139708	35930529	46.4902924195745	1096	0.003050330820345	1078	1.01669758812616	0	0	30	38.12	35929433	Sankaranarayanan2015	SRR1761697	source	urbanGut	Norman_gut	gut	Gut	Gut	GU2	Not_Oral	ModernDay	USA	Norman	NA	NA	NA	PRJNA268964	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1761698	SRR1761698	70798988	50125762	39.766920650503	1630	0.003251820890025	1589	1.02580239144116	0	1	30	32.96	50124132	ObregonTito2015	SRR1761698	source	ruralGut	Matses_gut	gut	Gut	Gut	GR1	Not_Oral	ModernDay	Peru	Unknown	NA	NA	NA	PRJNA268964	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1761705	SRR1761705	58453308	43135531	34.2973916328977	2192	0.005081657624662	2186	1.00274473924977	0	4	30	26.54	43133339	ObregonTito2015	SRR1761705	source	ruralGut	Matses_gut	gut	Gut	Gut	GR1	Not_Oral	ModernDay	Peru	Unknown	NA	NA	NA	PRJNA268964	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1761710	SRR1761710	54795168	40041269	35.9115641414861	1214	0.003031871941921	1179	1.02968617472434	0	0	30	28.02	40040055	ObregonTito2015	SRR1761710	source	ruralGut	Matses_gut	gut	Gut	Gut	GR1	Not_Oral	ModernDay	Peru	Unknown	NA	NA	NA	PRJNA268964	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1761718	SRR1761718	59981100	43880225	34.618268251815	3122	0.00711482222345	3105	1.00547504025765	0	4	30	26.16	43877103	ObregonTito2015	SRR1761718	source	ruralGut	Matses_gut	gut	Gut	Gut	GR1	Not_Oral	ModernDay	Peru	Unknown	NA	NA	NA	PRJNA268964	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1761721	SRR1761721	58106422	43668569	30.9572979137466	2785	0.00637758475667	2763	1.00796235975389	0	0	30	28.97	43665784	ObregonTito2015	SRR1761721	source	ruralGut	Matses_gut	gut	Gut	Gut	GR1	Not_Oral	ModernDay	Peru	Unknown	NA	NA	NA	PRJNA268964	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1804664	SRR1804664	47477770	27545705	23.434023561931	1595	0.005790376394432	1587	1.00504095778198	0	0	40	37.42	27544110	HMP2012	SRR1804664	source	supPlaque	HMP_supPlaque	plaque	Plaque	Plaque	PP1	Plaque	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1804823	SRR1804823	56029216	19303573	23.8315155437804	2374	0.012298241367026	2333	1.01757393913416	1e-4	0	52	35.67	19301199	HMP2012	SRR1804823	source	supPlaque	HMP_supPlaque	plaque	Plaque	Plaque	PP1	Plaque	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1929408	SRR1929408	63686272	59782659	6.39359985643998	248	4.14836014571e-4	248	1	0	4	47.5	43.31	59782411	Rampelli‎2015	SRR1929408	source	ruralGut	Hadza_gut	gut	Gut	Gut	GR2	Not_Oral	ModernDay	Tanzania	Unknown	NA	NA	NA	PRJNA278393	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1930121	SRR1930121	71290650	68362818	4.09769532906031	309	4.52000091629e-4	309	1	0	3	43	46.19	68362509	Rampelli‎2015	SRR1930121	source	ruralGut	Hadza_gut	gut	Gut	Gut	GR2	Not_Oral	ModernDay	Tanzania	Unknown	NA	NA	NA	PRJNA278393	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1930123	SRR1930123	77841428	73941254	5.13655340495037	726	9.8186054567e-4	726	1	0	0	51	42.51	73940528	Rampelli‎2015	SRR1930123	source	ruralGut	Hadza_gut	gut	Gut	Gut	GR2	Not_Oral	ModernDay	Tanzania	Unknown	NA	NA	NA	PRJNA278393	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1930141	SRR1930141	64739338	61586458	4.93213296988114	169	2.74410975218e-4	169	1	0	4	32	37.3	61586289	Rampelli‎2015	SRR1930141	source	ruralGut	Hadza_gut	gut	Gut	Gut	GR2	Not_Oral	ModernDay	Tanzania	Unknown	NA	NA	NA	PRJNA278393	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR1930145	SRR1930145	33390282	32302251	3.15012411983301	1078	0.003337228727496	1077	1.00092850510678	0	10	62	43.13	32301173	Rampelli‎2015	SRR1930145	source	ruralGut	Hadza_gut	gut	Gut	Gut	GR2	Not_Oral	ModernDay	Tanzania	Unknown	NA	NA	NA	PRJNA278393	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR3184100	SRR3184100	30677694	26261747	16.7999524174839	22	8.3772035424756e-5	22	1	0	0	31.5	79.57	26261725	Oh2016	SRR3184100	source	skin	palm-swab	skin	Skin	Skin	SK0	Not_Oral	ModernDay	USA	Washington DC	NA	NA	NA	PRJNA46333	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR3184876	SRR3184876	57281306	40471750	41.4982648390544	73	1.80372729126e-4	73	1	0	0	31	65.18	40471677	Oh2016	SRR3184876	source	skin	palm-swab	skin	Skin	Skin	SK0	Not_Oral	ModernDay	USA	Washington DC	NA	NA	NA	PRJNA46333	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR3189411	SRR3189411	27652340	19815217	39.4712104338802	39	1.96818435044e-4	39	1	0	0	31	56.73	19815178	Oh2016	SRR3189411	source	skin	palm-swab	skin	Skin	Skin	SK0	Not_Oral	ModernDay	USA	Washington DC	NA	NA	NA	PRJNA46333	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR3189416	SRR3189416	25380914	18295464	38.6710826246331	25	1.36645892118e-4	25	1	0	0	31	64.52	18295439	Oh2016	SRR3189416	source	skin	palm-swab	skin	Skin	Skin	SK0	Not_Oral	ModernDay	USA	Washington DC	NA	NA	NA	PRJNA46333	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR3189418	SRR3189418	23073016	16666160	38.3770886634954	19	1.14003465705e-4	19	1	0	0	31	61.53	16666141	Oh2016	SRR3189418	source	skin	palm-swab	skin	Skin	Skin	SK0	Not_Oral	ModernDay	USA	Washington DC	NA	NA	NA	PRJNA46333	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR512767	SRR512767	100206898	66557754	13.7492049386162	2432	0.003653969453356	2113	1.1509701845717	0	0	43	43.61	66555322	HMP2012	SRR512767	source	supPlaque	HMP_supPlaque	plaque	Plaque	Plaque	PP1	Plaque	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR513165	SRR513165	85659508	14351592	23.0006956719505	4449	0.031000045151785	3929	1.13234919826928	1e-4	1	67	38.94	14347143	HMP2012	SRR513165	source	subPlaque	HMP_subPlaque	plaque	Plaque	Plaque	PB0	Plaque	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR513768	SRR513768	167216178	27861563	30.3548655902757	8075	0.028982580769069	7444	1.08476625470177	2e-4	1	80.5	42.06	27853488	HMP2012	SRR513768	source	subPlaque	HMP_subPlaque	plaque	Plaque	Plaque	PB0	Plaque	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR513775	SRR513775	96875170	24139399	27.7511175816763	4375	0.018123897782211	4207	1.03993344425957	1e-4	0	95	42.65	24135024	HMP2012	SRR513775	source	subPlaque	HMP_subPlaque	plaque	Plaque	Plaque	PB0	Plaque	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR513828	SRR513828	97560848	46402367	11.1209413088776	6275	0.013523017047816	6216	1.00949163449163	1e-4	0	42	41.53	46396092	HMP2012	SRR513828	source	supPlaque	HMP_supPlaque	plaque	Plaque	Plaque	PP1	Plaque	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR514202	SRR514202	215253850	11758533	5.38654779469514	16507	0.140383158341266	15588	1.05895560687709	3e-4	2	58	38.89	11742026	HMP2012	SRR514202	source	subPlaque	HMP_subPlaque	plaque	Plaque	Plaque	PB0	Plaque	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR514239	SRR514239	168377064	16645687	6.27382937093555	11722	0.070420644098378	11083	1.05765586934945	2e-4	1	60	38.21	16633965	HMP2012	SRR514239	source	subPlaque	HMP_subPlaque	plaque	Plaque	Plaque	PB0	Plaque	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR514306	SRR514306	106367632	37922051	49.0760850461385	2516	0.006634662244402	2071	1.21487204249155	1e-4	0	98	40.62	37919535	HMP2012	SRR514306	source	subPlaque	HMP_subPlaque	plaque	Plaque	Plaque	PB0	Plaque	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR514329	SRR514329	165512204	28154404	4.33793945700289	14310	0.050826861758466	13326	1.07384061233679	3e-4	0	44	38.69	28140094	HMP2012	SRR514329	source	subPlaque	HMP_subPlaque	plaque	Plaque	Plaque	PB0	Plaque	ModernDay	USA	Unknown	NA	NA	NA	PRJNA48479	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
