Software	Database	Tax_Level	Threshold	Host_Genus	Taxon	Populations_Taxa_Present_In	Populations_in_Study	Proportion_Taxa_Present_In
MALT	nt	species	0.01	Alouatta	Streptococcus massiliensis	1	1	100
MALT	nt	species	0.01	Alouatta	Streptococcus merionis	1	1	100
MALT	nt	species	0.01	Gorilla	Streptococcus merionis	2	3	66.7
MALT	nt	species	0.01	Alouatta	Streptococcus mitis	1	1	100
MALT	nt	species	0.01	Gorilla	Streptococcus mitis	2	3	66.7
MALT	nt	species	0.01	Homo	Streptococcus mitis	6	6	100
MALT	nt	species	0.01	Alouatta	Streptococcus mutans	1	1	100
MALT	nt	species	0.01	Gorilla	Streptococcus mutans	3	3	100
MALT	nt	species	0.01	Alouatta	Streptococcus oralis	1	1	100
MALT	nt	species	0.01	Gorilla	Streptococcus oralis	2	3	66.7
MALT	nt	species	0.01	Homo	Streptococcus oralis	6	6	100
MALT	nt	species	0.01	Alouatta	Streptococcus orisuis	1	1	100
MALT	nt	species	0.01	Alouatta	Streptococcus pantholopis	1	1	100
MALT	nt	species	0.01	Gorilla	Streptococcus pantholopis	2	3	66.7
MALT	nt	species	0.01	Alouatta	Streptococcus parasanguinis	1	1	100
MALT	nt	species	0.01	Gorilla	Streptococcus parasanguinis	2	3	66.7
MALT	nt	species	0.01	Alouatta	Streptococcus parauberis	1	1	100
MALT	nt	species	0.01	Alouatta	Streptococcus pasteurianus	1	1	100
MALT	nt	species	0.01	Alouatta	Streptococcus pneumoniae	1	1	100
MALT	nt	species	0.01	Gorilla	Streptococcus pneumoniae	2	3	66.7
MALT	nt	species	0.01	Homo	Streptococcus pneumoniae	6	6	100
MALT	nt	species	0.01	Alouatta	Streptococcus pseudopneumoniae	1	1	100
MALT	nt	species	0.01	Alouatta	Streptococcus pyogenes	1	1	100
MALT	nt	species	0.01	Gorilla	Streptococcus pyogenes	2	3	66.7
MALT	nt	species	0.01	Pan	Streptococcus pyogenes	3	3	100
MALT	nt	species	0.01	Alouatta	Streptococcus salivarius	1	1	100
MALT	nt	species	0.01	Gorilla	Streptococcus salivarius	2	3	66.7
MALT	nt	species	0.01	Alouatta	Streptococcus sanguinis	1	1	100
MALT	nt	species	0.01	Gorilla	Streptococcus sanguinis	2	3	66.7
MALT	nt	species	0.01	Homo	Streptococcus sanguinis	6	6	100
MALT	nt	species	0.01	Alouatta	Streptococcus sp. A12	1	1	100
MALT	nt	species	0.01	Gorilla	Streptococcus sp. A12	2	3	66.7
MALT	nt	species	0.01	Alouatta	Streptococcus sp. I-G2	1	1	100
MALT	nt	species	0.01	Alouatta	Streptococcus sp. I-P16	1	1	100
MALT	nt	species	0.01	Gorilla	Streptococcus sp. I-P16	2	3	66.7
MALT	nt	species	0.01	Alouatta	Streptococcus sp. NPS 308	1	1	100
MALT	nt	species	0.01	Gorilla	Streptococcus sp. NPS 308	2	3	66.7
MALT	nt	species	0.01	Homo	Streptococcus sp. NPS 308	5	6	83.3
MALT	nt	species	0.01	Alouatta	Streptococcus sp. oral taxon 064	1	1	100
MALT	nt	species	0.01	Alouatta	Streptococcus sp. oral taxon 431	1	1	100
MALT	nt	species	0.01	Gorilla	Streptococcus sp. oral taxon 431	2	3	66.7
MALT	nt	species	0.01	Homo	Streptococcus sp. oral taxon 431	4	6	66.7
MALT	nt	species	0.01	Alouatta	Streptococcus sp. VT 162	1	1	100
MALT	nt	species	0.01	Homo	Streptococcus sp. VT 162	5	6	83.3
MALT	nt	species	0.01	Alouatta	Streptococcus thermophilus	1	1	100
MALT	nt	species	0.01	Gorilla	Streptococcus thermophilus	2	3	66.7
MALT	nt	species	0.01	Alouatta	Streptococcus troglodytae	1	1	100
MALT	nt	species	0.01	Gorilla	Streptococcus troglodytae	3	3	100
MALT	nt	species	0.01	Alouatta	Streptococcus uberis	1	1	100
MetaPhlAn2	mp2	species	0.01	Homo	Streptococcus_cristatus	4	6	66.7
MetaPhlAn2	mp2	species	0.01	Alouatta	Streptococcus_massiliensis	1	1	100
MetaPhlAn2	mp2	species	0.01	Homo	Streptococcus_sanguinis	6	6	100
MALT	nt	genus	0.01	Alouatta	Streptomyces	1	1	100
MALT	nt	genus	0.01	Gorilla	Streptomyces	3	3	100
MALT	nt	genus	0.01	Pan	Streptomyces	3	3	100
MALT	nt	genus	0.01	Homo	Streptomyces	6	6	100
MALT	nt	genus	0.01	Control	Streptomyces	2	2	100
MALT	nt	species	0.01	Alouatta	Streptomyces venezuelae	1	1	100
MALT	nt	species	0.01	Alouatta	Streptomyces violaceoruber	1	1	100
MALT	nt	genus	0.01	Gorilla	Tannerella	2	3	66.7
MALT	nt	genus	0.01	Pan	Tannerella	3	3	100
MALT	nt	genus	0.01	Homo	Tannerella	6	6	100
MetaPhlAn2	mp2	genus	0.01	Pan	Tannerella	3	3	100
MetaPhlAn2	mp2	genus	0.01	Homo	Tannerella	6	6	100
MALT	nt	species	0.01	Pan	Tannerella forsythia	3	3	100
MALT	nt	species	0.01	Homo	Tannerella forsythia	6	6	100
MALT	nt	species	0.01	Pan	Tannerella sp. oral taxon HOT-286	3	3	100
MALT	nt	species	0.01	Homo	Tannerella sp. oral taxon HOT-286	6	6	100
MetaPhlAn2	mp2	species	0.01	Pan	Tannerella_forsythia	3	3	100
MetaPhlAn2	mp2	species	0.01	Homo	Tannerella_forsythia	6	6	100
MALT	nt	genus	0.01	Alouatta	Tessaracoccus	1	1	100
MALT	nt	genus	0.01	Gorilla	Tessaracoccus	3	3	100
MALT	nt	genus	0.01	Pan	Tessaracoccus	3	3	100
MALT	nt	genus	0.01	Homo	Tessaracoccus	4	6	66.7
MALT	nt	species	0.01	Alouatta	Tessaracoccus aquimaris	1	1	100
MALT	nt	species	0.01	Gorilla	Tessaracoccus aquimaris	2	3	66.7
MALT	nt	species	0.01	Pan	Tessaracoccus aquimaris	3	3	100
MALT	nt	species	0.01	Alouatta	Tessaracoccus flavescens	1	1	100
MALT	nt	species	0.01	Gorilla	Tessaracoccus flavescens	2	3	66.7
MALT	nt	species	0.01	Pan	Tessaracoccus flavescens	3	3	100
MALT	nt	species	0.01	Alouatta	Tessaracoccus flavus	1	1	100
MALT	nt	species	0.01	Gorilla	Tessaracoccus flavus	2	3	66.7
MALT	nt	species	0.01	Pan	Tessaracoccus flavus	2	3	66.7
MALT	nt	species	0.01	Alouatta	Tessaracoccus sp. T2.5-30	1	1	100
MALT	nt	species	0.01	Gorilla	Tessaracoccus sp. T2.5-30	2	3	66.7
MALT	nt	species	0.01	Pan	Tessaracoccus sp. T2.5-30	3	3	100
MALT	nt	genus	0.01	Alouatta	Thauera	1	1	100
MALT	nt	genus	0.01	Gorilla	Thauera	2	3	66.7
MALT	nt	genus	0.01	Pan	Thauera	2	3	66.7
MALT	nt	genus	0.01	Pan	Thermanaerovibrio	2	3	66.7
MALT	nt	species	0.01	Pan	Thermanaerovibrio acidaminovorans	2	3	66.7
MALT	nt	species	0.01	Pan	Thermoplasmatales archaeon BRNA1	3	3	100
MALT	nt	genus	0.01	Alouatta	Thiomonas	1	1	100
MALT	nt	genus	0.01	Alouatta	Treponema	1	1	100
MALT	nt	genus	0.01	Pan	Treponema	3	3	100
MALT	nt	genus	0.01	Homo	Treponema	6	6	100
MetaPhlAn2	mp2	genus	0.01	Pan	Treponema	3	3	100
MetaPhlAn2	mp2	genus	0.01	Homo	Treponema	6	6	100
MALT	nt	species	0.01	Pan	Treponema brennaborense	3	3	100
MALT	nt	species	0.01	Pan	Treponema denticola	3	3	100
MALT	nt	species	0.01	Homo	Treponema denticola	6	6	100
MALT	nt	species	0.01	Alouatta	Treponema pedis	1	1	100
MALT	nt	species	0.01	Pan	Treponema pedis	3	3	100
MALT	nt	species	0.01	Pan	Treponema putidum	3	3	100
MALT	nt	species	0.01	Pan	Treponema sp. OMZ 838	3	3	100
MALT	nt	species	0.01	Homo	Treponema sp. OMZ 838	4	6	66.7
MetaPhlAn2	mp2	species	0.01	Pan	Treponema_denticola	2	3	66.7
MetaPhlAn2	mp2	species	0.01	Homo	Treponema_denticola	5	6	83.3
MetaPhlAn2	mp2	species	0.01	Pan	Treponema_lecithinolyticum	2	3	66.7
MetaPhlAn2	mp2	species	0.01	Pan	Treponema_maltophilum	3	3	100
MetaPhlAn2	mp2	species	0.01	Homo	Treponema_maltophilum	6	6	100
MetaPhlAn2	mp2	species	0.01	Pan	Treponema_socranskii	3	3	100
MetaPhlAn2	mp2	species	0.01	Homo	Treponema_socranskii	6	6	100
MALT	nt	genus	0.01	Pan	Trueperella	3	3	100
MALT	nt	species	0.01	Pan	Trueperella pyogenes	3	3	100
MALT	nt	species	0.01	Alouatta	uncultured bacterium	1	1	100
MALT	nt	species	0.01	Gorilla	uncultured bacterium	3	3	100
MALT	nt	species	0.01	Pan	uncultured bacterium	3	3	100
MALT	nt	species	0.01	Homo	uncultured bacterium	6	6	100
MALT	nt	species	0.01	Control	uncultured bacterium	2	2	100
MALT	nt	genus	0.01	Alouatta	Veillonella	1	1	100
MALT	nt	genus	0.01	Pan	Veillonella	2	3	66.7
MALT	nt	genus	0.01	Homo	Veillonella	4	6	66.7
MALT	nt	species	0.01	Homo	Veillonella parvula	4	6	66.7
MALT	nt	species	0.01	Alouatta	Veillonella rodentium	1	1	100
MALT	nt	genus	0.01	Alouatta	Vibrio	1	1	100
MALT	nt	genus	0.01	Gorilla	Vibrio	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Vogesella	1	1	100
MALT	nt	genus	0.01	Alouatta	Xanthomonas	1	1	100
MALT	nt	genus	0.01	Gorilla	Xanthomonas	3	3	100
MALT	nt	genus	0.01	Pan	Xanthomonas	3	3	100
MALT	nt	species	0.01	Alouatta	Xanthomonas citri	1	1	100
MALT	nt	genus	0.01	Alouatta	Xylanimonas	1	1	100
MALT	nt	genus	0.01	Pan	Xylanimonas	2	3	66.7
MALT	nt	species	0.01	Alouatta	Xylanimonas cellulosilytica	1	1	100
MALT	nt	species	0.01	Pan	Xylanimonas cellulosilytica	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Yersinia	1	1	100
MALT	nt	genus	0.01	Gorilla	Yersinia	2	3	66.7
MALT	nt	species	0.02	Pan	[Clostridium] saccharolyticum	2	3	66.7
MALT	nt	species	0.02	Pan	[Eubacterium] minutum	3	3	100
MALT	nt	species	0.02	Homo	[Eubacterium] minutum	5	6	83.3
MALT	nt	species	0.02	Pan	[Eubacterium] sulci	3	3	100
MALT	nt	species	0.02	Alouatta	[Mannheimia] succiniciproducens	1	1	100
MALT	nt	species	0.02	Gorilla	[Mannheimia] succiniciproducens	2	3	66.7
MetaPhlAn2	mp2	genus	0.02	Homo	Abiotrophia	6	6	100
MetaPhlAn2	mp2	species	0.02	Homo	Abiotrophia_defectiva	6	6	100
MALT	nt	genus	0.02	Alouatta	Acidipropionibacterium	1	1	100
MALT	nt	genus	0.02	Gorilla	Acidipropionibacterium	2	3	66.7
MALT	nt	genus	0.02	Pan	Acidipropionibacterium	3	3	100
MALT	nt	species	0.02	Alouatta	Acidipropionibacterium acidipropionici	1	1	100
MALT	nt	species	0.02	Gorilla	Acidipropionibacterium acidipropionici	2	3	66.7
MALT	nt	species	0.02	Pan	Acidipropionibacterium acidipropionici	3	3	100
MALT	nt	genus	0.02	Alouatta	Acidovorax	1	1	100
MALT	nt	genus	0.02	Gorilla	Acidovorax	2	3	66.7
MALT	nt	genus	0.02	Alouatta	Actinobacillus	1	1	100
MALT	nt	genus	0.02	Gorilla	Actinobacillus	2	3	66.7
MetaPhlAn2	mp2	genus	0.02	Alouatta	Actinobacillus	1	1	100
MetaPhlAn2	mp2	genus	0.02	Gorilla	Actinobacillus	2	3	66.7
MALT	nt	species	0.02	Alouatta	Actinobacillus pleuropneumoniae	1	1	100
MALT	nt	species	0.02	Gorilla	Actinobacillus pleuropneumoniae	2	3	66.7
MALT	nt	species	0.02	Alouatta	Actinobacillus succinogenes	1	1	100
MALT	nt	species	0.02	Gorilla	Actinobacillus succinogenes	2	3	66.7
MetaPhlAn2	mp2	species	0.02	Alouatta	Actinobacillus_unclassified	1	1	100
MetaPhlAn2	mp2	genus	0.02	Gorilla	Actinobaculum	2	3	66.7
MALT	nt	genus	0.02	Alouatta	Actinomyces	1	1	100
MALT	nt	genus	0.02	Gorilla	Actinomyces	3	3	100
MALT	nt	genus	0.02	Pan	Actinomyces	3	3	100
MALT	nt	genus	0.02	Homo	Actinomyces	6	6	100
MetaPhlAn2	mp2	genus	0.02	Alouatta	Actinomyces	1	1	100
MetaPhlAn2	mp2	genus	0.02	Gorilla	Actinomyces	3	3	100
MetaPhlAn2	mp2	genus	0.02	Homo	Actinomyces	6	6	100
MALT	nt	species	0.02	Alouatta	Actinomyces hongkongensis	1	1	100
MALT	nt	species	0.02	Gorilla	Actinomyces hongkongensis	3	3	100
MALT	nt	species	0.02	Pan	Actinomyces hongkongensis	3	3	100
MALT	nt	species	0.02	Homo	Actinomyces hongkongensis	6	6	100
MALT	nt	species	0.02	Gorilla	Actinomyces meyeri	3	3	100
MALT	nt	species	0.02	Pan	Actinomyces meyeri	3	3	100
MALT	nt	species	0.02	Homo	Actinomyces meyeri	6	6	100
MALT	nt	species	0.02	Alouatta	Actinomyces naeslundii	1	1	100
MALT	nt	species	0.02	Gorilla	Actinomyces naeslundii	3	3	100
MALT	nt	species	0.02	Pan	Actinomyces naeslundii	3	3	100
MALT	nt	species	0.02	Homo	Actinomyces naeslundii	6	6	100
MALT	nt	species	0.02	Alouatta	Actinomyces oris	1	1	100
MALT	nt	species	0.02	Gorilla	Actinomyces oris	3	3	100
MALT	nt	species	0.02	Pan	Actinomyces oris	3	3	100
MALT	nt	species	0.02	Homo	Actinomyces oris	6	6	100
MALT	nt	species	0.02	Pan	Actinomyces pacaensis	3	3	100
MALT	nt	species	0.02	Alouatta	Actinomyces radicidentis	1	1	100
MALT	nt	species	0.02	Gorilla	Actinomyces radicidentis	3	3	100
MALT	nt	species	0.02	Pan	Actinomyces radicidentis	3	3	100
MALT	nt	species	0.02	Homo	Actinomyces radicidentis	6	6	100
MALT	nt	species	0.02	Alouatta	Actinomyces sp. Chiba101	1	1	100
MALT	nt	species	0.02	Gorilla	Actinomyces sp. Chiba101	3	3	100
MALT	nt	species	0.02	Pan	Actinomyces sp. Chiba101	3	3	100
MALT	nt	species	0.02	Homo	Actinomyces sp. Chiba101	6	6	100
MALT	nt	species	0.02	Alouatta	Actinomyces sp. oral taxon 414	1	1	100
MALT	nt	species	0.02	Gorilla	Actinomyces sp. oral taxon 414	3	3	100
MALT	nt	species	0.02	Pan	Actinomyces sp. oral taxon 414	3	3	100
MALT	nt	species	0.02	Homo	Actinomyces sp. oral taxon 414	6	6	100
MALT	nt	species	0.02	Alouatta	Actinomyces succiniciruminis	1	1	100
MALT	nt	species	0.02	Gorilla	Actinomyces succiniciruminis	3	3	100
MALT	nt	species	0.02	Pan	Actinomyces succiniciruminis	3	3	100
MALT	nt	species	0.02	Homo	Actinomyces succiniciruminis	6	6	100
MetaPhlAn2	mp2	species	0.02	Alouatta	Actinomyces_massiliensis	1	1	100
MetaPhlAn2	mp2	species	0.02	Gorilla	Actinomyces_massiliensis	2	3	66.7
MetaPhlAn2	mp2	species	0.02	Homo	Actinomyces_massiliensis	4	6	66.7
MetaPhlAn2	mp2	species	0.02	Gorilla	Actinomyces_naeslundii	2	3	66.7
MetaPhlAn2	mp2	species	0.02	Homo	Actinomyces_naeslundii	5	6	83.3
MetaPhlAn2	mp2	species	0.02	Homo	Actinomyces_oris	4	6	66.7
MetaPhlAn2	mp2	species	0.02	Gorilla	Actinomyces_viscosus	2	3	66.7
MetaPhlAn2	mp2	species	0.02	Homo	Actinomyces_viscosus	5	6	83.3
MALT	nt	genus	0.02	Alouatta	Actinoplanes	1	1	100
MALT	nt	genus	0.02	Gorilla	Actinoplanes	2	3	66.7
MALT	nt	genus	0.02	Pan	Actinoplanes	2	3	66.7
MALT	nt	genus	0.02	Pan	Adlercreutzia	3	3	100
MALT	nt	species	0.02	Pan	Adlercreutzia equolifaciens	3	3	100
MALT	nt	genus	0.02	Alouatta	Aeromicrobium	1	1	100
MALT	nt	species	0.02	Alouatta	Aeromicrobium choanae	1	1	100
MALT	nt	species	0.02	Alouatta	Aeromicrobium erythreum	1	1	100
MALT	nt	genus	0.02	Alouatta	Aeromonas	1	1	100
MALT	nt	genus	0.02	Alouatta	Aggregatibacter	1	1	100
MALT	nt	genus	0.02	Gorilla	Aggregatibacter	2	3	66.7
MALT	nt	genus	0.02	Homo	Aggregatibacter	5	6	83.3
MetaPhlAn2	mp2	genus	0.02	Alouatta	Aggregatibacter	1	1	100
MetaPhlAn2	mp2	genus	0.02	Gorilla	Aggregatibacter	2	3	66.7
MetaPhlAn2	mp2	genus	0.02	Homo	Aggregatibacter	4	6	66.7
MALT	nt	species	0.02	Alouatta	Aggregatibacter actinomycetemcomitans	1	1	100
MALT	nt	species	0.02	Gorilla	Aggregatibacter actinomycetemcomitans	2	3	66.7
MALT	nt	species	0.02	Alouatta	Aggregatibacter aphrophilus	1	1	100
MALT	nt	species	0.02	Gorilla	Aggregatibacter aphrophilus	2	3	66.7
MALT	nt	species	0.02	Homo	Aggregatibacter aphrophilus	4	6	66.7
MetaPhlAn2	mp2	species	0.02	Alouatta	Aggregatibacter_actinomycetemcomitans	1	1	100
MetaPhlAn2	mp2	species	0.02	Gorilla	Aggregatibacter_actinomycetemcomitans	2	3	66.7
MetaPhlAn2	mp2	species	0.02	Alouatta	Aggregatibacter_aphrophilus	1	1	100
MetaPhlAn2	mp2	species	0.02	Gorilla	Aggregatibacter_aphrophilus	2	3	66.7
MetaPhlAn2	mp2	species	0.02	Gorilla	Aggregatibacter_unclassified	2	3	66.7
MALT	nt	genus	0.02	Alouatta	Agrococcus	1	1	100
MALT	nt	genus	0.02	Pan	Alistipes	3	3	100
MALT	nt	genus	0.02	Alouatta	Amycolatopsis	1	1	100
MALT	nt	genus	0.02	Gorilla	Amycolatopsis	2	3	66.7
MALT	nt	genus	0.02	Pan	Amycolatopsis	2	3	66.7
MetaPhlAn2	mp2	genus	0.02	Gorilla	Anaeroglobus	2	3	66.7
MetaPhlAn2	mp2	genus	0.02	Pan	Anaeroglobus	3	3	100
MetaPhlAn2	mp2	species	0.02	Gorilla	Anaeroglobus_geminatus	2	3	66.7
MetaPhlAn2	mp2	species	0.02	Pan	Anaeroglobus_geminatus	3	3	100
MALT	nt	species	0.02	Pan	Anaerolineaceae bacterium oral taxon 439	3	3	100
MALT	nt	species	0.02	Homo	Anaerolineaceae bacterium oral taxon 439	5	6	83.3
MALT	nt	genus	0.02	Alouatta	Arthrobacter	1	1	100
MALT	nt	genus	0.02	Gorilla	Arthrobacter	3	3	100
MALT	nt	genus	0.02	Pan	Arthrobacter	3	3	100
MALT	nt	genus	0.02	Homo	Arthrobacter	4	6	66.7
MALT	nt	genus	0.02	Pan	Atopobium	3	3	100
MALT	nt	species	0.02	Pan	Atopobium parvulum	3	3	100
MALT	nt	genus	0.02	Alouatta	Auraticoccus	1	1	100
MALT	nt	species	0.02	Alouatta	Auraticoccus monumenti	1	1	100
MALT	nt	genus	0.02	Alouatta	Bacillus	1	1	100
MALT	nt	genus	0.02	Gorilla	Bacillus	3	3	100
MALT	nt	genus	0.02	Pan	Bacillus	3	3	100
MALT	nt	genus	0.02	Pan	Bacteroides	3	3	100
MALT	nt	species	0.02	Pan	Bacteroides dorei	2	3	66.7
MALT	nt	species	0.02	Pan	Bacteroides fragilis	3	3	100
MALT	nt	species	0.02	Pan	Bacteroides salanitronis	2	3	66.7
MetaPhlAn2	mp2	species	0.02	Pan	Bacteroidetes_bacterium_oral_taxon_272	3	3	100
MetaPhlAn2	mp2	species	0.02	Homo	Bacteroidetes_bacterium_oral_taxon_272	4	6	66.7
MetaPhlAn2	mp2	genus	0.02	Pan	Bacteroidetes_noname	3	3	100
MetaPhlAn2	mp2	genus	0.02	Homo	Bacteroidetes_noname	6	6	100
MetaPhlAn2	mp2	species	0.02	Pan	Bacteroidetes_oral_taxon_274	3	3	100
MetaPhlAn2	mp2	species	0.02	Homo	Bacteroidetes_oral_taxon_274	6	6	100
MALT	nt	genus	0.02	Alouatta	Basfia	1	1	100
MALT	nt	genus	0.02	Gorilla	Basfia	2	3	66.7
MALT	nt	genus	0.02	Alouatta	Bibersteinia	1	1	100
MALT	nt	species	0.02	Alouatta	Bibersteinia trehalosi	1	1	100
MALT	nt	genus	0.02	Alouatta	Bifidobacterium	1	1	100
MALT	nt	genus	0.02	Gorilla	Bifidobacterium	3	3	100
MALT	nt	genus	0.02	Pan	Bifidobacterium	3	3	100
MALT	nt	genus	0.02	Homo	Bifidobacterium	4	6	66.7
MALT	nt	species	0.02	Pan	Bifidobacterium dentium	2	3	66.7
MALT	nt	genus	0.02	Pan	Blautia	2	3	66.7
MALT	nt	genus	0.02	Alouatta	Bordetella	1	1	100
MALT	nt	genus	0.02	Gorilla	Bordetella	3	3	100
MALT	nt	genus	0.02	Pan	Bordetella	2	3	66.7
MALT	nt	genus	0.02	Homo	Bordetella	6	6	100
MALT	nt	genus	0.02	Alouatta	Brachybacterium	1	1	100
MALT	nt	genus	0.02	Gorilla	Brachybacterium	3	3	100
MALT	nt	genus	0.02	Pan	Brachybacterium	3	3	100
MALT	nt	genus	0.02	Alouatta	Brevibacterium	1	1	100
MALT	nt	genus	0.02	Gorilla	Brevibacterium	3	3	100
MALT	nt	genus	0.02	Pan	Brevibacterium	2	3	66.7
MetaPhlAn2	mp2	genus	0.02	Alouatta	Brevibacterium	1	1	100
MetaPhlAn2	mp2	genus	0.02	Gorilla	Brevibacterium	2	3	66.7
MALT	nt	species	0.02	Alouatta	Brevibacterium linens	1	1	100
MALT	nt	species	0.02	Alouatta	Brevibacterium siliguriense	1	1	100
MetaPhlAn2	mp2	species	0.02	Alouatta	Brevibacterium_unclassified	1	1	100
MetaPhlAn2	mp2	species	0.02	Gorilla	Brevibacterium_unclassified	2	3	66.7
MALT	nt	genus	0.02	Alouatta	Burkholderia	1	1	100
MALT	nt	genus	0.02	Gorilla	Burkholderia	3	3	100
MALT	nt	genus	0.02	Pan	Burkholderia	3	3	100
MALT	nt	genus	0.02	Homo	Burkholderia	6	6	100
MALT	nt	genus	0.02	Control	Burkholderia	2	2	100
MALT	nt	genus	0.02	Alouatta	Campylobacter	1	1	100
MALT	nt	genus	0.02	Gorilla	Campylobacter	3	3	100
MALT	nt	genus	0.02	Pan	Campylobacter	3	3	100
MALT	nt	genus	0.02	Homo	Campylobacter	6	6	100
MetaPhlAn2	mp2	genus	0.02	Alouatta	Campylobacter	1	1	100
MetaPhlAn2	mp2	genus	0.02	Pan	Campylobacter	2	3	66.7
MetaPhlAn2	mp2	genus	0.02	Homo	Campylobacter	6	6	100
MALT	nt	species	0.02	Homo	Campylobacter concisus	4	6	66.7
MALT	nt	species	0.02	Alouatta	Campylobacter curvus	1	1	100
MALT	nt	species	0.02	Homo	Campylobacter curvus	4	6	66.7
MALT	nt	species	0.02	Gorilla	Campylobacter gracilis	3	3	100
MALT	nt	species	0.02	Pan	Campylobacter gracilis	3	3	100
MALT	nt	species	0.02	Homo	Campylobacter gracilis	6	6	100
MetaPhlAn2	mp2	species	0.02	Alouatta	Campylobacter_curvus	1	1	100
MetaPhlAn2	mp2	species	0.02	Homo	Campylobacter_showae	6	6	100
MALT	nt	genus	0.02	Pan	Candidatus Methanomethylophilus	3	3	100
MALT	nt	species	0.02	Pan	Candidatus Methanomethylophilus alvus	3	3	100
MALT	nt	species	0.02	Pan	Candidatus Saccharibacteria oral taxon TM7x	3	3	100
MALT	nt	species	0.02	Homo	Candidatus Saccharibacteria oral taxon TM7x	6	6	100
MALT	nt	genus	0.02	Alouatta	Capnocytophaga	1	1	100
MALT	nt	genus	0.02	Gorilla	Capnocytophaga	3	3	100
MALT	nt	genus	0.02	Pan	Capnocytophaga	3	3	100
MALT	nt	genus	0.02	Homo	Capnocytophaga	6	6	100
MetaPhlAn2	mp2	genus	0.02	Alouatta	Capnocytophaga	1	1	100
MetaPhlAn2	mp2	genus	0.02	Gorilla	Capnocytophaga	2	3	66.7
MetaPhlAn2	mp2	genus	0.02	Homo	Capnocytophaga	6	6	100
MALT	nt	species	0.02	Alouatta	Capnocytophaga gingivalis	1	1	100
MALT	nt	species	0.02	Alouatta	Capnocytophaga haemolytica	1	1	100
MALT	nt	species	0.02	Alouatta	Capnocytophaga leadbetteri	1	1	100
MALT	nt	species	0.02	Pan	Capnocytophaga ochracea	2	3	66.7
MALT	nt	species	0.02	Homo	Capnocytophaga ochracea	4	6	66.7
MALT	nt	species	0.02	Alouatta	Capnocytophaga sp. ChDC OS43	1	1	100
MALT	nt	species	0.02	Alouatta	Capnocytophaga sp. oral taxon 323	1	1	100
MALT	nt	species	0.02	Homo	Capnocytophaga sp. oral taxon 323	4	6	66.7
MALT	nt	species	0.02	Alouatta	Capnocytophaga sputigena	1	1	100
MALT	nt	species	0.02	Homo	Capnocytophaga sputigena	5	6	83.3
MetaPhlAn2	mp2	species	0.02	Alouatta	Capnocytophaga_gingivalis	1	1	100
MetaPhlAn2	mp2	species	0.02	Homo	Capnocytophaga_unclassified	6	6	100
MetaPhlAn2	mp2	genus	0.02	Alouatta	Cardiobacteriaceae_unclassified	1	1	100
MetaPhlAn2	mp2	genus	0.02	Homo	Cardiobacteriaceae_unclassified	4	6	66.7
MetaPhlAn2	mp2	genus	0.02	Alouatta	Cardiobacterium	1	1	100
MetaPhlAn2	mp2	genus	0.02	Homo	Cardiobacterium	5	6	83.3
MetaPhlAn2	mp2	species	0.02	Alouatta	Cardiobacterium_hominis	1	1	100
MetaPhlAn2	mp2	species	0.02	Homo	Cardiobacterium_valvarum	5	6	83.3
MetaPhlAn2	mp2	genus	0.02	Homo	Catonella	4	6	66.7
MetaPhlAn2	mp2	species	0.02	Homo	Catonella_morbi	4	6	66.7
MALT	nt	genus	0.02	Alouatta	Cellulomonas	1	1	100
MALT	nt	genus	0.02	Gorilla	Cellulomonas	2	3	66.7
MALT	nt	genus	0.02	Pan	Cellulomonas	3	3	100
MALT	nt	genus	0.02	Alouatta	Cellulosimicrobium	1	1	100
MALT	nt	genus	0.02	Gorilla	Cellulosimicrobium	2	3	66.7
MALT	nt	genus	0.02	Alouatta	Chryseobacterium	1	1	100
MetaPhlAn2	mp2	genus	0.02	Pan	Clostridiales_Family_XIII_Incertae_Sedis_unclassified	3	3	100
MALT	nt	genus	0.02	Pan	Clostridioides	3	3	100
MALT	nt	species	0.02	Pan	Clostridioides difficile	3	3	100
MALT	nt	genus	0.02	Alouatta	Clostridium	1	1	100
MALT	nt	genus	0.02	Pan	Clostridium	3	3	100
MALT	nt	genus	0.02	Alouatta	Comamonas	1	1	100
MALT	nt	genus	0.02	Gorilla	Comamonas	2	3	66.7
MALT	nt	species	0.02	Pan	Coriobacteriaceae bacterium 68-1-3	3	3	100
MALT	nt	genus	0.02	Alouatta	Corynebacterium	1	1	100
MALT	nt	genus	0.02	Gorilla	Corynebacterium	3	3	100
MALT	nt	genus	0.02	Pan	Corynebacterium	3	3	100
MALT	nt	genus	0.02	Homo	Corynebacterium	6	6	100
MetaPhlAn2	mp2	genus	0.02	Homo	Corynebacterium	6	6	100
MetaPhlAn2	mp2	species	0.02	Homo	Corynebacterium_matruchotii	6	6	100
MALT	nt	genus	0.02	Pan	Cryptobacterium	3	3	100
MALT	nt	species	0.02	Pan	Cryptobacterium curtum	3	3	100
MALT	nt	species	0.02	Alouatta	Cutibacterium avidum	1	1	100
MALT	nt	genus	0.02	Pan	Denitrobacterium	3	3	100
MALT	nt	species	0.02	Pan	Denitrobacterium detoxificans	3	3	100
MALT	nt	genus	0.02	Pan	Desulfobulbus	3	3	100
