Taxon ID	Genus	Species	Strain/Culture collection	Seq ID	No. of contigs & singlets	Combined length (bp) *
654	Eggerthella	lenta	DSM 2243, VPI 0255	1498	1	3632260
569	Eggerthia	catenaformis	OT 569 = DSM 20559	2477	35	1935486
569	Eggerthia	catenaformis	OT 569	2762	8	1945158
577	Eikenella	corrodens	CC92I	2615	17	2213435
577	Eikenella	corrodens	ATCC 23834	1016	65	2135355
196	Enhydrobacter	aerosaccus	cgmcc9176	2845	33	2855818
565	Enterobacter	cancerogenus	YZ1	2604	11	4808813
565	Enterobacter	cancerogenus	ATCC 35316	1481	54	4631443
634	Enterobacter	hormaechei	ATCC 49162	1960	84	4806970
801	Enterococcus	casseliflavus	ATCC 12755	1961	58	3554837
801	Enterococcus	casseliflavus	EC30	1734	79	3415885
801	Enterococcus	casseliflavus	14-MB-W-14	2549	51	3651948
880	Enterococcus	durans	ATCC 6056	2534	71	3090895
880	Enterococcus	durans	IPLA 655	2484	145	3059052
880	Enterococcus	durans	FB129-CNAB4	2417	22	2697649
604	Enterococcus	faecalis	TUSoD Ef11	1751	11	2836650
604	Enterococcus	faecalis	DSM 20478, ATCC 19433, NCTC 775, JCM 8726, NCDO 58	1079	225	91964
604	Enterococcus	faecalis	62	2278	5	3130818
604	Enterococcus	faecalis	OG1RF, ATCC 47077	1495	1	2739625
604	Enterococcus	faecalis	ATCC 29200	1736	123	2936061
604	Enterococcus	faecalis	TX1322	1752	116	2929602
604	Enterococcus	faecalis	HH22	1449	307	3049822
604	Enterococcus	faecalis	TX0104	1260	237	3106826
604	Enterococcus	faecalis	V583, ATCC 700802	1080	4	3359974
803	Enterococcus	italicus	DSM 15952	2019	157	2308476
802	Enterococcus	saccharolyticus	30_1	2060	61	3119200
802	Enterococcus	saccharolyticus	ATCC 43076	2533	14	2622550
484	Erysipelothrix	tonsillarum	DSM 14972	2490	6	1930392
574	Escherichia	coli	O157:H7 str. EC4076	1509	135	5705645
574	Escherichia	coli	K12 W3110	1220	1	4646332
574	Escherichia	coli	str. K-12 substr. DH10B	1504	1	4686137
574	Escherichia	coli	S88 (O45:K1)	1217	2	5166121
574	Escherichia	coli	O157:H7 str. TW14588	1137	10	5670297
574	Escherichia	coli	IAI39 (O7:K1)	1207	1	5132068
574	Escherichia	coli	O157:H7 str. TW14359	1247	2	5622737
574	Escherichia	coli	F11	1203	119	5215961
574	Escherichia	coli	E24377A	1198	7	5249288
574	Escherichia	coli	APEC O1	1430	3	5497653
574	Escherichia	coli	CFT073	1194	1	5231428
574	Escherichia	coli	B str. REL606	1191	1	4629812
574	Escherichia	coli	0157:H7 str. Sakai	1408	3	5594477
574	Escherichia	coli	O103:H2 str. 12009	1712	2	5524860
574	Escherichia	coli	101-1	1186	91	4979767
574	Escherichia	coli	O157:H7 str. EC869	1518	147	5731065
574	Escherichia	coli	O157:H7 str. EC4486	1515	165	5933166
574	Escherichia	coli	O157:H7 str. EC4196	1512	186	5620606
574	Escherichia	coli	83972	1754	159	5066014
574	Escherichia	coli	BL21(DE3)	1572	1	4570938
574	Escherichia	coli	O157:H7 str. EC4045	1508	8	5634850
574	Escherichia	coli	UTI89	1219	2	5179971
574	Escherichia	coli	O157:H7 str. EC4113	1510	231	5655847
574	Escherichia	coli	O157:H7 EDL933	1213	2	5620522
574	Escherichia	coli	536	1433	1	4938920
574	Escherichia	coli	IAI1 (O8)	1206	1	4700560
574	Escherichia	coli	ED1a (O81)	1200	1	5209548
574	Escherichia	coli	E22	1197	127	5528238
574	Escherichia	coli	B7A (O148:H28:CS6:LT+:ST+)	1193	289	5300242
574	Escherichia	coli	O127:H6 str. E2348/69	1624	3	5069678
574	Escherichia	coli	55989	1189	1	5154862
574	Escherichia	coli	O26:H11 str. 11368	1711	5	5855531
574	Escherichia	coli	O157:H7 str. EC508	1517	272	5656666
574	Escherichia	coli	O157:H7 str. EC4401	1514	186	5733133
574	Escherichia	coli	O157:H7 str. EC4115	1511	3	5704171
574	Escherichia	coli	O157:H7 str. EC4042	1507	4	5617728
574	Escherichia	coli	UMN026 (O17:K52:H18)	1218	3	5358200
574	Escherichia	coli	BL21(DE3)	1503	1	4558953
574	Escherichia	coli	str. K-12 substr. MG1655	1208	1	4639675
574	Escherichia	coli	HS	1205	1	4643538
574	Escherichia	coli	42	1199	2	5355323
574	Escherichia	coli	E110019 (O111:H9)	1196	137	5376211
574	Escherichia	coli	LF82	1639	1	4773108
574	Escherichia	coli	B171 (O111:NM)	1192	262	5426568
574	Escherichia	coli	BW2952	1713	1	4578159
574	Escherichia	coli	53638	1188	2	5071018
574	Escherichia	coli	C str. ATCC 8739	1429	1	4746218
574	Escherichia	coli	O111:H- str. 11128	1710	6	5766081
574	Escherichia	coli	SECEC SMS-3-5	1519	5	5215377
574	Escherichia	coli	O157:H7 str. EC4501	1516	250	5677181
574	Escherichia	coli	SE11	1376	7	5155626
574	Escherichia	coli	O157:H7 str. EC4206	1513	7	5629932
655	Eubacterium	limosum	KIST612	1927	1	4276902
539	Filifactor	alocis	ATCC 35896	1018	1	1931012
662	Finegoldia	magna	SY403409CC001050417	2063	39	2032717
662	Finegoldia	magna	ATCC 53516	1641	3	1908011
662	Finegoldia	magna	ATCC 29328	2435	2	1986740
662	Finegoldia	magna	ALB8	2642	54	1918748
662	Finegoldia	magna	BVS033A4	2062	50	1995204
662	Finegoldia	magna	ACS-171-V-Col3	2061	30	1828755
363	Fretibacterium	fastidiosum	SGP1	1674	1	2728333
860	Fusobacterium	gonidiaformans	3-1-5R	2550	99	1848430
860	Fusobacterium	gonidiaformans	ATCC 25563	1983	55	1679672
953	Fusobacterium	hwasookii	ChDC F128	2843	30	2361684
953	Fusobacterium	hwasookii	ChDC F206	2840	2	2430523
953	Fusobacterium	hwasookii	ChDC F174	2842	3	2531722
953	Fusobacterium	hwasookii	ChDC F300	2841	2	2527063
690	Fusobacterium	necrophorum	subsp. funduliforme B35	2670	40	2088497
690	Fusobacterium	necrophorum	subsp. funduliforme Fnf 1007	2389	87	2166823
690	Fusobacterium	necrophorum	subsp. funduliforme 1_1_36S	2064	40	2300852
690	Fusobacterium	necrophorum	subsp. funduliforme ATCC 51357	2347	45	2110802
690	Fusobacterium	necrophorum	D12	2532	118	1950825
420	Fusobacterium	nucleatum subsp. animalis	cm1	2973	155	2442599
420	Fusobacterium	nucleatum subsp. animalis	7_1	2817	2	2514029
420	Fusobacterium	nucleatum subsp. animalis	11_3_2	2531	81	2702139
420	Fusobacterium	nucleatum subsp. animalis	ATCC 51191	2065	763	2270170
420	Fusobacterium	nucleatum subsp. animalis	F0419	1883	39	2408755
420	Fusobacterium	nucleatum subsp. animalis	KCOM 1279	2816	1	2549353
420	Fusobacterium	nucleatum subsp. animalis	21_1A	2530	49	2128810
420	Fusobacterium	nucleatum subsp. animalis	KCOM 1325	2815	1	2310804
420	Fusobacterium	nucleatum subsp. animalis	hmsc065f01	2959	56	2127181
420	Fusobacterium	nucleatum subsp. animalis	4_8	2539	2	2275461
698	Fusobacterium	nucleatum subsp. nucleatum	ATCC 23726	2067	67	2237034
698	Fusobacterium	nucleatum subsp. nucleatum	KCOM 1250	2822	1	2290405
698	Fusobacterium	nucleatum subsp. nucleatum	ATCC 25586	1078	1	2174500
698	Fusobacterium	nucleatum subsp. nucleatum	ChDC F316,KCOM 1322	2821	1	2227266
202	Fusobacterium	nucleatum subsp. polymorphum	ChDC F306	2814	3	2622370
202	Fusobacterium	nucleatum subsp. polymorphum	obrc1	3025	87	2497272
202	Fusobacterium	nucleatum subsp. polymorphum	hmsc064b11	3018	119	2401628
202	Fusobacterium	nucleatum subsp. polymorphum	NCTC10562	2813	2	2455060
202	Fusobacterium	nucleatum subsp. polymorphum	ChDC F319	2812	3	2481490
202	Fusobacterium	nucleatum subsp. polymorphum	F0401	1680	34	2459804
202	Fusobacterium	nucleatum subsp. polymorphum	ATCC 10953	1075	14	2428298
200	Fusobacterium	nucleatum subsp. vincentii	3_1_36A2	2820	1	2268272
200	Fusobacterium	nucleatum subsp. vincentii	3_1_27	2819	3	2190228
200	Fusobacterium	nucleatum subsp. vincentii	ATCC 49256	1076	302	2118259
200	Fusobacterium	nucleatum subsp. vincentii	hmsc064b12	2980	56	2121738
200	Fusobacterium	nucleatum subsp. vincentii	ChDC F8,KCOM 1231	2818	1	2038535
201	Fusobacterium	periodonticum	D10	2406	429	2434239
201	Fusobacterium	periodonticum	ATCC 33693	1160	143	2567761
201	Fusobacterium	periodonticum	1_1_41FAA	2555	80	2454647
201	Fusobacterium	periodonticum	2_1_31	2529	61	2470375
203	Fusobacterium	sp. HMT 203	w7671	2896	1	2126947
203	Fusobacterium	sp. HMT 203	cm22	2985	87	2438137
370	Fusobacterium	sp. HMT 370	F0437	1879	280	2080148
829	Gardnerella	vaginalis	HMP9231	2049	1	1726519
829	Gardnerella	vaginalis	1500E	2491	27	1548244
829	Gardnerella	vaginalis	5-1	2282	94	1672842
829	Gardnerella	vaginalis	AMD	2068	117	1606758
829	Gardnerella	vaginalis	315-A	2280	13	1653275
829	Gardnerella	vaginalis	284V	2492	16	1650838
829	Gardnerella	vaginalis	409-05	1577	1	1617545
829	Gardnerella	vaginalis	ATCC 14019	1757	1	1667350
555	Gemella	bergeri	ATCC 700627	2460	104	1603008
626	Gemella	haemolysans	ATCC 10379	1019	14	1915941
626	Gemella	haemolysans	M341	2070	71	2034879
46	Gemella	morbillorum	M424	2298	39	1745783
757	Gemella	sanguinis	M325	2071	78	1768070
928	Gemella	sp. HMT 928	W2231	2783	1	1769679
534	Granulicatella	adiacens	ATCC 49175	1605	31	1923088
596	Granulicatella	elegans	ATCC 700633	1608	36	1881850
316	Haematobacter	missouriensis	h2381	2853	97	4323477
535	Haemophilus	aegyptius	ATCC 11116	1963	65	1915025
821	Haemophilus	ducreyi	35000HP	1027	1	1698955
851	Haemophilus	haemolyticus	F0397	1850	37	1837573
851	Haemophilus	haemolyticus	c1	2997	82	1987290
851	Haemophilus	haemolyticus	M21639	2076	53	2328161
851	Haemophilus	haemolyticus	M19501	2073	22	1884911
851	Haemophilus	haemolyticus	HK386	2348	30	1822726
851	Haemophilus	haemolyticus	M21621	2075	28	2089205
851	Haemophilus	haemolyticus	M19107	2072	123	1915087
851	Haemophilus	haemolyticus	M21127	2074	38	1945624
641	Haemophilus	influenzae	22.4-21	1224	44	1851097
641	Haemophilus	influenzae	Rd KW20	2052	1	1830138
641	Haemophilus	influenzae	10810	1238	1	1981535
641	Haemophilus	influenzae	nml_hia_1	2906	1	1829217
641	Haemophilus	influenzae	R2846	1235	1	1819370
641	Haemophilus	influenzae	7P49H1	1112	19	1827667
641	Haemophilus	influenzae	PittGG	1232	1	1887192
641	Haemophilus	influenzae	RdAW	1759	32	1802170
641	Haemophilus	influenzae	86-028NP	1227	1	1914490
641	Haemophilus	influenzae	22.1-21	1223	18	1888582
641	Haemophilus	influenzae	F3047	2051	1	2007018
641	Haemophilus	influenzae	R3021	1237	46	1875614
641	Haemophilus	influenzae	6P18H1	1111	28	1912236
641	Haemophilus	influenzae	PittII	1234	25	1954291
641	Haemophilus	influenzae	PittEE	1231	1	1813033
641	Haemophilus	influenzae	NT127	1758	41	1865669
641	Haemophilus	influenzae	3655	1226	23	1878368
641	Haemophilus	influenzae	hmsc066a11	2965	66	1888237
641	Haemophilus	influenzae	F3031	2050	1	1985832
641	Haemophilus	influenzae	HK1212	1487	1262	859497
641	Haemophilus	influenzae	R2866	1236	1	1932306
641	Haemophilus	influenzae	hmsc071c11	3016	60	1807370
641	Haemophilus	influenzae	PittHH	1233	59	1837347
641	Haemophilus	influenzae	PittAA	1228	40	1876892
945	Haemophilus	parahaemolyticus	HK385	2774	61	2030584
718	Haemophilus	parainfluenzae	hmsc71h05	3022	21	2024521
718	Haemophilus	parainfluenzae	HK2019	2349	42	2101432
718	Haemophilus	parainfluenzae	ccug 60358	2941	20	2091064
718	Haemophilus	parainfluenzae	hmsc061e01	2966	34	1948914
718	Haemophilus	parainfluenzae	hmsc066d02	2983	30	1976024
718	Haemophilus	parainfluenzae	hmsc61b11	3011	71	2150396
718	Haemophilus	parainfluenzae	hmsc068c11	2974	25	1904337
718	Haemophilus	parainfluenzae	T3T1	1239	1	2086875
718	Haemophilus	parainfluenzae	HK262	2350	68	2107814
718	Haemophilus	parainfluenzae	hmsc066d03	2982	35	1974023
718	Haemophilus	parainfluenzae	ATCC 33392	2077	30	2110314
718	Haemophilus	parainfluenzae	hmsc073c03	2976	39	2007726
35	Haemophilus	paraphrohaemolyticus	HK411	2918	78	2021208
946	Haemophilus	pittmaniae	HK 85	2775	26	2182608
36	Haemophilus	sp. HMT 036	ccug_66565	2869	18	1926945
944	Haemophilus	sputorum	HK 2154	2776	25	2080113
812	Helicobacter	pylori	P12	1644	2	1684038
812	Helicobacter	pylori	India7	2409	1	1675918
812	Helicobacter	pylori	52	1243	1	1568826
812	Helicobacter	pylori	B128	1352	73	1649221
812	Helicobacter	pylori	Shi470	1119	1	1608548
812	Helicobacter	pylori	G27	1643	2	1663013
812	Helicobacter	pylori	J99	1245	1	1643831
812	Helicobacter	pylori	26695	1240	1	1667867
812	Helicobacter	pylori	B38	1714	1	1576758
812	Helicobacter	pylori	98-10	1351	51	1571772
812	Helicobacter	pylori	Lithuania75	2410	2	1640673
812	Helicobacter	pylori	HPAG1	1244	2	1605736
339	Janibacter	indicus	yfy001	2885	1	3401189
635	Johnsonella	ignava	ATCC 51276	1672	80	2672404
777	Jonquetella	anthropi	E3_33 E1	1612	37	1786558
777	Jonquetella	anthropi	E3_33 E1	1476	509	618283
777	Jonquetella	anthropi	DSM 22815	2078	4	1675634
582	Kingella	denitrificans	ATCC 33394	2079	57	2186592
646	Kingella	kingae	PYKK081	2327	163	2049500
646	Kingella	kingae	ATCC 23330	2080	86	1916770
706	Kingella	oralis	ATCC 51147	1594	12	2405975
153	Klebsiella	aerogenes	kctc_2190	2847	1	5280350
731	Klebsiella	pneumoniae	KCTC 2242	2106	2	5462423
731	Klebsiella	pneumoniae	NTUH-K2044	1715	2	5472672
731	Klebsiella	pneumoniae	MGH 78578, ATCC 700721	1250	6	5694894
731	Klebsiella	pneumoniae	subsp. pneumoniae HS11286	2107	7	5682322
731	Klebsiella	pneumoniae	342	1249	3	5920257
731	Klebsiella	pneumoniae	ATCC 13884	1760	268	5280675
865	Kluyvera	ascorbata	ATCC 33433	2711	253	4932354
84	Kocuria	palustris	mu14_1	2861	1	2854447
197	Kocuria	rhizophila	fdaargos_302	2871	1	2697803
855	Kytococcus	sedentarius	DSM 20547	1978	1	2785024
82	Lachnoanaerobaculum	orale	F0431	1881	209	2933600
494	Lachnoanaerobaculum	saburreum	F0468	2761	143	3074086
494	Lachnoanaerobaculum	saburreum	DSM 3986	2760	37	3082404
83	Lachnoanaerobaculum	sp. HMT 083	hmsc061h09	2858	46	1899912
83	Lachnoanaerobaculum	sp. HMT 083	MSX33	2917	99	2871049
107	Lachnoanaerobaculum	umeaense	F0167	1478	104	3279855
529	Lactobacillus	acidophilus	CIRM-BIA 442	2551	19	1986992
529	Lactobacillus	acidophilus	CIRM-BIA 445	2601	41	1998395
529	Lactobacillus	acidophilus	30SC	2108	3	2097766
529	Lactobacillus	acidophilus	La-14	2540	1	1991579
529	Lactobacillus	acidophilus	ATCC 4796	1761	69	1999667
529	Lactobacillus	acidophilus	CIP 76.13	2600	55	1949435
529	Lactobacillus	acidophilus	DSM 20242	2552	21	2047860
529	Lactobacillus	acidophilus	NCFM	1073	1	1993560
529	Lactobacillus	acidophilus	DSM 9126	2602	45	1988965
558	Lactobacillus	brevis	ATCC 27305	1638	178	3077715
558	Lactobacillus	brevis	ATCC 367	1252	3	2340228
558	Lactobacillus	brevis	KB290	2565	10	2587877
881	Lactobacillus	buchneri	CD034	2427	4	2563168
881	Lactobacillus	buchneri	ATCC 11577	2418	114	2846936
881	Lactobacillus	buchneri	NRRL B-30929	2428	4	2588309
568	Lactobacillus	casei	BD-II	2109	2	3127288
568	Lactobacillus	casei	Lc-10	2494	76	2951397
568	Lactobacillus	casei	BL23	1246	1	3079196
568	Lactobacillus	casei	M36	2496	78	3152126
568	Lactobacillus	casei	CRF28	2493	57	3036548
568	Lactobacillus	casei	LOCK919	2566	2	3143369
568	Lactobacillus	casei	LC2W	2110	2	3077434
568	Lactobacillus	casei	str. Zhang	1493	2	2898335
568	Lactobacillus	casei	Lpc-37	2495	150	3075253
816	Lactobacillus	coleohominis	101-4-CHN	1922	35	1704805
817	Lactobacillus	crispatus	ST1	1930	1	2043161
817	Lactobacillus	crispatus	FB049-03	2421	100	2342850
817	Lactobacillus	crispatus	214-1	2084	187	2068805
817	Lactobacillus	crispatus	FB077-07	2420	133	2526985
817	Lactobacillus	crispatus	JV-V01	1368	234	2066562
608	Lactobacillus	fermentum	CECT 5716	1964	1	2100449
608	Lactobacillus	fermentum	F-6	2541	1	2064620
608	Lactobacillus	fermentum	ATCC 14931	1766	145	1796949
608	Lactobacillus	fermentum	IFO 3956	1533	1	2098685
608	Lactobacillus	fermentum	MTCC 8711	2605	116	2566297
615	Lactobacillus	gasseri	K7	2558	43	1959974
615	Lactobacillus	gasseri	ATCC 33323	1255	1	1894360
615	Lactobacillus	gasseri	CECT 5714	2497	85	1907790
615	Lactobacillus	gasseri	JV-V03	1769	10	2011295
615	Lactobacillus	gasseri	2016	2557	29	1879515
615	Lactobacillus	gasseri	224-1	1768	37	2005522
615	Lactobacillus	gasseri	202-4	1767	70	1820250
838	Lactobacillus	iners	SPIN 1401G	2099	52	1281027
838	Lactobacillus	iners	UPII 60-B	2102	31	1323615
838	Lactobacillus	iners	LEAF 2053A-b	2096	37	1368717
838	Lactobacillus	iners	LactinV 09V1-c	2093	35	1312334
838	Lactobacillus	iners	ATCC 55195	2090	19	1219250
838	Lactobacillus	iners	UPII 143-D	2101	21	1257583
838	Lactobacillus	iners	LEAF 3008A-a	2098	25	1273041
838	Lactobacillus	iners	LEAF 2052A-d	2095	28	1322320
838	Lactobacillus	iners	LactinV 03V1-b	2092	67	1303958
838	Lactobacillus	iners	SPIN 2503V10-D	2100	31	1283897
838	Lactobacillus	iners	LEAF 2062A-h1	2097	24	1303868
838	Lactobacillus	iners	LactinV 11V1-d	2094	27	1310250
838	Lactobacillus	iners	LactinV 01V1-a	2091	92	1294173
838	Lactobacillus	iners	DSM 13335	1770	22	1269484
839	Lactobacillus	jensenii	JV-V16	1104	2	1600834
839	Lactobacillus	jensenii	1153	1649	8	1737637
839	Lactobacillus	jensenii	269-3	1773	57	1688275
819	Lactobacillus	johnsonii	NCC 533	1026	1	1992676
819	Lactobacillus	johnsonii	ATCC 33200	1776	52	1772891
819	Lactobacillus	johnsonii	DPC 6026	2111	1	1966342
819	Lactobacillus	johnsonii	N6.2	2611	1	1887251
819	Lactobacillus	johnsonii	pf01	2103	5	1882804
819	Lactobacillus	johnsonii	FI9785	1716	3	1785116
424	Lactobacillus	kisonensis	F0435	1861	273	2967250
709	Lactobacillus	oris	PB013-T2-3	1910	89	2115990
709	Lactobacillus	oris	F0423	1856	20	2174937
882	Lactobacillus	panis	DSM 6035	2809	150	2006512
716	Lactobacillus	paracasei	8700:2	1262	90	2978271
716	Lactobacillus	paracasei	Lpp120	2528	201	2801291
716	Lactobacillus	paracasei	ATCC 334	1254	2	2924325
716	Lactobacillus	paracasei	Lpp230	2527	144	2892319
716	Lactobacillus	paracasei	ATCC 25302	1777	174	2885587
716	Lactobacillus	paracasei	Lpl7	2526	91	3089104
418	Lactobacillus	parafarraginis	F0439	1862	210	2851633
883	Lactobacillus	pentosus	KCA1	2419	82	3417852
861	Lactobacillus	plantarum	JDM1	2112	1	3197759
861	Lactobacillus	plantarum	IPLA88	2525	208	3254055
861	Lactobacillus	plantarum	subsp. plantarum NC8	2104	10	3207224
861	Lactobacillus	plantarum	subsp. plantarum P-8	2543	7	3226270
861	Lactobacillus	plantarum	subsp. plantarum ATCC 14917	1984	36	3198761
861	Lactobacillus	plantarum	WCFS1	1965	4	3348624
861	Lactobacillus	plantarum	subsp. plantarum ST-III	2113	2	3307936
861	Lactobacillus	plantarum	ZJ316	2441	1	3203964
861	Lactobacillus	plantarum	16	2542	11	3361015
861	Lactobacillus	plantarum	UCMA 3037	2498	92	3106874
884	Lactobacillus	rapi	DSM 19907 = JCM 15042	2810	87	2854844
818	Lactobacillus	reuteri clade 818	I5007	2544	7	2093275
818	Lactobacillus	reuteri clade 818	MM2-3	1779	167	1943466
818	Lactobacillus	reuteri clade 818	TD1	2567	1	2145445
818	Lactobacillus	reuteri clade 818	JCM 1112, F275	1121	1	2039414
818	Lactobacillus	reuteri clade 818	CF48-3A	1778	244	2032595
818	Lactobacillus	reuteri clade 818	SD2112	1369	5	2316838
818	Lactobacillus	reuteri clade 818	F275, JCM 1112, DSM 20016	1095	1	1999618
818	Lactobacillus	reuteri clade 818	100-23	1120	2	2305557
818	Lactobacillus	reuteri clade 818	MM4-1A	1780	7	2067914
749	Lactobacillus	rhamnosus	ATCC 21052	2117	123	2873519
749	Lactobacillus	rhamnosus	Lc 705	1718	2	3033106
749	Lactobacillus	rhamnosus	LRHMDP3	2500	47	2911934
749	Lactobacillus	rhamnosus	R0011	2119	10	2900620
749	Lactobacillus	rhamnosus	ATCC 8530	2114	1	2960339
749	Lactobacillus	rhamnosus	LMS2-1	1781	162	3109803
749	Lactobacillus	rhamnosus	GG	1717	1	3010111
749	Lactobacillus	rhamnosus	LRHMDP2	2499	50	2911110
749	Lactobacillus	rhamnosus	LOCK908	2569	1	2990900
749	Lactobacillus	rhamnosus	MTCC 5462	2118	2543	2524513
749	Lactobacillus	rhamnosus	HN001	1257	94	2874106
749	Lactobacillus	rhamnosus	LOCK900	2568	1	2883376
756	Lactobacillus	salivarius	SMXD51	2328	10	1967690
756	Lactobacillus	salivarius	ATCC 11741	1782	54	1995868
756	Lactobacillus	salivarius	NIAS840	2122	4	2046557
756	Lactobacillus	salivarius	CECT 5713	1966	4	2136138
756	Lactobacillus	salivarius	cp400	2628	89	2156840
756	Lactobacillus	salivarius	UCC118	1259	4	2133977
756	Lactobacillus	salivarius	GJ-24	2121	11	1995968
756	Lactobacillus	salivarius	ACS-116-V-Col5a	2120	154	2044602
461	Lactobacillus	ultunensis	dsm_16047	2852	48	2248406
51	Lactobacillus	vaginalis	ATCC 49540	1783	133	1790300
804	Lactococcus	lactis	A76	2150	5	2577104
804	Lactococcus	lactis	MG1363	1500	1	2529478
804	Lactococcus	lactis	CNCM I-1631	2374	131	2511332
804	Lactococcus	lactis	IL1403	1482	1	2365589
804	Lactococcus	lactis	UC509.9	2570	9	2457347
804	Lactococcus	lactis	str. TIFN2	2560	143	2505069
804	Lactococcus	lactis	CV56	2152	6	2518737
804	Lactococcus	lactis	SK11	1501	6	2598348
804	Lactococcus	lactis	IO-1	2473	1	2421471
804	Lactococcus	lactis	TIFN7	2559	370	2634086
804	Lactococcus	lactis	NZ9000	2151	1	2530294
804	Lactococcus	lactis	KF147	1719	2	2635654
804	Lactococcus	lactis	str. TIFN4	2561	182	2550393
22	Lautropia	mirabilis	ATCC 51599	1967	30	3137198
173	Lawsonella	clevelandensis	x1698	2877	1	1915154
563	Leptotrichia	buccalis	C-1013-b, DSM 1135, ATCC 14201, JCM 1296	1287	1	2465610
563	Leptotrichia	buccalis	ATCC 14201	1028	345	391551
845	Leptotrichia	goodfellowii	DSM 19756	2629	3	2280962
845	Leptotrichia	goodfellowii	F0264	1600	189	2282634
224	Leptotrichia	hofstadii	DSM 21651	2581	23	2553025
224	Leptotrichia	hofstadii	F0254	1601	42	2453253
214	Leptotrichia	shahii	DSM 19757	2501	22	2144001
212	Leptotrichia	sp. HMT 212	W10393	2748	1	2444904
215	Leptotrichia	sp. HMT 215	W9775	2444	89	2302921
225	Leptotrichia	sp. HMT 225	F0581	2452	215	2395587
498	Leptotrichia	sp. HMT 498	f0590	2920	1	2152181
847	Leptotrichia	sp. HMT 847	F0260	2790	1	2194935
879	Leptotrichia	sp. HMT 879	F0557	2353	170	2403096
222	Leptotrichia	wadei	DSM 19758	2502	65	2314249
222	Leptotrichia	wadei	F0279	1618	115	2349355
825	Listeria	monocytogenes	HCC23	1574	1	2976212
825	Listeria	monocytogenes	EGD-e	2153	1	2944528
825	Listeria	monocytogenes	serotype 4b str. CLIP 80459	1721	1	2912690
825	Listeria	monocytogenes	1/2a F6854	1050	133	2950285
825	Listeria	monocytogenes	HPB2262	1549	79	2991120
825	Listeria	monocytogenes	08-5578	1053	2	3109342
825	Listeria	monocytogenes	FSL R2-503	1546	55	2991493
825	Listeria	monocytogenes	FSL J2-071	1543	53	2853713
825	Listeria	monocytogenes	J1816	2125	61	2912122
825	Listeria	monocytogenes	10403S	1456	1	2903106
825	Listeria	monocytogenes	serotype 4a str. L99	2155	1	2979198
825	Listeria	monocytogenes	08-5923	1720	1	2999054
825	Listeria	monocytogenes	J2818	1552	24	2973040
825	Listeria	monocytogenes	4b F2365	1051	1	2905187
825	Listeria	monocytogenes	Finland 1988	1548	1	2874431
825	Listeria	monocytogenes	FSL N3-165	1545	39	2884080
825	Listeria	monocytogenes	FSL J1-194	1479	30	2989818
825	Listeria	monocytogenes	J1-220	2124	86	2814628
825	Listeria	monocytogenes	M7	2154	1	2976163
825	Listeria	monocytogenes	J0161	1551	1	3000464
825	Listeria	monocytogenes	4b H7858	1052	181	2972254
825	Listeria	monocytogenes	FSL R2-561	1547	1	2973801
825	Listeria	monocytogenes	FSL N1-017	1544	79	3142060
825	Listeria	monocytogenes	F6900	1459	23	2968620
825	Listeria	monocytogenes	FSL F2-208	2123	3081	2915076
614	Lysinibacillus	fusiformis	ZB2	2422	59	4550616
614	Lysinibacillus	fusiformis	ZC1	1920	103	4646825
122	Megasphaera	micronuciformis	F0359	1685	46	1764798
659	Mesorhizobium	loti	USDA 3471	2764	50	7023073
659	Mesorhizobium	loti	NZP2037	2763	1	7462792
659	Mesorhizobium	loti	MAFF303099	1025	3	7596297
815	Methanobrevibacter	oralis	JMR01	2671	60	2083511
330	Micavibrio	aeruginosavorus	arl_13	2848	1	2481983
186	Microbacterium	flavescens	F0373	1971	13	3164554
185	Microbacterium	ginsengisoli	DSM 18659	2785	80	3047473
87	Micrococcus	luteus	nctc_2665	2897	1	2501097
684	Mitsuokella	multacida	DSM 20544, A 405-1, ATCC 27723, NCTC 10	1092	28	2573867
131	Mitsuokella	sp. HMT 131	W9106	2446	34	2312457
830	Mobiluncus	mulieris	ATCC 35243	1785	65	2398290
830	Mobiluncus	mulieris	28-1	1784	55	2452380
830	Mobiluncus	mulieris	FB024-16	2128	46	2384880
830	Mobiluncus	mulieris	ATCC 35239	2127	66	2464242
742	Mogibacterium	pumilum	atcc_700696	2857	1	1862768
42	Mogibacterium	timidum	ATCC 33093	2630	30	1806210
833	Moraxella	catarrhalis	BC8	2135	32	1912542
833	Moraxella	catarrhalis	25240	2879	1	1941566
833	Moraxella	catarrhalis	7169	2132	35	1903901
833	Moraxella	catarrhalis	12P80B1	2129	53	1814430
833	Moraxella	catarrhalis	O35E	2137	42	1776416
833	Moraxella	catarrhalis	BC7	2134	37	1904293
833	Moraxella	catarrhalis	103P14B1	2131	99	1961697
833	Moraxella	catarrhalis	hmsc061h09	2946	46	1899912
833	Moraxella	catarrhalis	46P47B1	1968	69	1856042
833	Moraxella	catarrhalis	CO72	2136	25	1947635
833	Moraxella	catarrhalis	BC1	2133	43	1954090
833	Moraxella	catarrhalis	RH4	1102	1	1863286
833	Moraxella	catarrhalis	101P30B1	2130	26	1866092
154	Moraxella	lincolnii	ccug_9405	2870	29	2076923
98	Moraxella	nonliquefaciens	ccug_60284	2900	43	2194559
711	Moraxella	osloensis	CCUG 350	2795	5	2649137
