study_accession	secondary_sample_accession	experiment_accession	run_accession	instrument_model	library_name	library_layout	library_strategy	read_count	fastq_ftp	submitted_ftp	sra_ftp
PRJEB18629	ERS1600811	ERX1944005	ERR1883504	Illumina MiSeq	R4248	PAIRED	Targeted-Capture	852608	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883504/ERR1883504.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883504/ERR1883504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883504/ERR1883504_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4248.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4248.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/004/ERR1883504
PRJEB18629	ERS1600812	ERX1944006	ERR1883505	Illumina MiSeq	R4249	PAIRED	Targeted-Capture	880115	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883505/ERR1883505.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883505/ERR1883505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883505/ERR1883505_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4249.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4249.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/005/ERR1883505
PRJEB18629	ERS1600813	ERX1944007	ERR1883506	Illumina MiSeq	R4251	PAIRED	Targeted-Capture	542050	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883506/ERR1883506.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883506/ERR1883506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883506/ERR1883506_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4251.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4251.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/006/ERR1883506
PRJEB18629	ERS1600814	ERX1944008	ERR1883507	Illumina MiSeq	R4252	PAIRED	Targeted-Capture	771629	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883507/ERR1883507.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883507/ERR1883507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883507/ERR1883507_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4252.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4252.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/007/ERR1883507
PRJEB18629	ERS1600815	ERX1944009	ERR1883508	Illumina MiSeq	R4253	PAIRED	Targeted-Capture	589562	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883508/ERR1883508.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883508/ERR1883508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883508/ERR1883508_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4253.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4253.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/008/ERR1883508
PRJEB18629	ERS1600816	ERX1944010	ERR1883509	Illumina MiSeq	R4254	PAIRED	Targeted-Capture	716077	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883509/ERR1883509.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883509/ERR1883509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883509/ERR1883509_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4254.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4254.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/009/ERR1883509
PRJEB18629	ERS1600817	ERX1944011	ERR1883510	Illumina MiSeq	R4255	PAIRED	Targeted-Capture	731848	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883510/ERR1883510.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883510/ERR1883510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883510/ERR1883510_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4255.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4255.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/000/ERR1883510
PRJEB18629	ERS1600818	ERX1944012	ERR1883511	Illumina MiSeq	R4256	PAIRED	Targeted-Capture	924243	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883511/ERR1883511.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883511/ERR1883511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883511/ERR1883511_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4256.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4256.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/001/ERR1883511
PRJEB18629	ERS1600819	ERX1944013	ERR1883512	Illumina MiSeq	R4257	PAIRED	Targeted-Capture	812309	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883512/ERR1883512.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883512/ERR1883512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883512/ERR1883512_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4257.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4257.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/002/ERR1883512
PRJEB18629	ERS1600820	ERX1944014	ERR1883513	Illumina MiSeq	R4258	PAIRED	Targeted-Capture	756397	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883513/ERR1883513.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883513/ERR1883513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883513/ERR1883513_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4258.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4258.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/003/ERR1883513
PRJEB18629	ERS1600821	ERX1944015	ERR1883514	Illumina MiSeq	R4259	PAIRED	Targeted-Capture	812569	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883514/ERR1883514.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883514/ERR1883514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883514/ERR1883514_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4259.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4259.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/004/ERR1883514
PRJEB18629	ERS1600822	ERX1944016	ERR1883515	Illumina MiSeq	L5688	PAIRED	Targeted-Capture	912036	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883515/ERR1883515.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883515/ERR1883515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883515/ERR1883515_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5688.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5688.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/005/ERR1883515
PRJEB18629	ERS1600823	ERX1944017	ERR1883516	Illumina MiSeq	L5689	PAIRED	Targeted-Capture	940938	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883516/ERR1883516.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883516/ERR1883516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883516/ERR1883516_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5689.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/L5689.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/006/ERR1883516
PRJEB18629	ERS1600824	ERX1944018	ERR1883517	Illumina MiSeq	R4073	PAIRED	Targeted-Capture	2188417	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883517/ERR1883517.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883517/ERR1883517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883517/ERR1883517_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4073.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4073.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/007/ERR1883517
PRJEB18629	ERS1600825	ERX1944019	ERR1883518	Illumina MiSeq	R4074	PAIRED	Targeted-Capture	2012066	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883518/ERR1883518.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883518/ERR1883518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883518/ERR1883518_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4074.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4074.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/008/ERR1883518
PRJEB18629	ERS1600826	ERX1944020	ERR1883519	Illumina MiSeq	R4075	PAIRED	Targeted-Capture	1252165	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883519/ERR1883519.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883519/ERR1883519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883519/ERR1883519_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4075.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4075.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/009/ERR1883519
PRJEB18629	ERS1600827	ERX1944021	ERR1883520	Illumina MiSeq	R4076	PAIRED	Targeted-Capture	1523235	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883520/ERR1883520.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883520/ERR1883520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883520/ERR1883520_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4076.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4076.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/000/ERR1883520
PRJEB18629	ERS1600828	ERX1944022	ERR1883521	Illumina MiSeq	R4077	PAIRED	Targeted-Capture	1152738	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883521/ERR1883521.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883521/ERR1883521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883521/ERR1883521_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4077.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4077.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/001/ERR1883521
PRJEB18629	ERS1600829	ERX1944023	ERR1883522	Illumina MiSeq	R4078	PAIRED	Targeted-Capture	1618102	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883522/ERR1883522.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883522/ERR1883522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883522/ERR1883522_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4078.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4078.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/002/ERR1883522
PRJEB18629	ERS1600830	ERX1944024	ERR1883523	Illumina MiSeq	R4079	PAIRED	Targeted-Capture	1370862	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883523/ERR1883523.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883523/ERR1883523_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883523/ERR1883523_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4079.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4079.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/003/ERR1883523
PRJEB18629	ERS1600831	ERX1944025	ERR1883524	Illumina MiSeq	R4274	PAIRED	Targeted-Capture	904447	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883524/ERR1883524.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883524/ERR1883524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883524/ERR1883524_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4274.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4274.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/004/ERR1883524
PRJEB18629	ERS1600832	ERX1944026	ERR1883525	Illumina MiSeq	R4268	PAIRED	Targeted-Capture	887653	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883525/ERR1883525.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883525/ERR1883525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883525/ERR1883525_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4268.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4268.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/005/ERR1883525
PRJEB18629	ERS1600833	ERX1944027	ERR1883526	Illumina MiSeq	R3846	PAIRED	Targeted-Capture	1618702	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883526/ERR1883526.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883526/ERR1883526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883526/ERR1883526_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3846.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3846.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/006/ERR1883526
PRJEB18629	ERS1600834	ERX1944028	ERR1883527	Illumina MiSeq	R4267	PAIRED	Targeted-Capture	950715	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883527/ERR1883527.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883527/ERR1883527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883527/ERR1883527_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4267.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4267.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/007/ERR1883527
PRJEB18629	ERS1600835	ERX1944029	ERR1883528	Illumina MiSeq	R3847	PAIRED	Targeted-Capture	1783151	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883528/ERR1883528.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883528/ERR1883528_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883528/ERR1883528_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3847.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3847.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/008/ERR1883528
PRJEB18629	ERS1600836	ERX1944030	ERR1883529	Illumina MiSeq	R3234	PAIRED	Targeted-Capture	1339679	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883529/ERR1883529.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883529/ERR1883529_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883529/ERR1883529_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3234.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3234.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/009/ERR1883529
PRJEB18629	ERS1600837	ERX1944031	ERR1883530	Illumina MiSeq	R4266	PAIRED	Targeted-Capture	685759	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883530/ERR1883530.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883530/ERR1883530_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883530/ERR1883530_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4266.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4266.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/000/ERR1883530
PRJEB18629	ERS1600838	ERX1944032	ERR1883531	Illumina MiSeq	R3848	PAIRED	Targeted-Capture	1720879	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883531/ERR1883531.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883531/ERR1883531_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883531/ERR1883531_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3848.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3848.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/001/ERR1883531
PRJEB18629	ERS1600839	ERX1944033	ERR1883532	Illumina MiSeq	R4265	PAIRED	Targeted-Capture	961712	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883532/ERR1883532.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883532/ERR1883532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883532/ERR1883532_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4265.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4265.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/002/ERR1883532
PRJEB18629	ERS1600840	ERX1944034	ERR1883533	Illumina MiSeq	R3849	PAIRED	Targeted-Capture	2112184	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883533/ERR1883533.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883533/ERR1883533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883533/ERR1883533_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3849.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3849.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/003/ERR1883533
PRJEB18629	ERS1600841	ERX1944035	ERR1883534	Illumina MiSeq	R3850	PAIRED	Targeted-Capture	1783990	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883534/ERR1883534.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883534/ERR1883534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883534/ERR1883534_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3850.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3850.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/004/ERR1883534
PRJEB18629	ERS1600842	ERX1944036	ERR1883535	Illumina MiSeq	R3235	PAIRED	Targeted-Capture	1954714	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883535/ERR1883535.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883535/ERR1883535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883535/ERR1883535_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3235.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3235.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/005/ERR1883535
PRJEB18629	ERS1600843	ERX1944037	ERR1883536	Illumina MiSeq	R4264	PAIRED	Targeted-Capture	685714	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883536/ERR1883536.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883536/ERR1883536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883536/ERR1883536_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4264.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4264.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/006/ERR1883536
PRJEB18629	ERS1600844	ERX1944038	ERR1883537	Illumina MiSeq	R3236	PAIRED	Targeted-Capture	1242750	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883537/ERR1883537.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883537/ERR1883537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883537/ERR1883537_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3236.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R3236.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/007/ERR1883537
PRJEB18629	ERS1600845	ERX1944039	ERR1883538	Illumina MiSeq	R4263	PAIRED	Targeted-Capture	792799	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883538/ERR1883538.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883538/ERR1883538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883538/ERR1883538_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4263.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4263.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/008/ERR1883538
PRJEB18629	ERS1600846	ERX1944040	ERR1883539	Illumina MiSeq	R4262	PAIRED	Targeted-Capture	707174	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883539/ERR1883539.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883539/ERR1883539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883539/ERR1883539_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4262.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4262.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/009/ERR1883539
PRJEB18629	ERS1600847	ERX1944041	ERR1883540	Illumina MiSeq	R4098	PAIRED	Targeted-Capture	1372172	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883540/ERR1883540.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883540/ERR1883540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883540/ERR1883540_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4098.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4098.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/000/ERR1883540
PRJEB18629	ERS1600848	ERX1944042	ERR1883541	Illumina MiSeq	R4273	PAIRED	Targeted-Capture	811359	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883541/ERR1883541.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883541/ERR1883541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883541/ERR1883541_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4273.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4273.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/001/ERR1883541
PRJEB18629	ERS1600849	ERX1944043	ERR1883542	Illumina MiSeq	R4097	PAIRED	Targeted-Capture	2162257	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883542/ERR1883542.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883542/ERR1883542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883542/ERR1883542_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4097.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R4097.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/002/ERR1883542
