"Datasets"	"Sum"
"Enterobacter cloacae subsp. cloacae ATCC 13047"	2470
"Enterobacter cloacae subsp. cloacae ENHKU01"	1052
"Enterobacter cloacae subsp. cloacae NCTC 9394"	538
"Enterobacter cloacae subsp. dissolvens SDM"	711
"Enterobacter kobei"	14
"Enterobacter lignolyticus SCF1"	614
"Enterobacter sp. 638"	2134
"Enterobacter sp. CH2-4"	13
"Enterobacter sp. E20"	1384
"Enterobacter sp. ECC_41"	18
"Enterobacter sp. FY-07"	1148
"Enterobacter sp. NRS-1"	7
"Enterobacter sp. R4-368"	911
"Enterobacteriaceae bacterium bta3-1"	522
"Enterobacteriaceae bacterium DC260"	8
"Enterobacteriaceae bacterium secondary endosymbiont of Mycopsylla fici"	220
"Enterobacteriaceae bacterium secondary endosymbiont of Mycopsylla proxima"	8
"Enterobacteriaceae bacterium strain FGI 57"	1131
"environmental samples <Flexibacter group>"	6
"Erwinia amylovora ATCC BAA-2158"	199
"Erwinia billingiae Eb661"	1780
"Erwinia gerundensis"	1645
"Erwinia mallotivora"	9
"Erwinia papayae"	7
"Erwinia persicina"	6
"Erwinia pyrifoliae"	240
"Erwinia sp. 1-10"	24
"Erwinia sp. 1-9"	5
"Erwinia sp. 4-1"	5
"Erwinia sp. EA321"	5
"Erwinia sp. Ejp617"	283
"Erwinia tasmaniensis Et1/99"	1025
"Erwinia teleogrylli"	31
"Erwinia toletana"	5
"Erwinia tracheiphila"	12
"Erwinia typographi"	5
"Erythrobacter atlanticus"	5891
"Erythrobacter citreus"	218
"Erythrobacter flavus"	7
"Erythrobacter litoralis HTCC2594"	32186
"Erythrobacter longus"	44
"Erythrobacter sp. JL-310"	9
"Erythrobacter sp. JL-316"	24
"Erythrobacter sp. JP13.1"	93
"Erythromicrobium sp. CH71"	8
"Escherichia albertii KF1"	1814
"Escherichia coli 'BL21-Gold(DE3)pLysS AG'"	11
"Escherichia coli 042"	1169
"Escherichia coli 1303"	1016
"Escherichia coli 536"	237
"Escherichia coli 53638"	544
"Escherichia coli 55989"	134
"Escherichia coli ABU 83972"	343
"Escherichia coli ACN001"	296
"Escherichia coli APEC IMT5155"	104
"Escherichia coli APEC O1"	45
"Escherichia coli APEC O78"	468
"Escherichia coli ATCC 25922"	50
"Escherichia coli ATCC 8739"	333
"Escherichia coli B"	17
"Escherichia coli B7A"	462
"Escherichia coli CFT073"	21
"Escherichia coli chi7122"	7
"Escherichia coli DH1"	5
"Escherichia coli ECC-1470"	187
"Escherichia coli ED1a"	590
"Escherichia coli ETEC 1392/75"	76
"Escherichia coli ETEC H10407"	946
"Escherichia coli F18+"	227
"Escherichia coli FAP1"	404
"Escherichia coli H89"	5
"Escherichia coli HS"	524
"Escherichia coli IAI1"	292
"Escherichia coli IAI39"	47
"Escherichia coli IHE3034"	22
"Escherichia coli JJ1886"	135
"Escherichia coli JJ1887"	30
"Escherichia coli KO11FL"	23
"Escherichia coli LF82"	45
"Escherichia coli LW1655F+"	12
"Escherichia coli NA114"	371
"Escherichia coli Nissle 1917"	12
"Escherichia coli O103:H2 str. 12009"	300
"Escherichia coli O104:H21"	43
"Escherichia coli O104:H4"	109
"Escherichia coli O104:H7"	73
"Escherichia coli O111:H- str. 11128"	136
"Escherichia coli O119:H6"	135
"Escherichia coli O127:H6 str. E2348/69"	457
"Escherichia coli O128"	15
"Escherichia coli O139:H28 str. E24377A"	592
"Escherichia coli O145:H28"	1442
"Escherichia coli O157:H16"	1166
"Escherichia coli O157:H7 str. EC10"	22
"Escherichia coli O157:H7 str. EDL933"	9
"Escherichia coli O157:H7 str. Sakai"	5
"Escherichia coli O157:HNM"	6
"Escherichia coli O169:H41"	339
"Escherichia coli O25b:H4-ST131"	210
"Escherichia coli O26:H11 str. 11368"	294
"Escherichia coli O5"	6
"Escherichia coli O55:H7 str. CB9615"	199
"Escherichia coli O55:H7 str. RM12579"	229
"Escherichia coli O63"	11
"Escherichia coli O7:K1 str. CE10"	362
"Escherichia coli O83:H1 str. NRG 857C"	17
"Escherichia coli P12b"	412
"Escherichia coli PCN033"	1593
"Escherichia coli PCN061"	206
"Escherichia coli PMV-1"	99
"Escherichia coli RS218"	23
"Escherichia coli S88"	11
"Escherichia coli SE11"	5230
"Escherichia coli SE15"	86
"Escherichia coli SMS-3-5"	940
"Escherichia coli str. K-12 substr. MG1655"	14
"Escherichia coli str. K-12 substr. W3110"	109
"Escherichia coli str. Sanji"	220
"Escherichia coli UMN026"	640
"Escherichia coli UMNK88"	2092
"Escherichia coli Vir68"	85
"Escherichia coli VR50"	199
"Escherichia coli W"	6
"Escherichia fergusonii ATCC 35469"	1362
"Euzebyella sp. CY01"	17
"Fermentimonas caenicola"	11051
"Ferrimonas balearica DSM 9799"	3966
"Ferrimonas sp. A3B-57-2"	6
"Ferrimonas sp. EF3B-B688"	6
"Fibrella aestuarina BUZ 2"	3877
"Fibrobacter intestinalis"	32
"Fibrobacter succinogenes subsp. succinogenes S85"	7245
"Flammeovirga yaeyamensis"	279
"Flammeovirgaceae bacterium 311"	4007
"Flammeovirgaceae bacterium A-4"	165
"Flavobacteriaceae bacterium #8"	43
"Flavobacteriaceae bacterium 3519-10"	4719
"Flavobacteriaceae bacterium ACEMC 19-7"	10
"Flavobacteriaceae bacterium D10-6.1"	5
"Flavobacteriaceae bacterium JJC"	111
"Flavobacteriales endosymbiont of Chionaspis wistariae D386"	7
"Flavobacteriales endosymbiont of Fiorinia externa D299"	5
"Flavobacteriales endosymbiont of Howardia biclavis D229A"	5
"Flavobacteriales endosymbiont of Pinnaspis hibisci D390"	6
"Flavobacteriales endosymbiont of Unaspis euonymi D076"	36
"Flavobacterium algicola"	43
"Flavobacterium antarcticum DSM 19726"	10
"Flavobacterium aquatile"	187
"Flavobacterium aquidurense"	24
"Flavobacterium beibuense F44-8"	34
"Flavobacterium branchiophilum FL-15"	12905
"Flavobacterium caeni"	26
"Flavobacterium chungnamense"	275
"Flavobacterium columnare ATCC 49512"	4659
"Flavobacterium cucumis"	9
"Flavobacterium daejeonense"	8
"Flavobacterium degerlachei"	14
"Flavobacterium denitrificans"	37
"Flavobacterium dongtanense"	51
"Flavobacterium filum DSM 17961"	99
"Flavobacterium flevense"	49
"Flavobacterium fluvii"	19
"Flavobacterium frigidarium"	83
"Flavobacterium frigidimaris"	291
"Flavobacterium frigoris"	12
"Flavobacterium fryxellicola"	24
"Flavobacterium gelidilacus"	30
"Flavobacterium gillisiae"	28
"Flavobacterium ginsenosidimutans"	26
"Flavobacterium glaciei"	44
"Flavobacterium glycines"	24
"Flavobacterium granuli"	9
"Flavobacterium hercynium"	68
"Flavobacterium hibernum"	558
"Flavobacterium hydatis"	227
"Flavobacterium indicum GPTSA100-9 = DSM 17447"	5052
"Flavobacterium johnsoniae UW101"	35884
"Flavobacterium koreense"	578
"Flavobacterium limicola"	6
"Flavobacterium lindanitolerans"	18
"Flavobacterium micromati"	33
"Flavobacterium ponti"	24
"Flavobacterium psychrolimnae"	7
"Flavobacterium psychrophilum FPG101"	165
"Flavobacterium psychrophilum FPG3"	657
"Flavobacterium psychrophilum JIP02/86"	7213
"Flavobacterium reichenbachii"	98
"Flavobacterium rivuli"	391
"Flavobacterium soli"	5
"Flavobacterium sp. 92"	13
"Flavobacterium sp. D0554"	45
"Flavobacterium sp. FLH 011/09"	103
"Flavobacterium sp. FLMR 001/09"	19
"Flavobacterium sp. FLSF 008/09"	25
"Flavobacterium sp. FLTR 007/09"	11
"Flavobacterium sp. GMA4-118"	8
"Flavobacterium sp. GMA4-76"	5
"Flavobacterium sp. Ha1"	40
"Flavobacterium sp. HLS19"	13
"Flavobacterium sp. Ht3"	14
"Flavobacterium sp. Ht8"	6
"Flavobacterium sp. ICM 1087"	6
"Flavobacterium sp. ICM 176"	29
"Flavobacterium sp. ICM 201"	12
"Flavobacterium sp. ICM 753"	13
"Flavobacterium sp. JRM"	14
"Flavobacterium sp. KI723T1"	9
"Flavobacterium sp. MD-T1-60"	12
"Flavobacterium sp. Nj-25"	13
"Flavobacterium sp. PAMU-2.98"	6
"Flavobacterium sp. R-38274"	26
"Flavobacterium sp. R-38373"	15
"Flavobacterium sp. R-38377"	6
"Flavobacterium sp. R-38388"	16
"Flavobacterium sp. R-38474"	225
"Flavobacterium sp. R-40838"	6
"Flavobacterium sp. SOC A4(12)"	16
"Flavobacterium sp. Sr55"	28
"Flavobacterium sp. Sr60"	59
"Flavobacterium sp. Tm-B1-15"	6
"Flavobacterium sp. Tm-N-44"	21
"Flavobacterium sp. Tm-S1-7"	6
"Flavobacterium sp. Tm-S1-9-1"	5
"Flavobacterium sp. Tm-T3-9"	15
"Flavobacterium sp. Tm-T4-1"	8
"Flavobacterium suncheonense"	49
"Flavobacterium swingsii"	14
"Flavobacterium tegetincola"	20
"Flavobacterium tiangeerense"	19
"Flexibacter aurantiacus subsp. excathedrus"	572
"Flexibacter flexilis DSM 6793"	327
"Flexistipes sinusarabici DSM 4947"	1015
"Flexistipes-like sp. oral clone BB062"	90
"Flexithrix dorotheae"	50
"Fluoribacter bozemanae"	7
"Fluoribacter dumoffii"	325
"Fluoribacter gormanii"	28
"Fluviicola taffensis DSM 16823"	4980
"Fodinibius salinus"	5
"Formosa agariphila KMM 3901"	3976
"Franconibacter pulveris"	23
"Frischella perrara"	695
"Fulvimarina manganoxydans"	49
"Fulvimarina pelagi"	467
"Fusobacterium canifelinum"	346
"Fusobacterium gonidiaformans ATCC 25563"	5
"Fusobacterium hwasookii ChDC F128"	455
"Fusobacterium hwasookii ChDC F145"	655
"Fusobacterium hwasookii ChDC F174"	660099
"Fusobacterium hwasookii ChDC F206"	176032
"Fusobacterium hwasookii ChDC F300"	191879
"Fusobacterium mortiferum"	53
"Fusobacterium necrogenes"	354
"Fusobacterium necrophorum subsp. necrophorum"	200
"Fusobacterium nucleatum subsp. animalis 4_8"	99575
"Fusobacterium nucleatum subsp. animalis 7_1"	91772
"Fusobacterium nucleatum subsp. animalis ATCC 51191"	254
"Fusobacterium nucleatum subsp. fusiforme ATCC 51190"	1292
"Fusobacterium nucleatum subsp. nucleatum ATCC 23726"	773
"Fusobacterium nucleatum subsp. nucleatum ATCC 25586"	173255
"Fusobacterium nucleatum subsp. nucleatum ChDC F316"	192449
"Fusobacterium nucleatum subsp. polymorphum ATCC 10953"	7422
"Fusobacterium nucleatum subsp. polymorphum F0401"	9
"Fusobacterium nucleatum subsp. vincentii 3_1_27"	68300
"Fusobacterium nucleatum subsp. vincentii 3_1_36A2"	80813
"Fusobacterium nucleatum subsp. vincentii ATCC 49256"	312
"Fusobacterium nucleatum subsp. vincentii ChDC F8"	66946
"Fusobacterium perfoetens"	284
"Fusobacterium periodonticum"	2215
"Fusobacterium simiae"	235
"Fusobacterium sp. canine oral taxon 189"	19
"Fusobacterium sp. CSL-7530"	12
"Fusobacterium sp. oral clone BP2-18"	7
"Fusobacterium sp. oral clone CY024"	28
"Fusobacterium sp. oral taxon 203"	39
"Fusobacterium sp. oral taxon A11"	26
"Fusobacterium ulcerans"	13
"Fusobacterium varium"	82
"Gallibacterium anatis DSM 16844 = F 149"	41
"Gallibacterium anatis UMN179"	4873
"Gallibacterium genomosp. 3"	17
"Gallibacterium group V"	30
"Gallibacterium sp. TIS12317"	5
"Gallibacterium trehalosifermentans"	8
"Gallionella capsiferriformans ES-2"	3806
"Garritya polymorpha"	7
"Gemmatimonas aurantiaca T-27"	8174
"Gemmatimonas phototrophica"	6385
"Gemmatirosa kalamazoonesis"	45788
"Geoalkalibacter subterraneus"	26044
"Geobacter anodireducens"	4401
"Geobacter bemidjiensis Bem"	4274
"Geobacter daltonii FRC-32"	2132
"Geobacter grbiciae"	7
"Geobacter humireducens"	33
"Geobacter hydrogenophilus"	23
"Geobacter lovleyi SZ"	5613
"Geobacter metallireducens GS-15"	4958
"Geobacter pelophilus"	11
"Geobacter pickeringii"	5849
"Geobacter psychrophilus"	11
"Geobacter sp. M18"	32247
"Geobacter sp. M21"	4865
"Geobacter sulfurreducens KN400"	311
"Geobacter sulfurreducens PCA"	359
"Geobacter thiogenes"	31
"Geobacter uraniireducens Rf4"	12210
"Geothermobacter ehrlichii"	12
"Geothrix fermentans"	29
"Gibbsiella dentisursi"	12
"Gibbsiella greigii"	18
"Gilliamella apicola"	1069
"Glaciecola nitratireducens FR1064"	1060
"Glaciecola sp. 4H-3-7+YE-5"	21477
"Glaciimonas singularis"	5
"Gluconacetobacter azotocaptans"	50
"Gluconacetobacter diazotrophicus PA1 5"	5280
"Gluconacetobacter entanii"	18
"Gluconacetobacter johannae"	66
"Gluconacetobacter liquefaciens"	102
"Gluconacetobacter sacchari"	50
"Gluconobacter cerevisiae"	105
"Gluconobacter cerinus"	42
"Gluconobacter frateurii"	7
"Gluconobacter japonicus"	67
"Gluconobacter kanchanaburiensis"	30
"Gluconobacter kondonii"	5
"Gluconobacter oxydans 621H"	6500
"Gluconobacter oxydans DSM 3504"	624
"Gluconobacter oxydans H24"	974
"Gluconobacter sphaericus NBRC 12467"	11
"Gluconobacter thailandicus"	24
"Gluconobacter wancherniae NBRC 103581"	5
"Glycocaulis abyssi"	19
"Glycocaulis albus"	15
"Gramella forsetii KT0803"	53796
"Gramella jeungdoensis"	5
"Granulibacter bethesdensis CGDNIH1"	5217
"Granulibacter bethesdensis CGDNIH2"	38
"Granulibacter bethesdensis CGDNIH3"	175
"Granulibacter bethesdensis CGDNIH4"	219
"Granulicella arctica"	28
"Granulicella mallensis MP5ACTX8"	14114
"Granulicella paludicola"	41
"Granulicella pectinivorans"	54
"Granulicella rosea"	58
"Granulicella tundricola MP5ACTX9"	7960
"Gynuella sunshinyii YC6258"	1683
"Haematospirillum jordaniae"	2151
"Haemophilus aegyptius"	217
"Haemophilus ducreyi 35000HP"	3733
"Haemophilus haemolyticus"	184
"Haemophilus influenzae 10810"	17114
"Haemophilus influenzae 2019"	6214
"Haemophilus influenzae 86-028NP"	3349
"Haemophilus influenzae biotype aegyptius"	390
"Haemophilus influenzae CGSHiCZ412602"	5451
"Haemophilus influenzae F3031"	6810
"Haemophilus influenzae F3047"	3675
"Haemophilus influenzae KR494"	10653
"Haemophilus influenzae PittEE"	2296
"Haemophilus influenzae PittGG"	7066
"Haemophilus influenzae R2846"	3665
"Haemophilus influenzae R2866"	12316
"Haemophilus influenzae Rd KW20"	4026
"Haemophilus massiliensis"	10
"Haemophilus parahaemolyticus"	11
"Haemophilus parainfluenzae ATCC 33392"	1913
"Haemophilus parainfluenzae T3T1"	1306475
"Haemophilus paraphrohaemolyticus"	5
"Haemophilus parasuis 29755"	33
"Haemophilus parasuis SH0165"	1070
"Haemophilus parasuis str. Nagasaki"	143
"Haemophilus parasuis ZJ0906"	1078
"Haemophilus somnus 129PT"	22516
"Haemophilus somnus 2336"	13211
"Haemophilus sp."	21
"Haemophilus sp. 1595"	11
"Haemophilus sp. CCUG 32367"	8
"Haemophilus sp. COAD591"	23
"Haemophilus sp. HK445"	47
"Haemophilus sputorum"	13
"Hafnia alvei ATCC 13337"	13
"Hafnia alvei FB1"	1233
"Hahella chejuensis KCTC 2396"	13971
"Haliangium ochraceum DSM 14365"	16939
"Haliscomenobacter hydrossis DSM 1100"	2841
"Halobacteriovorax marinus SJ"	1898
"Halochromatium glycolicum"	10
"Halocynthiibacter arcticus"	1003
"Halomonas alimentaria"	260
"Halomonas alkaliantarctica"	15
"Halomonas alkaliphila"	20
"Halomonas almeriensis"	101
"Halomonas anticariensis FP35 = DSM 16096"	27
"Halomonas aquamarina"	101
"Halomonas axialensis"	282
"Halomonas boliviensis LC1"	35
"Halomonas campaniensis"	13311
"Halomonas campisalis"	510
"Halomonas cerina"	41
"Halomonas chromatireducens"	31275
"Halomonas cupida"	140
"Halomonas denitrificans"	737
"Halomonas desiderata"	108
"Halomonas elongata DSM 2581"	234876
"Halomonas eurihalina"	80
"Halomonas fontilapidosi"	167
"Halomonas halmophila"	115
"Halomonas halocynthiae"	182
"Halomonas halodenitrificans"	637
"Halomonas halophila"	31
"Halomonas huangheensis"	10389
"Halomonas koreensis"	271
"Halomonas korlensis"	1080
"Halomonas magadiensis"	203
"Halomonas maura"	968
"Halomonas meridiana"	520
"Halomonas muralis"	293
"Halomonas neptunia"	41
"Halomonas nitroreducens"	15
"Halomonas olivaria"	19
"Halomonas organivorans"	538
"Halomonas pacifica"	204
"Halomonas pantelleriensis"	164
"Halomonas salina"	586
"Halomonas sediminicola"	23
"Halomonas socia"	7
"Halomonas songnenensis"	709
"Halomonas sp. 'Belize Reef cbno3r1'"	28
"Halomonas sp. #593"	29
"Halomonas sp. 21a"	254
"Halomonas sp. 40"	116
"Halomonas sp. 4CR"	12
"Halomonas sp. 70 JDE-2009"	5
"Halomonas sp. A_wp02222"	42
"Halomonas sp. A1"	12
"Halomonas sp. ALANG-4"	52
"Halomonas sp. Ant2"	11
"Halomonas sp. B12"	11
"Halomonas sp. BH047"	5
"Halomonas sp. C8"	30
"Halomonas sp. CA1-2I"	196
"Halomonas sp. CA2-2I"	96
"Halomonas sp. CA3-1I"	32
"Halomonas sp. CA3-2I"	115
"Halomonas sp. H11"	131
"Halomonas sp. HGD1"	14
"Halomonas sp. HTNK1"	204
"Halomonas sp. ISCar-Hm1"	5
"Halomonas sp. ISM-Hm1"	6
"Halomonas sp. KJ-4-1-1"	101
"Halomonas sp. KJ-5-1-1"	45
"Halomonas sp. KK-L3-2"	9
"Halomonas sp. KO116"	23898
"Halomonas sp. O-1"	203
"Halomonas sp. P9"	232
"Halomonas sp. R-52914"	27
"Halomonas sp. R57-5"	11143
"Halomonas sp. S2-2"	5
"Halomonas sp. S2-7"	5
"Halomonas sp. S8-1"	521
"Halomonas sp. S9-1"	69
"Halomonas sp. SA-Hm1"	5
"Halomonas sp. Sa10-1I"	17
"Halomonas sp. Sa13-1I"	5
"Halomonas sp. Sa5-1XX"	7
"Halomonas sp. Sa7-1I"	7
"Halomonas sp. SYM P11"	27
"Halomonas sp. TA56"	13
"Halomonas sp. ws25"	9
"Halomonas sp. ZM3"	805
"Halomonas subglaciescola"	60
"Halomonas sulfidaeris Esulfide1"	20
"Halomonas taeanensis"	283
"Halomonas titanicae"	5
"Halomonas urumqiensis"	30
"Halomonas utahensis"	20
"Halomonas ventosae"	154
"Halomonas venusta"	9
"Halomonas xinjiangensis"	225
"Halomonas zhanjiangensis"	51
"Halomonas zhaodongensis"	5
"Halomonas zincidurans B6"	805
"Halorhodospira halochloris str. A"	9103
"Halorhodospira halophila SL1"	20872
"Halotalea alkalilenta"	191
"Halothiobacillus halophilus"	29
"Halothiobacillus neapolitanus c2"	2694
"Halothiobacillus sp. HL2"	11
"Halovibrio variabilis"	129
"Helicobacter acinonychis str. Sheeba"	799
"Helicobacter anseris"	229
"Helicobacter aurati"	255
"Helicobacter bilis"	5
"Helicobacter bizzozeronii CIII-1"	412
"Helicobacter brantae"	17
"Helicobacter canadensis MIT 98-5491"	8
"Helicobacter canis"	67
"Helicobacter cetorum MIT 00-7128"	357
"Helicobacter cetorum MIT 99-5656"	172
"Helicobacter cf. canis 29176"	82
"Helicobacter cholecystus"	431
"Helicobacter cinaedi CCUG 18818 = ATCC BAA-847"	1365
"Helicobacter cinaedi PAGU611"	2204
"Helicobacter equorum"	7
"Helicobacter felis ATCC 49179"	455
"Helicobacter fennelliae"	74
"Helicobacter heilmannii ASB1.4"	512
"Helicobacter hepaticus ATCC 51449"	694
"Helicobacter himalayensis"	19
"Helicobacter jaachi"	5
"Helicobacter marmotae"	31
"Helicobacter mastomyrinus"	5
"Helicobacter mesocricetorum"	14
"Helicobacter muridarum"	6
"Helicobacter mustelae 12198"	534
"Helicobacter pametensis"	13
"Helicobacter pullorum NCTC 12824"	89
"Helicobacter pylori 25"	24
"Helicobacter pylori 26695-1CL"	5
"Helicobacter pylori 83"	84
"Helicobacter pylori Aklavik86"	19
"Helicobacter pylori B128"	16
"Helicobacter pylori B38"	36
"Helicobacter pylori B8"	20
"Helicobacter pylori BM012A"	11
"Helicobacter pylori BM012S"	18
"Helicobacter pylori Cuz20"	16
"Helicobacter pylori F16"	21
"Helicobacter pylori F30"	5
"Helicobacter pylori F32"	5
"Helicobacter pylori F57"	8
"Helicobacter pylori G27"	31
"Helicobacter pylori Gambia94/24"	6
"Helicobacter pylori GAMchJs114i"	106
"Helicobacter pylori GAMchJs117Ai"	36
"Helicobacter pylori GAMchJs124i"	80
"Helicobacter pylori GAMchJs136i"	7
"Helicobacter pylori HPAG1"	63
"Helicobacter pylori HUP-B14"	5
"Helicobacter pylori India7"	12
"Helicobacter pylori J166"	10
"Helicobacter pylori J99"	1039
"Helicobacter pylori Lithuania75"	87
"Helicobacter pylori P12"	20
"Helicobacter pylori PeCan18"	44
"Helicobacter pylori PeCan4"	807
"Helicobacter pylori Puno135"	27
"Helicobacter pylori Shi112"	71
"Helicobacter pylori SJM180"	5
"Helicobacter pylori SNT49"	21
"Helicobacter pylori SouthAfrica20"	26
"Helicobacter pylori SouthAfrica7"	49
"Helicobacter pylori UM037"	77
"Helicobacter pylori v225d"	80
"Helicobacter rodentium"	31
"Helicobacter sp. CLO-3"	7
"Helicobacter sp. CNRCH-2013/518"	10
"Helicobacter sp. MIT 01-5529A"	6
"Helicobacter sp. MIT 99-5504"	51
"Helicobacter sp. TD1"	5
"Helicobacter trogontum"	11
"Helicobacter typhlonius"	1233
"Helicobacter valdiviensis"	34
"Helicobacter winghamensis ATCC BAA-430"	24
"Herbaspirillum autotrophicum"	52
"Herbaspirillum chlorophenolicum"	11
"Herbaspirillum frisingense GSF30"	19
"Herbaspirillum hiltneri N3"	13344
"Herbaspirillum huttiense subsp. putei IAM 15032"	21
"Herbaspirillum lusitanum P6-12"	70
"Herbaspirillum rubrisubalbicans M1"	12271
"Herbaspirillum seropedicae SmR1"	17502
"Herbaspirillum sp. 2-3-I"	6
"Herminiimonas arsenicoxydans"	10174
"Hippea maritima DSM 10411"	812
"Hirschia baltica ATCC 49814"	1991
"Hoeflea sp. IMCC20628"	6268
"Holophaga foetida DSM 6591"	39
"Hydrogenobacter thermophilus TK-6"	386
"Hydrogenobaculum sp. Y04AAS1"	949
"Hydrogenophaga pseudoflava"	17
"Hydrogenophaga sp. Esa.33"	15
"Hydrogenophaga sp. PBC"	78
"Hydrogenophilus thermoluteolus"	59
"Hydrogenothermus marinus"	371
"Hydrotalea sandarakina"	8
"Hymenobacter elongatus"	57
"Hymenobacter fastidiosus"	7
"Hymenobacter rigui"	5
"Hymenobacter sedentarius"	5752
"Hymenobacter sp. APR13"	5998
"Hymenobacter sp. DG25A"	2475
"Hymenobacter sp. DG25B"	2341
"Hymenobacter sp. PAMC 26628"	5774
"Hymenobacter sp. VUG-A141a"	5
"Hymenobacter swuensis DY53"	3745
"Hyphomicrobium denitrificans 1NES1"	2609
"Hyphomicrobium denitrificans ATCC 51888"	2995
"Hyphomicrobium nitrativorans NL23"	4477
"Hyphomicrobium sp."	46
"Hyphomicrobium sp. enrichment culture clone AD_fhs_13"	15
"Hyphomicrobium sp. enrichment culture clone AD_fhs_41"	22
"Hyphomicrobium sp. MC1"	3113
"Hyphomonas adhaerens"	22
"Hyphomonas atlantica"	17
"Hyphomonas beringensis"	96
"Hyphomonas jannaschiana"	47
"Hyphomonas johnsonii"	61
"Hyphomonas neptunium ATCC 15444"	10588
"Hyphomonas oceanitis"	5
"Hyphomonas polymorpha"	56
"Hyphomonas sp. MCCC 1A04830"	5
"Hyphomonas sp. MCCC 1A05080"	33
"Hyphomonas sp. MCCC 1A05099"	5
"Hyphomonas sp. MCCC 1A09253"	43
"Idiomarina abyssalis"	8
"Idiomarina aestuarii"	41
"Idiomarina aquimaris"	48
"Idiomarina baltica OS145"	70
"Idiomarina donghaiensis"	52
"Idiomarina fontislapidosi"	284
"Idiomarina insulisalsae"	12
"Idiomarina loihiensis GSL 199"	27
"Idiomarina loihiensis L2TR"	7471
"Idiomarina marina"	18
"Idiomarina ramblicola"	27
"Idiomarina salinarum"	7
"Idiomarina seosinensis"	108
"Idiomarina xiamenensis"	6
"Idiomarina zobellii"	51
"Idiomarinaceae bacterium HL-53"	1876
"Ignavibacterium album JCM 16511"	1616
"Ilyobacter insuetus"	34
"Ilyobacter polytropus DSM 2926"	2984
"Ilyobacter tartaricus"	12
"Jannaschia sp. CCS1"	5049
"Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628"	32460
"Janthinobacterium lividum"	2507
"Janthinobacterium sp. 100-p12_9"	33
"Janthinobacterium sp. 4_10"	7
"Janthinobacterium sp. A22"	10
"Janthinobacterium sp. B9-8"	2182
"Janthinobacterium sp. Marseille"	14566
"Janthinobacterium sp. PC"	9
"Janthinobacterium sp. TN115"	25
"Kangiella geojedonensis"	1198
"Kangiella koreensis DSM 16069"	14789
"Kerstersia gyiorum"	564
"Ketogulonicigenium vulgare WSH-001"	146
"Ketogulonicigenium vulgare Y25"	72
"Kinetoplastibacterium blastocrithidii"	232
"Kingella denitrificans ATCC 33394"	587
"Kingella kingae ATCC 23330"	2754
"Kingella oralis ATCC 51147"	83
"Kingella potus"	1867
"Kingella sp. Sch538"	19
"Kinneretia asaccharophila"	47
"Klebsiella aerogenes EA1509E"	7585
"Klebsiella aerogenes KCTC 2190"	6528
"Klebsiella michiganensis E718"	18470
"Klebsiella michiganensis HKOPL1"	733
"Klebsiella michiganensis KCTC 1686"	540
"Klebsiella oxytoca KONIH1"	1139
"Klebsiella pneumoniae 30660/NJST258_1"	8725
"Klebsiella pneumoniae 30684/NJST258_2"	52
"Klebsiella pneumoniae 342"	306
"Klebsiella pneumoniae HK787"	8
"Klebsiella pneumoniae JM45"	19
"Klebsiella pneumoniae KCTC 2242"	25
"Klebsiella pneumoniae KP-1"	36
"Klebsiella pneumoniae subsp. ozaenae"	6
"Klebsiella pneumoniae subsp. pneumoniae HS11286"	48
"Klebsiella pneumoniae subsp. pneumoniae Kp13"	589
"Klebsiella pneumoniae subsp. pneumoniae KP5-1"	63
"Klebsiella pneumoniae subsp. pneumoniae KPNIH27"	369
"Klebsiella pneumoniae subsp. pneumoniae MGH 78578"	185
"Klebsiella pneumoniae subsp. pneumoniae PittNDM01"	37
"Klebsiella pneumoniae subsp. rhinoscleromatis SB3432"	70
"Klebsiella quasipneumoniae"	300
"Klebsiella sp. 3454-70"	5
"Klebsiella sp. 7730"	6
"Klebsiella sp. 8588"	6
"Klebsiella sp. P8-14"	18
"Klebsiella sp. T17-2"	8
"Klebsiella variicola At-22"	124
"Kluyvera ascorbata"	8
"Kluyvera cryocrescens"	59
"Kluyvera intermedia"	1212
"Komagataeibacter europaeus"	45
"Komagataeibacter hansenii"	28
"Komagataeibacter intermedius"	23
"Komagataeibacter kakiaceti JCM 25156"	22
"Komagataeibacter maltaceti"	16
"Komagataeibacter medellinensis NBRC 3288"	1267
"Komagataeibacter oboediens"	190
"Komagataeibacter rhaeticus"	29
"Komagataeibacter saccharivorans"	17
"Komagataeibacter sucrofermentans DSM 15973"	6
"Komagataeibacter swingsii"	11
"Komagataeibacter xylinus E25"	2054
"Kosakonia cowanii"	7
"Kosakonia sacchari SP1"	1032
"Kozakia baliensis"	5
"Kushneria aurantia"	794
"Kushneria avicenniae"	63
"Kushneria indalinina"	7
"Kushneria marisflavi"	62
"Kushneria sp. X49"	8
"Labilithrix luteola"	16695
"Labrenzia sp. CP4"	106293
"Lacimicrobium alkaliphilum"	1962
"Lacinutrix sp. 5H-3-7-4"	5113
"Lamprocystis roseopersicina"	16
"Laribacter hongkongensis HLHK9"	12956
"Lautropia mirabilis"	18183
"Lautropia sp. canine oral taxon 060"	239
"Lautropia sp. canine oral taxon 175"	19
"Lautropia sp. oral clone BP2-43"	6
"Lautropia sp. oral taxon A94"	185
"Lawsonia intracellularis"	2787
